ko:K11707	ctj:JALI_0661
ko:K03100	ctj:JALI_0201
ko:K02909	ctj:JALI_0221
ko:K02835	ctj:JALI_0231
ko:K02493	ctj:JALI_0241
ko:K03106	ctj:JALI_0251
ko:K02959	ctj:JALI_0261
ko:K00554	ctj:JALI_0271
ko:K02884	ctj:JALI_0281
ko:K03470	ctj:JALI_0291
ko:K00942	ctj:JALI_0301
ko:K01874	ctj:JALI_0321
ko:K03581	ctj:JALI_0331
ko:K01963	ctj:JALI_2881
ko:K04564	ctj:JALI_2891
ko:K03685	ctj:JALI_2921
ko:K04485	ctj:JALI_2931
ko:K01749	ctj:JALI_2941
ko:K01873	ctj:JALI_2971
ko:K03046	ctj:JALI_3091
ko:K03043	ctj:JALI_3101
ko:K02935	ctj:JALI_3111
ko:K02864	ctj:JALI_3121
ko:K02863	ctj:JALI_3131
ko:K02867	ctj:JALI_3141
ko:K02601	ctj:JALI_3151
ko:K03073	ctj:JALI_3161
ko:K02358	ctj:JALI_3171
ko:K02518	ctj:JALI_3181
ko:K01803	ctj:JALI_3241
ko:K03601	ctj:JALI_3251
ko:K03602	ctj:JALI_3261
ko:K01662	ctj:JALI_3281
ko:K00873	ctj:JALI_3291
ko:K03701	ctj:JALI_3301
ko:K02343	ctj:JALI_3311
ko:K09747	ctj:JALI_3321
ko:K11381	ctj:JALI_3381
ko:K03686	ctj:JALI_3391
ko:K02970	ctj:JALI_3401
ko:K01338	ctj:JALI_3421
ko:K03733	ctj:JALI_3451
ko:K11752	ctj:JALI_7351
ko:K00794	ctj:JALI_7371
ko:K03310	ctj:JALI_7401
ko:K03466	ctj:JALI_7441
ko:K00351	ctj:JALI_7451
ko:K03210	ctj:JALI_7461
ko:K00231	ctj:JALI_7501
ko:K01633	ctj:JALI_6181
ko:K03086	ctj:JALI_6191
ko:K02968	ctj:JALI_6211
ko:K03980	ctj:JALI_6281
ko:K01151	ctj:JALI_6291
ko:K02986	ctj:JALI_6301
ko:K07146	ctj:JALI_6311
ko:K01698	ctj:JALI_6371
ko:K00346	ctj:JALI_6381
ko:K03582	ctj:JALI_6431
ko:K03583	ctj:JALI_6441
ko:K03168	ctj:JALI_6471
ko:K02221	ctj:JALI_6491
ko:K03581	ctj:JALI_6561
ko:K06861	ctj:JALI_6581
ko:K01627	ctj:JALI_6601
ko:K06180	ctj:JALI_6631
ko:K06960	ctj:JALI_6641
ko:K02469	ctj:JALI_6651
ko:K02470	ctj:JALI_6661
ko:K02492	ctj:JALI_6671
ko:K03224	ctj:JALI_6741
ko:K02417	ctj:JALI_6771
ko:K03219	ctj:JALI_6791
ko:K02838	ctj:JALI_6821
ko:K09903	ctj:JALI_6831
ko:K02357	ctj:JALI_6841
ko:K02967	ctj:JALI_6851
ko:K09013	ctj:JALI_6901
ko:K09015	ctj:JALI_6911
ko:K11717	ctj:JALI_6921
ko:K07220	ctj:JALI_6961
ko:K00975	ctj:JALI_4911
ko:K03628	ctj:JALI_4931
ko:K00859	ctj:JALI_4941
ko:K03301	ctj:JALI_4971
ko:K00995	ctj:JALI_4981
ko:K03495	ctj:JALI_5011
ko:K03800	ctj:JALI_5021
ko:K00940	ctj:JALI_5031
ko:K03550	ctj:JALI_5041
ko:K01159	ctj:JALI_5051
ko:K00134	ctj:JALI_5081
ko:K02879	ctj:JALI_5091
ko:K03040	ctj:JALI_5101
ko:K02948	ctj:JALI_5111
ko:K02952	ctj:JALI_5121
ko:K03076	ctj:JALI_5131
ko:K02876	ctj:JALI_5141
ko:K02988	ctj:JALI_5151
ko:K02881	ctj:JALI_5161
ko:K02933	ctj:JALI_5171
ko:K02994	ctj:JALI_5181
ko:K02931	ctj:JALI_5191
ko:K02895	ctj:JALI_5201
ko:K02874	ctj:JALI_5211
ko:K02961	ctj:JALI_5221
ko:K02904	ctj:JALI_5231
ko:K02878	ctj:JALI_5241
ko:K02982	ctj:JALI_5251
ko:K02890	ctj:JALI_5261
ko:K02965	ctj:JALI_5271
ko:K02886	ctj:JALI_5281
ko:K02892	ctj:JALI_5291
ko:K02926	ctj:JALI_5301
ko:K02906	ctj:JALI_5311
ko:K00604	ctj:JALI_5331
ko:K00677	ctj:JALI_5341
ko:K02372	ctj:JALI_5351
ko:K02535	ctj:JALI_5361
ko:K03820	ctj:JALI_5371
ko:K06925	ctj:JALI_5401
ko:K03671	ctj:JALI_5421
ko:K03216	ctj:JALI_5431
ko:K01876	ctj:JALI_5451
ko:K01892	ctj:JALI_5461
ko:K07783	ctj:JALI_5471
ko:K02337	ctj:JALI_5481
ko:K03311	ctj:JALI_5571
ko:K00382	ctj:JALI_5601
ko:K03644	ctj:JALI_5611
ko:K03222	ctj:JALI_5621
ko:K03223	ctj:JALI_5641
ko:K03226	ctj:JALI_5651
ko:K03228	ctj:JALI_5671
ko:K02453	ctj:JALI_5751
ko:K03572	ctj:JALI_5781
ko:K01868	ctj:JALI_5841
ko:K01867	ctj:JALI_5881
ko:K03702	ctj:JALI_5891
ko:K01689	ctj:JALI_5901
ko:K00240	ctj:JALI_5941
ko:K00239	ctj:JALI_5951
ko:K03424	ctj:JALI_5971
ko:K03562	ctj:JALI_5991
ko:K03641	ctj:JALI_6021
ko:K03640	ctj:JALI_6031
ko:K03648	ctj:JALI_6111
ko:K03657	ctj:JALI_6121
ko:K03092	ctj:JALI_6131
ko:K06137	ctj:JALI_6141
ko:K03439	ctj:JALI_8371
ko:K00075	ctj:JALI_8391
ko:K03625	ctj:JALI_8401
ko:K02520	ctj:JALI_8411
ko:K02916	ctj:JALI_8421
ko:K02887	ctj:JALI_8431
ko:K01889	ctj:JALI_8441
ko:K11720	ctj:JALI_8461
ko:K07091	ctj:JALI_8471
ko:K04075	ctj:JALI_8481
ko:K03798	ctj:JALI_8491
ko:K00962	ctj:JALI_8501
ko:K02956	ctj:JALI_8511
ko:K01265	ctj:JALI_8601
ko:K03527	ctj:JALI_8701
ko:K00995	ctj:JALI_8031
ko:K00703	ctj:JALI_8041
ko:K02897	ctj:JALI_8051
ko:K01056	ctj:JALI_8061
ko:K02990	ctj:JALI_8071
ko:K02963	ctj:JALI_8081
ko:K02939	ctj:JALI_8091
ko:K00919	ctj:JALI_8101
ko:K08301	ctj:JALI_8141
ko:K02911	ctj:JALI_8171
ko:K03621	ctj:JALI_8181
ko:K03431	ctj:JALI_8231
ko:K00820	ctj:JALI_8241
ko:K03834	ctj:JALI_8251
ko:K03834	ctj:JALI_8261
ko:K06890	ctj:JALI_8271
ko:K03110	ctj:JALI_8281
ko:K01903	ctj:JALI_8291
ko:K01902	ctj:JALI_8301
ko:K09760	ctj:JALI_8331
ko:K04567	ctj:JALI_7861
ko:K01883	ctj:JALI_7871
ko:K03536	ctj:JALI_7891
ko:K02914	ctj:JALI_7901
ko:K02919	ctj:JALI_7911
ko:K02954	ctj:JALI_7921
ko:K03703	ctj:JALI_7961
ko:K03555	ctj:JALI_7971
ko:K03306	ctj:JALI_6971
ko:K00927	ctj:JALI_6981
ko:K10773	ctj:JALI_7021
ko:K03650	ctj:JALI_7031
ko:K01613	ctj:JALI_7041
ko:K03070	ctj:JALI_7061
ko:K03977	ctj:JALI_7081
ko:K03544	ctj:JALI_7101
ko:K01358	ctj:JALI_7111
ko:K03545	ctj:JALI_7121
ko:K03569	ctj:JALI_7141
ko:K00057	ctj:JALI_7191
ko:K02412	ctj:JALI_7221
ko:K02411	ctj:JALI_7231
ko:K02409	ctj:JALI_7241
ko:K04487	ctj:JALI_7261
ko:K06178	ctj:JALI_7281
ko:K03524	ctj:JALI_7301
ko:K05837	ctj:JALI_7311
ko:K01875	ctj:JALI_7341
ko:K09458	ctj:JALI_7751
ko:K00263	ctj:JALI_7781
ko:K00655	ctj:JALI_7801
ko:K04066	ctj:JALI_7831
ko:K01599	ctj:JALI_7521
ko:K03723	ctj:JALI_7531
ko:K01872	ctj:JALI_7541
ko:K00615	ctj:JALI_7551
ko:K01241	ctj:JALI_7561
ko:K02356	ctj:JALI_7571
ko:K01929	ctj:JALI_7611
ko:K01000	ctj:JALI_7621
ko:K01925	ctj:JALI_7631
ko:K03588	ctj:JALI_7651
ko:K02563	ctj:JALI_7661
ko:K06960	ctj:JALI_7681
ko:K00791	ctj:JALI_7711
ko:K09710	ctj:JALI_7741
ko:K06287	ctj:JALI_3471
ko:K03075	ctj:JALI_3501
ko:K01462	ctj:JALI_3511
ko:K02528	ctj:JALI_3521
ko:K06888	ctj:JALI_3541
ko:K03523	ctj:JALI_3571
ko:K01714	ctj:JALI_3591
ko:K00928	ctj:JALI_3601
ko:K00133	ctj:JALI_3611
ko:K00215	ctj:JALI_3621
ko:K00800	ctj:JALI_3641
ko:K00891	ctj:JALI_3651
ko:K01736	ctj:JALI_3661
ko:K01735	ctj:JALI_3671
ko:K01810	ctj:JALI_3761
ko:K03665	ctj:JALI_3771
ko:K06167	ctj:JALI_3781
ko:K09996	ctj:JALI_3791
ko:K06966	ctj:JALI_3861
ko:K09131	ctj:JALI_3871
ko:K01881	ctj:JALI_3921
ko:K03705	ctj:JALI_3931
ko:K03687	ctj:JALI_3941
ko:K04043	ctj:JALI_3951
ko:K12573	ctj:JALI_3961
ko:K07164	ctj:JALI_3971
ko:K06041	ctj:JALI_3981
ko:K00658	ctj:JALI_3991
ko:K00912	ctj:JALI_4011
ko:K03437	ctj:JALI_4021
ko:K06969	ctj:JALI_4031
ko:K00793	ctj:JALI_4041
ko:K07738	ctj:JALI_4051
ko:K06204	ctj:JALI_4061
ko:K03101	ctj:JALI_4071
ko:K03310	ctj:JALI_4081
ko:K00748	ctj:JALI_4101
ko:K09817	ctj:JALI_4151
ko:K09816	ctj:JALI_4161
ko:K03979	ctj:JALI_4171
ko:K02899	ctj:JALI_4181
ko:K02888	ctj:JALI_4191
ko:K07042	ctj:JALI_4231
ko:K03183	ctj:JALI_4291
ko:K00806	ctj:JALI_4521
ko:K00981	ctj:JALI_4531
ko:K00945	ctj:JALI_4541
ko:K00655	ctj:JALI_4551
ko:K01887	ctj:JALI_4561
ko:K00790	ctj:JALI_4571
ko:K02836	ctj:JALI_4611
ko:K00991	ctj:JALI_4641
ko:K06173	ctj:JALI_4651
ko:K07710	ctj:JALI_4691
ko:K03584	ctj:JALI_4721
ko:K01778	ctj:JALI_4311
ko:K01358	ctj:JALI_4321
ko:K00600	ctj:JALI_4331
ko:K01770	ctj:JALI_4351
ko:K02946	ctj:JALI_4371
ko:K02355	ctj:JALI_4381
ko:K02992	ctj:JALI_4391
ko:K02950	ctj:JALI_4401
ko:K03797	ctj:JALI_4421
ko:K07462	ctj:JALI_4491
ko:K12257	ctj:JALI_4501
ko:K08998	ctj:JALI_4751
ko:K01890	ctj:JALI_4771
ko:K02034	ctj:JALI_4801
ko:K01772	ctj:JALI_4871
ko:K02028	ctj:JALI_1291
ko:K07714	ctj:JALI_4701
ko:K00630	ctj:JALI_8131
ko:K01961	ctj:JALI_1231
ko:K13832	ctj:JALI_3681
ko:K00895	ctj:JALI_2011
ko:K01840	ctj:JALI_2901
ko:K11189	ctj:JALI_3341
ko:K03309	ctj:JALI_4001
ko:K02030	ctj:JALI_4881
ko:K03386	ctj:JALI_6061
ko:K01934	ctj:JALI_6531
ko:K00970	ctj:JALI_7091
ko:K08719	ctj:JALI_7181
ko:K07117	ctj:JALI_7421
ko:K01909	ctj:JALI_7811
ko:K01829	ctj:JALI_7851
ko:K01829	ctj:JALI_7881
ko:K06972	ctj:JALI_8321
ko:K02050	ctj:JALI_8631
ko:K02051	ctj:JALI_8631
ko:K03321	ctj:JALI_8651
ko:K19405	ctj:JALI_6801
ko:K13819	ctj:JALI_7251
ko:K08275	ctj:JALI_0791
ko:K08274	ctj:JALI_3751
ko:K02455	ctj:JALI_5731
ko:K01921	ctj:JALI_7671
ko:K01924	ctj:JALI_7671
ko:K02029	ctj:JALI_1281
ko:K02121	ctj:JALI_3051
ko:K10206	ctj:JALI_3891
ko:K00970	ctj:JALI_4091
ko:K03162	ctj:JALI_6861
ko:K01491	ctj:JALI_0771
ko:K01972	ctj:JALI_1451
ko:K02913	ctj:JALI_1491
ko:K09808	ctj:JALI_1501
ko:K06187	ctj:JALI_2351
ko:K07277	ctj:JALI_2361
ko:K06142	ctj:JALI_2371
ko:K02536	ctj:JALI_2381
ko:K00161	ctj:JALI_2401
ko:K00162	ctj:JALI_2411
ko:K00627	ctj:JALI_2421
ko:K00688	ctj:JALI_2431
ko:K02313	ctj:JALI_2451
ko:K03217	ctj:JALI_2461
ko:K04487	ctj:JALI_2531
ko:K03308	ctj:JALI_2261
ko:K02078	ctj:JALI_2311
ko:K00645	ctj:JALI_2331
ko:K00648	ctj:JALI_2341
ko:K00164	ctj:JALI_0531
ko:K00658	ctj:JALI_0541
ko:K05810	ctj:JALI_0551
ko:K03526	ctj:JALI_0561
ko:K02400	ctj:JALI_0591
ko:K02405	ctj:JALI_0601
ko:K01866	ctj:JALI_0611
ko:K03596	ctj:JALI_0631
ko:K03301	ctj:JALI_0641
ko:K00099	ctj:JALI_0701
ko:K03629	ctj:JALI_0731
ko:K02338	ctj:JALI_0741
ko:K03664	ctj:JALI_0751
ko:K03734	ctj:JALI_0761
ko:K01494	ctj:JALI_0381
ko:K03551	ctj:JALI_0401
ko:K01255	ctj:JALI_0451
ko:K02340	ctj:JALI_0461
ko:K07056	ctj:JALI_0471
ko:K03720	ctj:JALI_1631
ko:K01696	ctj:JALI_1641
ko:K00979	ctj:JALI_1761
ko:K01937	ctj:JALI_1771
ko:K07447	ctj:JALI_1781
ko:K00036	ctj:JALI_1791
ko:K01057	ctj:JALI_1801
ko:K02343	ctj:JALI_1811
ko:K00943	ctj:JALI_1821
ko:K02469	ctj:JALI_1831
ko:K02470	ctj:JALI_1841
ko:K00773	ctj:JALI_1871
ko:K06213	ctj:JALI_1881
ko:K09810	ctj:JALI_1511
ko:K00024	ctj:JALI_3741
ko:K13789	ctj:JALI_6321
ko:K07099	ctj:JALI_4901
ko:K09779	ctj:JALI_0011
ko:K02435	ctj:JALI_0021
ko:K14164	ctj:JALI_8021
ko:K07052	ctj:JALI_2491
ko:K02433	ctj:JALI_0031
ko:K02434	ctj:JALI_0041
ko:K03471	ctj:JALI_0081
ko:K01802	ctj:JALI_5441
ko:K07033	ctj:JALI_6891
ko:K07125	ctj:JALI_3201
ko:K14652	ctj:JALI_7361
ko:K02517	ctj:JALI_0101
ko:K15582	ctj:JALI_1941
ko:K03611	ctj:JALI_1701
ko:K15580	ctj:JALI_1921
ko:K00425	ctj:JALI_0131
ko:K07175	ctj:JALI_0151
ko:K15581	ctj:JALI_1931
ko:K10823	ctj:JALI_1951
ko:K15583	ctj:JALI_1961
ko:K02428	ctj:JALI_6091
ko:K00426	ctj:JALI_0141
ko:K11645	ctj:JALI_2091
ko:K00850	ctj:JALI_1991
ko:K03177	ctj:JALI_0931
ko:K06179	ctj:JALI_1051
ko:K00939	ctj:JALI_1271
ko:K02035	ctj:JALI_1381
ko:K06889	ctj:JALI_1481
ko:K02035	ctj:JALI_1691
ko:K02049	ctj:JALI_1741
ko:K01409	ctj:JALI_1911
ko:K06889	ctj:JALI_2001
ko:K00059	ctj:JALI_2321
ko:K01679	ctj:JALI_8641
ko:K04763	ctj:JALI_8751
ko:K00700	ctj:JALI_8771
ko:K00033	ctj:JALI_0621
ko:K02342	ctj:JALI_2561
ko:K01507	ctj:JALI_7771
ko:K01082	ctj:JALI_7791
ko:K00652	ctj:JALI_7821
ko:K01408	ctj:JALI_8121
ko:K02806	ctj:JALI_2861
ko:K02806	ctj:JALI_2851
ko:K02124	ctj:JALI_2991
ko:K02123	ctj:JALI_3001
ko:K02120	ctj:JALI_3011
ko:K02118	ctj:JALI_3021
ko:K02117	ctj:JALI_3031
ko:K00616	ctj:JALI_3081
ko:K08483	ctj:JALI_3331
ko:K00784	ctj:JALI_3441
ko:K03856	ctj:JALI_3801
ko:K09815	ctj:JALI_4141
ko:K01719	ctj:JALI_4341
ko:K00380	ctj:JALI_4361
ko:K01885	ctj:JALI_4471
ko:K07098	ctj:JALI_4631
ko:K00567	ctj:JALI_4791
ko:K02033	ctj:JALI_4811
ko:K02035	ctj:JALI_4821
ko:K02342	ctj:JALI_5391
ko:K07258	ctj:JALI_5541
ko:K03227	ctj:JALI_5661
ko:K02454	ctj:JALI_5741
ko:K01262	ctj:JALI_5771
ko:K07315	ctj:JALI_5911
ko:K00813	ctj:JALI_6411
ko:K01596	ctj:JALI_7151
ko:K00972	ctj:JALI_7201
ko:K06910	ctj:JALI_7411
ko:K11709	ctj:JALI_0691
ko:K11710	ctj:JALI_0671
ko:K03559	ctj:JALI_6001
ko:K01834	ctj:JALI_7271
ko:K17103	ctj:JALI_8341
ko:K04084	ctj:JALI_5981
ko:K07081	ctj:JALI_4281
ko:K01214	ctj:JALI_0421
ko:K03825	ctj:JALI_4601
ko:K03111	ctj:JALI_0441
ko:K03496	ctj:JALI_5851
ko:K03497	ctj:JALI_6931
ko:K02626	ctj:JALI_3711
ko:K11991	ctj:JALI_8521
ko:K04771	ctj:JALI_8311
ko:K19411	ctj:JALI_6811
ko:K02031	ctj:JALI_6951
ko:K22100	ctj:JALI_3231
ko:K12132	ctj:JALI_2961
ko:K20265	ctj:JALI_2101
ko:K20074	ctj:JALI_2541
ko:K11749	ctj:JALI_0711
ko:K22099	ctj:JALI_6151
ko:K00526	ctj:JALI_8361
ko:K02335	ctj:JALI_4951
ko:K01520	ctj:JALI_2871
ko:K03553	ctj:JALI_6541
ko:K02314	ctj:JALI_5001
ko:K02316	ctj:JALI_7991
ko:K00287	ctj:JALI_6161
ko:K02032	ctj:JALI_6941
ko:K00525	ctj:JALI_8351
ko:K01534	ctj:JALI_7321
ko:K16239	ctj:JALI_0841
