ko:K19416	amag:I533_10320
ko:K05350	amag:I533_17860
ko:K02529	amag:I533_17865
ko:K00426	amag:I533_17890
ko:K00425	amag:I533_17895
ko:K02014	amag:I533_17915
ko:K01273	amag:I533_14285
ko:K16872	amag:I533_14350
ko:K03442	amag:I533_14375
ko:K09761	amag:I533_14380
ko:K01920	amag:I533_14385
ko:K07735	amag:I533_14390
ko:K07447	amag:I533_14395
ko:K02670	amag:I533_14405
ko:K02669	amag:I533_14410
ko:K06997	amag:I533_14415
ko:K00286	amag:I533_14420
ko:K02221	amag:I533_14425
ko:K00219	amag:I533_14435
ko:K00799	amag:I533_14450
ko:K04063	amag:I533_14460
ko:K07304	amag:I533_14465
ko:K09861	amag:I533_14500
ko:K00616	amag:I533_14510
ko:K01810	amag:I533_14515
ko:K03648	amag:I533_14525
ko:K01733	amag:I533_14530
ko:K00872	amag:I533_14535
ko:K12524	amag:I533_14540
ko:K03701	amag:I533_14545
ko:K03308	amag:I533_15930
ko:K07304	amag:I533_15945
ko:K03840	amag:I533_15960
ko:K03559	amag:I533_15970
ko:K00694	amag:I533_16005
ko:K15460	amag:I533_16020
ko:K01278	amag:I533_16030
ko:K01754	amag:I533_16050
ko:K03457	amag:I533_16105
ko:K02014	amag:I533_16110
ko:K00140	amag:I533_16115
ko:K09024	amag:I533_16120
ko:K09019	amag:I533_16125
ko:K09023	amag:I533_16130
ko:K09021	amag:I533_16135
ko:K09020	amag:I533_16140
ko:K09018	amag:I533_16145
ko:K02014	amag:I533_16170
ko:K01194	amag:I533_16175
ko:K00851	amag:I533_16185
ko:K06145	amag:I533_16190
ko:K15034	amag:I533_17985
ko:K12262	amag:I533_18010
ko:K03885	amag:I533_18020
ko:K06076	amag:I533_18040
ko:K01989	amag:I533_18060
ko:K07245	amag:I533_18090
ko:K07156	amag:I533_18095
ko:K07798	amag:I533_18105
ko:K07089	amag:I533_18125
ko:K15726	amag:I533_18135
ko:K15727	amag:I533_18140
ko:K15725	amag:I533_18145
ko:K16264	amag:I533_18155
ko:K00820	amag:I533_18200
ko:K02346	amag:I533_16205
ko:K05952	amag:I533_16210
ko:K03734	amag:I533_16215
ko:K00351	amag:I533_16220
ko:K00350	amag:I533_16225
ko:K00349	amag:I533_16230
ko:K00348	amag:I533_16235
ko:K00347	amag:I533_16240
ko:K00346	amag:I533_16245
ko:K00209	amag:I533_16250
ko:K03773	amag:I533_16255
ko:K01595	amag:I533_16260
ko:K00024	amag:I533_16280
ko:K03402	amag:I533_16285
ko:K00876	amag:I533_16310
ko:K03317	amag:I533_16315
ko:K02342	amag:I533_16340
ko:K07182	amag:I533_16345
ko:K14393	amag:I533_16350
ko:K05844	amag:I533_16370
ko:K06987	amag:I533_16375
ko:K01895	amag:I533_16395
ko:K14683	amag:I533_16405
ko:K07093	amag:I533_16425
ko:K02358	amag:I533_16440
ko:K03525	amag:I533_16445
ko:K03524	amag:I533_16450
ko:K04042	amag:I533_18215
ko:K00567	amag:I533_18230
ko:K13529	amag:I533_18235
ko:K01467	amag:I533_18240
ko:K01585	amag:I533_18245
ko:K00325	amag:I533_18255
ko:K00324	amag:I533_18260
ko:K00324	amag:I533_18265
ko:K03088	amag:I533_18295
ko:K03769	amag:I533_18310
ko:K02300	amag:I533_18325
ko:K02299	amag:I533_18330
ko:K02298	amag:I533_18335
ko:K02297	amag:I533_18340
ko:K04077	amag:I533_18375
ko:K04078	amag:I533_18380
ko:K07113	amag:I533_18385
ko:K03926	amag:I533_18390
ko:K04084	amag:I533_18395
ko:K03786	amag:I533_18405
ko:K02160	amag:I533_18410
ko:K01961	amag:I533_18415
ko:K02342	amag:I533_18435
ko:K01426	amag:I533_18460
ko:K02687	amag:I533_18470
ko:K05540	amag:I533_18475
ko:K03557	amag:I533_18480
ko:K03406	amag:I533_16460
ko:K03717	amag:I533_16485
ko:K00012	amag:I533_16500
ko:K00067	amag:I533_16510
ko:K01790	amag:I533_16515
ko:K00973	amag:I533_16520
ko:K03207	amag:I533_16540
ko:K02377	amag:I533_16545
ko:K00075	amag:I533_16455
ko:K00602	amag:I533_18485
ko:K01945	amag:I533_18495
ko:K10716	amag:I533_18510
ko:K00855	amag:I533_18515
ko:K07659	amag:I533_18525
ko:K07638	amag:I533_18535
ko:K01610	amag:I533_18550
ko:K04083	amag:I533_18555
ko:K04762	amag:I533_18560
ko:K02452	amag:I533_18565
ko:K02453	amag:I533_18570
ko:K02454	amag:I533_18575
ko:K02455	amag:I533_18580
ko:K02456	amag:I533_18585
ko:K02457	amag:I533_18590
ko:K02458	amag:I533_18595
ko:K02459	amag:I533_18600
ko:K02460	amag:I533_18605
ko:K02461	amag:I533_18610
ko:K02462	amag:I533_18615
ko:K02463	amag:I533_18620
ko:K00135	amag:I533_18630
ko:K08312	amag:I533_18645
ko:K01082	amag:I533_18650
ko:K03669	amag:I533_18660
ko:K03670	amag:I533_18665
ko:K09898	amag:I533_18675
ko:K07019	amag:I533_18680
ko:K06158	amag:I533_18690
ko:K07070	amag:I533_18695
ko:K03745	amag:I533_18710
ko:K04760	amag:I533_18730
ko:K06959	amag:I533_18735
ko:K02170	amag:I533_18755
ko:K07400	amag:I533_18770
ko:K01779	amag:I533_18780
ko:K03327	amag:I533_18790
ko:K07152	amag:I533_18805
ko:K02259	amag:I533_18815
ko:K02276	amag:I533_18835
ko:K02258	amag:I533_18840
ko:K02274	amag:I533_18845
ko:K02275	amag:I533_18850
ko:K01356	amag:I533_18855
ko:K00631	amag:I533_18860
ko:K01754	amag:I533_18865
ko:K01687	amag:I533_18870
ko:K07391	amag:I533_18880
ko:K02521	amag:I533_18885
ko:K00053	amag:I533_18890
ko:K07552	amag:I533_18895
ko:K07278	amag:I533_18905
ko:K09800	amag:I533_18910
ko:K03088	amag:I533_18920
ko:K00018	amag:I533_18935
ko:K07107	amag:I533_18940
ko:K00931	amag:I533_18945
ko:K09986	amag:I533_18985
ko:K04085	amag:I533_19015
ko:K00762	amag:I533_19020
ko:K00989	amag:I533_19025
ko:K06222	amag:I533_05380
ko:K06075	amag:I533_05400
ko:K02342	amag:I533_05465
ko:K03427	amag:I533_05480
ko:K01154	amag:I533_05485
ko:K01153	amag:I533_05495
ko:K03981	amag:I533_05610
ko:K03630	amag:I533_05710
ko:K02402	amag:I533_05765
ko:K02403	amag:I533_05770
ko:K02837	amag:I533_05800
ko:K01887	amag:I533_05805
ko:K01738	amag:I533_05825
ko:K02402	amag:I533_05855
ko:K02403	amag:I533_05860
ko:K02837	amag:I533_05890
ko:K01887	amag:I533_05895
ko:K01738	amag:I533_05915
ko:K02836	amag:I533_05965
ko:K04567	amag:I533_05970
ko:K00077	amag:I533_05975
ko:K06177	amag:I533_05980
ko:K07263	amag:I533_05990
ko:K01919	amag:I533_05995
ko:K07320	amag:I533_06025
ko:K01736	amag:I533_06030
ko:K05820	amag:I533_06035
ko:K09786	amag:I533_06045
ko:K07180	amag:I533_06050
ko:K04564	amag:I533_06055
ko:K07390	amag:I533_06060
ko:K02014	amag:I533_06065
ko:K03088	amag:I533_06070
ko:K02192	amag:I533_06085
ko:K03386	amag:I533_06090
ko:K03683	amag:I533_06095
ko:K01126	amag:I533_06105
ko:K01759	amag:I533_06110
ko:K03704	amag:I533_06115
ko:K10773	amag:I533_06135
ko:K03613	amag:I533_06140
ko:K03612	amag:I533_06145
ko:K03614	amag:I533_06150
ko:K03615	amag:I533_06155
ko:K03616	amag:I533_06160
ko:K03617	amag:I533_06165
ko:K03702	amag:I533_06175
ko:K06920	amag:I533_06185
ko:K10026	amag:I533_06190
ko:K01953	amag:I533_06200
ko:K01082	amag:I533_06235
ko:K00860	amag:I533_06240
ko:K00957	amag:I533_06245
ko:K03307	amag:I533_06250
ko:K03088	amag:I533_06265
ko:K07114	amag:I533_06280
ko:K07114	amag:I533_06285
ko:K03924	amag:I533_06300
ko:K01782	amag:I533_06310
ko:K08296	amag:I533_06335
ko:K03106	amag:I533_06355
ko:K06147	amag:I533_06410
ko:K02959	amag:I533_06425
ko:K02860	amag:I533_06430
ko:K00554	amag:I533_06435
ko:K02884	amag:I533_06440
ko:K01626	amag:I533_06455
ko:K14187	amag:I533_06460
ko:K14170	amag:I533_06465
ko:K03413	amag:I533_06470
ko:K03113	amag:I533_06475
ko:K07711	amag:I533_06505
ko:K07715	amag:I533_06515
ko:K01876	amag:I533_06535
ko:K08310	amag:I533_06540
ko:K01159	amag:I533_06545
ko:K03550	amag:I533_06550
ko:K03551	amag:I533_06555
ko:K07107	amag:I533_06560
ko:K03562	amag:I533_06565
ko:K03560	amag:I533_06570
ko:K03641	amag:I533_06580
ko:K03640	amag:I533_06585
ko:K03517	amag:I533_06595
ko:K00077	amag:I533_06610
ko:K06996	amag:I533_06630
ko:K00133	amag:I533_06635
ko:K12262	amag:I533_06645
ko:K07043	amag:I533_06670
ko:K04767	amag:I533_06675
ko:K09857	amag:I533_06695
ko:K06192	amag:I533_06700
ko:K03808	amag:I533_06705
ko:K01893	amag:I533_06720
ko:K07301	amag:I533_06730
ko:K00833	amag:I533_06755
ko:K01012	amag:I533_06760
ko:K00652	amag:I533_06765
ko:K02169	amag:I533_06770
ko:K01935	amag:I533_06775
ko:K05995	amag:I533_06780
ko:K01104	amag:I533_06785
ko:K06074	amag:I533_06795
ko:K01626	amag:I533_06800
ko:K09954	amag:I533_06810
ko:K06147	amag:I533_06815
ko:K03639	amag:I533_06820
ko:K01885	amag:I533_06835
ko:K10804	amag:I533_06845
ko:K02003	amag:I533_06850
ko:K02004	amag:I533_06855
ko:K07071	amag:I533_06860
ko:K07589	amag:I533_06865
ko:K07637	amag:I533_06875
ko:K07660	amag:I533_06880
ko:K09780	amag:I533_06895
ko:K01695	amag:I533_06900
ko:K01696	amag:I533_06905
ko:K13498	amag:I533_06910
ko:K00766	amag:I533_06915
ko:K01658	amag:I533_06920
ko:K01657	amag:I533_06925
ko:K07053	amag:I533_06930
ko:K05896	amag:I533_06940
ko:K06024	amag:I533_06945
ko:K06178	amag:I533_06950
ko:K06222	amag:I533_06955
ko:K00661	amag:I533_06960
ko:K00569	amag:I533_06975
ko:K06186	amag:I533_06980
ko:K03631	amag:I533_06985
ko:K04047	amag:I533_06990
ko:K00858	amag:I533_06995
ko:K00019	amag:I533_07005
ko:K00641	amag:I533_07015
ko:K02014	amag:I533_07025
ko:K03687	amag:I533_07040
ko:K04043	amag:I533_07045
ko:K03686	amag:I533_07050
ko:K01908	amag:I533_07065
ko:K00215	amag:I533_07075
ko:K01956	amag:I533_07080
ko:K01955	amag:I533_07085
ko:K03624	amag:I533_07090
ko:K00925	amag:I533_07095
ko:K13788	amag:I533_07100
ko:K03820	amag:I533_07115
ko:K06189	amag:I533_07120
ko:K07042	amag:I533_07125
ko:K06168	amag:I533_07135
ko:K03184	amag:I533_07140
ko:K02014	amag:I533_07180
ko:K03310	amag:I533_07205
ko:K06942	amag:I533_07215
ko:K01056	amag:I533_07220
ko:K02897	amag:I533_07230
ko:K12957	amag:I533_07235
ko:K00948	amag:I533_07250
ko:K00919	amag:I533_07255
ko:K02494	amag:I533_07260
ko:K02492	amag:I533_07265
ko:K02835	amag:I533_07270
ko:K02493	amag:I533_07275
ko:K01627	amag:I533_07290
ko:K03566	amag:I533_07300
ko:K07020	amag:I533_07305
ko:K06968	amag:I533_07315
ko:K02355	amag:I533_07320
ko:K01725	amag:I533_07325
ko:K03924	amag:I533_07350
ko:K03645	amag:I533_07355
ko:K01835	amag:I533_07360
ko:K00688	amag:I533_07365
ko:K05526	amag:I533_07375
ko:K01439	amag:I533_07405
ko:K09707	amag:I533_07420
ko:K06996	amag:I533_07425
ko:K00457	amag:I533_07430
ko:K00451	amag:I533_07435
ko:K03531	amag:I533_07450
ko:K03455	amag:I533_07480
ko:K07302	amag:I533_07500
ko:K07127	amag:I533_07525
ko:K16840	amag:I533_07530
ko:K07402	amag:I533_07535
ko:K13482	amag:I533_07540
ko:K13481	amag:I533_07545
ko:K06901	amag:I533_07565
ko:K02014	amag:I533_07605
ko:K16345	amag:I533_07610
ko:K02083	amag:I533_07620
ko:K03793	amag:I533_07675
ko:K01868	amag:I533_07685
ko:K02520	amag:I533_07690
ko:K02916	amag:I533_07695
ko:K02887	amag:I533_07700
ko:K16090	amag:I533_07720
ko:K03606	amag:I533_07725
ko:K01104	amag:I533_07745
ko:K00640	amag:I533_07800
ko:K03606	amag:I533_07845
ko:K00978	amag:I533_07850
ko:K01709	amag:I533_07855
ko:K01790	amag:I533_07860
ko:K01889	amag:I533_07885
ko:K01890	amag:I533_07890
ko:K04764	amag:I533_07895
ko:K01434	amag:I533_07915
ko:K01207	amag:I533_07920
ko:K03723	amag:I533_07935
ko:K09808	amag:I533_07945
ko:K07101	amag:I533_07950
ko:K01142	amag:I533_07970
ko:K02426	amag:I533_07985
ko:K00975	amag:I533_08015
ko:K01640	amag:I533_08040
ko:K01968	amag:I533_08045
ko:K13766	amag:I533_08050
ko:K01969	amag:I533_08055
ko:K00253	amag:I533_08060
ko:K00626	amag:I533_08070
ko:K01556	amag:I533_08080
ko:K09749	amag:I533_08090
ko:K01141	amag:I533_08095
ko:K13051	amag:I533_08105
ko:K01083	amag:I533_08115
ko:K03578	amag:I533_08150
ko:K06969	amag:I533_08165
ko:K03469	amag:I533_08175
ko:K02342	amag:I533_08180
ko:K09810	amag:I533_08195
ko:K09808	amag:I533_08200
ko:K01484	amag:I533_08215
ko:K03168	amag:I533_08225
ko:K09912	amag:I533_08230
ko:K03752	amag:I533_08250
ko:K02379	amag:I533_08255
ko:K02348	amag:I533_08265
ko:K08300	amag:I533_08280
ko:K06179	amag:I533_08285
ko:K01091	amag:I533_08290
ko:K07040	amag:I533_08300
ko:K02911	amag:I533_08305
ko:K03621	amag:I533_08310
ko:K00648	amag:I533_08315
ko:K00645	amag:I533_08320
ko:K00059	amag:I533_08325
ko:K02078	amag:I533_08330
ko:K09458	amag:I533_08335
ko:K02619	amag:I533_08340
ko:K07082	amag:I533_08345
ko:K00943	amag:I533_08350
ko:K02341	amag:I533_08355
ko:K03424	amag:I533_08360
ko:K01283	amag:I533_08380
ko:K09940	amag:I533_08385
ko:K07516	amag:I533_08405
ko:K00626	amag:I533_08410
ko:K00045	amag:I533_08445
ko:K01724	amag:I533_08480
ko:K09748	amag:I533_08495
ko:K02600	amag:I533_08500
ko:K02519	amag:I533_08505
ko:K02834	amag:I533_08510
ko:K03177	amag:I533_08515
ko:K02956	amag:I533_08525
ko:K06182	amag:I533_08530
ko:K07394	amag:I533_08550
ko:K07004	amag:I533_08565
ko:K03386	amag:I533_08580
ko:K03387	amag:I533_08585
ko:K06134	amag:I533_08605
ko:K05777	amag:I533_08655
ko:K05778	amag:I533_08660
ko:K05779	amag:I533_08665
ko:K01992	amag:I533_08730
ko:K01992	amag:I533_08735
ko:K01990	amag:I533_08740
ko:K07090	amag:I533_08745
ko:K01784	amag:I533_08755
ko:K03453	amag:I533_08760
ko:K03664	amag:I533_08785
ko:K09801	amag:I533_08795
ko:K02168	amag:I533_08805
ko:K09773	amag:I533_08825
ko:K07303	amag:I533_08840
ko:K07302	amag:I533_08845
ko:K02313	amag:I533_00005
ko:K03978	amag:I533_00065
ko:K03500	amag:I533_00090
ko:K00604	amag:I533_00095
ko:K01462	amag:I533_00100
ko:K02338	amag:I533_00010
ko:K03629	amag:I533_00015
ko:K03747	amag:I533_00115
ko:K02470	amag:I533_00020
ko:K01879	amag:I533_00030
ko:K01878	amag:I533_00035
ko:K01246	amag:I533_00040
ko:K09894	amag:I533_00050
ko:K03498	amag:I533_00080
ko:K03499	amag:I533_00085
ko:K04096	amag:I533_00110
ko:K07479	amag:I533_00120
ko:K00639	amag:I533_00300
ko:K00060	amag:I533_00305
ko:K02439	amag:I533_00310
ko:K02441	amag:I533_00315
ko:K02415	amag:I533_00320
ko:K03181	amag:I533_00325
ko:K03179	amag:I533_00330
ko:K07726	amag:I533_00340
ko:K09806	amag:I533_00345
ko:K02902	amag:I533_00250
ko:K02913	amag:I533_00255
ko:K10563	amag:I533_00265
ko:K00954	amag:I533_00270
ko:K11211	amag:I533_00275
ko:K12982	amag:I533_00280
ko:K05501	amag:I533_00215
ko:K13038	amag:I533_00220
ko:K03630	amag:I533_00225
ko:K07566	amag:I533_00125
ko:K00228	amag:I533_00130
ko:K07275	amag:I533_00135
ko:K06886	amag:I533_00140
ko:K00014	amag:I533_00145
ko:K14162	amag:I533_00175
ko:K14161	amag:I533_00180
ko:K03656	amag:I533_00350
ko:K00426	amag:I533_00440
ko:K07154	amag:I533_00365
ko:K16012	amag:I533_00430
ko:K03149	amag:I533_00625
ko:K16013	amag:I533_00435
ko:K00425	amag:I533_00445
ko:K03655	amag:I533_00710
ko:K02012	amag:I533_00730
ko:K02011	amag:I533_00735
ko:K02010	amag:I533_00740
ko:K03442	amag:I533_00745
ko:K07007	amag:I533_00750
ko:K14153	amag:I533_00640
ko:K03147	amag:I533_00645
ko:K02498	amag:I533_00650
ko:K02496	amag:I533_00655
ko:K01719	amag:I533_00660
ko:K01749	amag:I533_00665
ko:K03386	amag:I533_00465
ko:K15726	amag:I533_00495
ko:K03451	amag:I533_00505
ko:K01993	amag:I533_00555
ko:K13926	amag:I533_00560
ko:K01992	amag:I533_00565
ko:K16088	amag:I533_00570
ko:K06918	amag:I533_00600
ko:K08990	amag:I533_00605
ko:K03150	amag:I533_00620
ko:K03154	amag:I533_00630
ko:K06999	amag:I533_00680
ko:K00942	amag:I533_00685
ko:K03060	amag:I533_00690
ko:K03315	amag:I533_00380
ko:K00556	amag:I533_00705
ko:K15984	amag:I533_00715
ko:K07112	amag:I533_00385
ko:K13771	amag:I533_00395
ko:K07112	amag:I533_00390
ko:K07090	amag:I533_00400
ko:K17218	amag:I533_00410
ko:K03406	amag:I533_00845
ko:K01497	amag:I533_00860
ko:K00799	amag:I533_00875
ko:K03654	amag:I533_00880
ko:K06213	amag:I533_00885
ko:K05786	amag:I533_00890
ko:K03657	amag:I533_00900
ko:K00640	amag:I533_00905
ko:K03733	amag:I533_00915
ko:K09921	amag:I533_00920
ko:K01778	amag:I533_00925
ko:K01586	amag:I533_00930
ko:K02553	amag:I533_00950
ko:K03186	amag:I533_00960
ko:K02558	amag:I533_00965
ko:K03841	amag:I533_00970
ko:K01507	amag:I533_00975
ko:K09950	amag:I533_00980
ko:K07107	amag:I533_00990
ko:K04046	amag:I533_00995
ko:K03701	amag:I533_01005
ko:K06889	amag:I533_01025
ko:K02529	amag:I533_01035
ko:K01785	amag:I533_01040
ko:K00965	amag:I533_01045
ko:K00849	amag:I533_01050
ko:K03307	amag:I533_01055
ko:K01190	amag:I533_01075
ko:K00864	amag:I533_01090
ko:K02444	amag:I533_01095
ko:K00111	amag:I533_01100
ko:K12279	amag:I533_01115
ko:K12280	amag:I533_01125
ko:K12281	amag:I533_01130
ko:K12282	amag:I533_01135
ko:K12283	amag:I533_01140
ko:K12284	amag:I533_01145
ko:K12276	amag:I533_01150
ko:K12278	amag:I533_01155
ko:K10925	amag:I533_01165
ko:K10924	amag:I533_01170
ko:K10926	amag:I533_01175
ko:K10927	amag:I533_01180
ko:K12285	amag:I533_01185
ko:K12286	amag:I533_01190
ko:K12287	amag:I533_01195
ko:K03569	amag:I533_01200
ko:K03570	amag:I533_01205
ko:K03571	amag:I533_01210
ko:K06287	amag:I533_01215
ko:K08301	amag:I533_01220
ko:K03568	amag:I533_01235
ko:K09889	amag:I533_01240
ko:K03592	amag:I533_01245
ko:K01190	amag:I533_01255
ko:K07773	amag:I533_01260
ko:K00703	amag:I533_01270
ko:K00564	amag:I533_01275
ko:K03439	amag:I533_01280
ko:K03575	amag:I533_01290
ko:K07644	amag:I533_01325
ko:K07665	amag:I533_01330
ko:K07798	amag:I533_01345
ko:K07787	amag:I533_01350
ko:K07156	amag:I533_01365
ko:K02305	amag:I533_01410
ko:K05596	amag:I533_00785
ko:K06895	amag:I533_00790
ko:K07245	amag:I533_01370
ko:K00891	amag:I533_02225
ko:K02666	amag:I533_02230
ko:K02665	amag:I533_02235
ko:K02662	amag:I533_02250
ko:K05366	amag:I533_02255
ko:K00027	amag:I533_02260
ko:K11209	amag:I533_02270
ko:K03781	amag:I533_02280
ko:K14682	amag:I533_02305
ko:K01755	amag:I533_02310
ko:K01940	amag:I533_02315
ko:K00611	amag:I533_02320
ko:K00930	amag:I533_02325
ko:K00145	amag:I533_02330
ko:K01734	amag:I533_02335
ko:K07640	amag:I533_02350
ko:K01048	amag:I533_02355
ko:K03216	amag:I533_02360
ko:K00057	amag:I533_02370
ko:K03071	amag:I533_02375
ko:K09798	amag:I533_02395
ko:K01126	amag:I533_02405
ko:K01613	amag:I533_02415
ko:K06949	amag:I533_02420
ko:K13288	amag:I533_02425
ko:K09897	amag:I533_02460
ko:K01652	amag:I533_02465
ko:K01653	amag:I533_02470
ko:K03116	amag:I533_02480
ko:K03117	amag:I533_02485
ko:K03118	amag:I533_02490
ko:K03424	amag:I533_02500
ko:K01698	amag:I533_02510
ko:K01524	amag:I533_02515
ko:K03732	amag:I533_02520
ko:K03671	amag:I533_02525
ko:K03628	amag:I533_02530
ko:K03313	amag:I533_02545
ko:K01588	amag:I533_02550
ko:K01589	amag:I533_02555
ko:K04047	amag:I533_02565
ko:K05838	amag:I533_02585
ko:K09937	amag:I533_02600
ko:K01939	amag:I533_02605
ko:K00128	amag:I533_02610
ko:K06991	amag:I533_02615
ko:K01207	amag:I533_02635
ko:K07106	amag:I533_02650
ko:K01775	amag:I533_02655
ko:K03573	amag:I533_02930
ko:K08311	amag:I533_02935
ko:K08484	amag:I533_02940
ko:K13292	amag:I533_02950
ko:K08218	amag:I533_02970
ko:K06177	amag:I533_02985
ko:K03580	amag:I533_02990
ko:K07175	amag:I533_03005
ko:K02302	amag:I533_03015
ko:K05592	amag:I533_03020
ko:K08714	amag:I533_03030
ko:K12340	amag:I533_03040
ko:K01515	amag:I533_03045
ko:K09920	amag:I533_03050
ko:K03651	amag:I533_03055
ko:K07000	amag:I533_03060
ko:K02622	amag:I533_03065
ko:K02356	amag:I533_03105
ko:K04568	amag:I533_03110
ko:K02014	amag:I533_03115
ko:K02014	amag:I533_03130
ko:K01273	amag:I533_03135
ko:K03767	amag:I533_03140
ko:K05527	amag:I533_03155
ko:K09962	amag:I533_03165
ko:K03321	amag:I533_03185
ko:K00362	amag:I533_03190
ko:K07184	amag:I533_02915
ko:K03618	amag:I533_01455
ko:K06282	amag:I533_01460
ko:K06281	amag:I533_01465
ko:K04653	amag:I533_01475
ko:K04651	amag:I533_01480
ko:K04652	amag:I533_01485
ko:K04654	amag:I533_01490
ko:K04656	amag:I533_01495
ko:K04655	amag:I533_01500
ko:K17686	amag:I533_01510
ko:K15725	amag:I533_01575
ko:K15726	amag:I533_01585
ko:K16264	amag:I533_01590
ko:K00901	amag:I533_01600
ko:K03760	amag:I533_01605
ko:K15726	amag:I533_01655
ko:K15727	amag:I533_01660
ko:K15725	amag:I533_01665
ko:K17686	amag:I533_01705
ko:K07233	amag:I533_01750
ko:K03406	amag:I533_01770
ko:K00575	amag:I533_01775
ko:K03411	amag:I533_01780
ko:K03412	amag:I533_01785
ko:K01560	amag:I533_01795
ko:K01194	amag:I533_01815
ko:K05499	amag:I533_01855
ko:K00826	amag:I533_01900
ko:K01834	amag:I533_01905
ko:K09705	amag:I533_01910
ko:K01681	amag:I533_01915
ko:K02946	amag:I533_01930
ko:K02906	amag:I533_01935
ko:K02926	amag:I533_01940
ko:K02892	amag:I533_01945
ko:K02886	amag:I533_01950
ko:K02965	amag:I533_01955
ko:K02890	amag:I533_01960
ko:K02982	amag:I533_01965
ko:K02904	amag:I533_01975
ko:K02961	amag:I533_01980
ko:K02527	amag:I533_01995
ko:K03406	amag:I533_02015
ko:K01284	amag:I533_02020
ko:K01433	amag:I533_02030
ko:K01975	amag:I533_02035
ko:K03579	amag:I533_02040
ko:K08305	amag:I533_02045
ko:K05365	amag:I533_02050
ko:K09781	amag:I533_02065
ko:K04752	amag:I533_02080
ko:K03320	amag:I533_02085
ko:K07223	amag:I533_02095
ko:K01845	amag:I533_02105
ko:K00609	amag:I533_02110
ko:K07678	amag:I533_02135
ko:K02621	amag:I533_02140
ko:K06447	amag:I533_02160
ko:K00673	amag:I533_02165
ko:K01664	amag:I533_02180
ko:K01867	amag:I533_02185
ko:K01783	amag:I533_02190
ko:K03112	amag:I533_02215
ko:K01735	amag:I533_02220
ko:K02878	amag:I533_01970
ko:K01704	amag:I533_04280
ko:K01703	amag:I533_04285
ko:K00052	amag:I533_04290
ko:K01649	amag:I533_04295
ko:K01689	amag:I533_04305
ko:K01937	amag:I533_04310
ko:K03555	amag:I533_04315
ko:K03743	amag:I533_04320
ko:K09697	amag:I533_04330
ko:K09696	amag:I533_04335
ko:K04061	amag:I533_04340
ko:K02193	amag:I533_04355
ko:K02194	amag:I533_04360
ko:K02195	amag:I533_04365
ko:K02196	amag:I533_04370
ko:K02197	amag:I533_04375
ko:K02198	amag:I533_04380
ko:K02199	amag:I533_04385
ko:K02200	amag:I533_04390
ko:K04754	amag:I533_04400
ko:K01784	amag:I533_04405
ko:K03305	amag:I533_04415
ko:K10107	amag:I533_04420
ko:K09689	amag:I533_04425
ko:K09688	amag:I533_04430
ko:K02851	amag:I533_04445
ko:K12990	amag:I533_04455
ko:K00963	amag:I533_04460
ko:K02237	amag:I533_04465
ko:K00030	amag:I533_04470
ko:K06966	amag:I533_04485
ko:K06879	amag:I533_04495
ko:K15723	amag:I533_04500
ko:K06175	amag:I533_04535
ko:K00674	amag:I533_04545
ko:K00990	amag:I533_04550
ko:K02967	amag:I533_04560
ko:K02357	amag:I533_04565
ko:K09903	amag:I533_04570
