ko:K09779	ctrs:SOTONE8_00002
ko:K03641	ctrs:SOTONE8_00638
ko:K03640	ctrs:SOTONE8_00639
ko:K03648	ctrs:SOTONE8_00648
ko:K03657	ctrs:SOTONE8_00649
ko:K03092	ctrs:SOTONE8_00650
ko:K06137	ctrs:SOTONE8_00651
ko:K13941	ctrs:SOTONE8_00654
ko:K01633	ctrs:SOTONE8_00655
ko:K03086	ctrs:SOTONE8_00656
ko:K02968	ctrs:SOTONE8_00658
ko:K03980	ctrs:SOTONE8_00665
ko:K01151	ctrs:SOTONE8_00666
ko:K02986	ctrs:SOTONE8_00667
ko:K07146	ctrs:SOTONE8_00668
ko:K13789	ctrs:SOTONE8_00669
ko:K01698	ctrs:SOTONE8_00675
ko:K00346	ctrs:SOTONE8_00676
ko:K07220	ctrs:SOTONE8_00740
ko:K03306	ctrs:SOTONE8_00741
ko:K00927	ctrs:SOTONE8_00743
ko:K10773	ctrs:SOTONE8_00747
ko:K03650	ctrs:SOTONE8_00748
ko:K01613	ctrs:SOTONE8_00749
ko:K03070	ctrs:SOTONE8_00751
ko:K03977	ctrs:SOTONE8_00753
ko:K03544	ctrs:SOTONE8_00755
ko:K01358	ctrs:SOTONE8_00756
ko:K03545	ctrs:SOTONE8_00757
ko:K03569	ctrs:SOTONE8_00760
ko:K00057	ctrs:SOTONE8_00765
ko:K02412	ctrs:SOTONE8_00768
ko:K02411	ctrs:SOTONE8_00769
ko:K02409	ctrs:SOTONE8_00770
ko:K13819	ctrs:SOTONE8_00771
ko:K04487	ctrs:SOTONE8_00772
ko:K06178	ctrs:SOTONE8_00774
ko:K03524	ctrs:SOTONE8_00776
ko:K05837	ctrs:SOTONE8_00777
ko:K01875	ctrs:SOTONE8_00780
ko:K11752	ctrs:SOTONE8_00781
ko:K14652	ctrs:SOTONE8_00782
ko:K00794	ctrs:SOTONE8_00783
ko:K03310	ctrs:SOTONE8_00786
ko:K03685	ctrs:SOTONE8_00311
ko:K04485	ctrs:SOTONE8_00312
ko:K01749	ctrs:SOTONE8_00313
ko:K01873	ctrs:SOTONE8_00316
ko:K03046	ctrs:SOTONE8_00328
ko:K03043	ctrs:SOTONE8_00329
ko:K02935	ctrs:SOTONE8_00330
ko:K02864	ctrs:SOTONE8_00331
ko:K02863	ctrs:SOTONE8_00332
ko:K02867	ctrs:SOTONE8_00333
ko:K02601	ctrs:SOTONE8_00334
ko:K03073	ctrs:SOTONE8_00335
ko:K02358	ctrs:SOTONE8_00337
ko:K02518	ctrs:SOTONE8_00339
ko:K01803	ctrs:SOTONE8_00348
ko:K03601	ctrs:SOTONE8_00349
ko:K03602	ctrs:SOTONE8_00350
ko:K01662	ctrs:SOTONE8_00352
ko:K00873	ctrs:SOTONE8_00353
ko:K03701	ctrs:SOTONE8_00354
ko:K02343	ctrs:SOTONE8_00355
ko:K09747	ctrs:SOTONE8_00356
ko:K11381	ctrs:SOTONE8_00362
ko:K03466	ctrs:SOTONE8_00790
ko:K00351	ctrs:SOTONE8_00795
ko:K03210	ctrs:SOTONE8_00796
ko:K00231	ctrs:SOTONE8_00800
ko:K01599	ctrs:SOTONE8_00802
ko:K03723	ctrs:SOTONE8_00803
ko:K01872	ctrs:SOTONE8_00804
ko:K00615	ctrs:SOTONE8_00808
ko:K01241	ctrs:SOTONE8_00809
ko:K02356	ctrs:SOTONE8_00810
ko:K01929	ctrs:SOTONE8_00815
ko:K01000	ctrs:SOTONE8_00816
ko:K01925	ctrs:SOTONE8_00817
ko:K03588	ctrs:SOTONE8_00819
ko:K02563	ctrs:SOTONE8_00820
ko:K06960	ctrs:SOTONE8_00822
ko:K00791	ctrs:SOTONE8_00825
ko:K09710	ctrs:SOTONE8_00828
ko:K09458	ctrs:SOTONE8_00829
ko:K00263	ctrs:SOTONE8_00832
ko:K00655	ctrs:SOTONE8_00834
ko:K04066	ctrs:SOTONE8_00837
ko:K03686	ctrs:SOTONE8_00363
ko:K02970	ctrs:SOTONE8_00364
ko:K01338	ctrs:SOTONE8_00367
ko:K03733	ctrs:SOTONE8_00370
ko:K06287	ctrs:SOTONE8_00372
ko:K03075	ctrs:SOTONE8_00375
ko:K01462	ctrs:SOTONE8_00376
ko:K02528	ctrs:SOTONE8_00377
ko:K06888	ctrs:SOTONE8_00379
ko:K03523	ctrs:SOTONE8_00383
ko:K01714	ctrs:SOTONE8_00386
ko:K00928	ctrs:SOTONE8_00387
ko:K00133	ctrs:SOTONE8_00388
ko:K00215	ctrs:SOTONE8_00389
ko:K00800	ctrs:SOTONE8_00391
ko:K00891	ctrs:SOTONE8_00392
ko:K01736	ctrs:SOTONE8_00393
ko:K01735	ctrs:SOTONE8_00394
ko:K13832	ctrs:SOTONE8_00395
ko:K03758	ctrs:SOTONE8_00399
ko:K00024	ctrs:SOTONE8_00401
ko:K01810	ctrs:SOTONE8_00403
ko:K03665	ctrs:SOTONE8_00404
ko:K06167	ctrs:SOTONE8_00405
ko:K09996	ctrs:SOTONE8_00406
ko:K06966	ctrs:SOTONE8_00413
ko:K09131	ctrs:SOTONE8_00414
ko:K10206	ctrs:SOTONE8_00416
ko:K03559	ctrs:SOTONE8_00636
ko:K02435	ctrs:SOTONE8_00003
ko:K02434	ctrs:SOTONE8_00005
ko:K02517	ctrs:SOTONE8_00011
ko:K00425	ctrs:SOTONE8_00014
ko:K00426	ctrs:SOTONE8_00015
ko:K07175	ctrs:SOTONE8_00016
ko:K01870	ctrs:SOTONE8_00021
ko:K03100	ctrs:SOTONE8_00022
ko:K02909	ctrs:SOTONE8_00024
ko:K02835	ctrs:SOTONE8_00025
ko:K02493	ctrs:SOTONE8_00026
ko:K03106	ctrs:SOTONE8_00027
ko:K02959	ctrs:SOTONE8_00028
ko:K00554	ctrs:SOTONE8_00029
ko:K02884	ctrs:SOTONE8_00030
ko:K03470	ctrs:SOTONE8_00031
ko:K00942	ctrs:SOTONE8_00032
ko:K01874	ctrs:SOTONE8_00034
ko:K03581	ctrs:SOTONE8_00035
ko:K01494	ctrs:SOTONE8_00042
ko:K03551	ctrs:SOTONE8_00043
ko:K03536	ctrs:SOTONE8_00841
ko:K02919	ctrs:SOTONE8_00842
ko:K02954	ctrs:SOTONE8_00843
ko:K03703	ctrs:SOTONE8_00847
ko:K03555	ctrs:SOTONE8_00848
ko:K14164	ctrs:SOTONE8_00852
ko:K00995	ctrs:SOTONE8_00853
ko:K00703	ctrs:SOTONE8_00854
ko:K02897	ctrs:SOTONE8_00856
ko:K01056	ctrs:SOTONE8_00857
ko:K02990	ctrs:SOTONE8_00858
ko:K02963	ctrs:SOTONE8_00859
ko:K02939	ctrs:SOTONE8_00860
ko:K00919	ctrs:SOTONE8_00861
ko:K00630	ctrs:SOTONE8_00865
ko:K08301	ctrs:SOTONE8_00866
ko:K02911	ctrs:SOTONE8_00869
ko:K03621	ctrs:SOTONE8_00870
ko:K03431	ctrs:SOTONE8_00875
ko:K00820	ctrs:SOTONE8_00876
ko:K03834	ctrs:SOTONE8_00877
ko:K03834	ctrs:SOTONE8_00879
ko:K06890	ctrs:SOTONE8_00880
ko:K03110	ctrs:SOTONE8_00881
ko:K01903	ctrs:SOTONE8_00882
ko:K01902	ctrs:SOTONE8_00883
ko:K09760	ctrs:SOTONE8_00885
ko:K00075	ctrs:SOTONE8_00892
ko:K02520	ctrs:SOTONE8_00894
ko:K02916	ctrs:SOTONE8_00895
ko:K01881	ctrs:SOTONE8_00419
ko:K03705	ctrs:SOTONE8_00420
ko:K03687	ctrs:SOTONE8_00421
ko:K04043	ctrs:SOTONE8_00422
ko:K12573	ctrs:SOTONE8_00423
ko:K07164	ctrs:SOTONE8_00424
ko:K06041	ctrs:SOTONE8_00425
ko:K00658	ctrs:SOTONE8_00426
ko:K00912	ctrs:SOTONE8_00428
ko:K03437	ctrs:SOTONE8_00429
ko:K06969	ctrs:SOTONE8_00430
ko:K00793	ctrs:SOTONE8_00431
ko:K07738	ctrs:SOTONE8_00432
ko:K06204	ctrs:SOTONE8_00433
ko:K03101	ctrs:SOTONE8_00434
ko:K03310	ctrs:SOTONE8_00435
ko:K00748	ctrs:SOTONE8_00437
ko:K09817	ctrs:SOTONE8_00443
ko:K09816	ctrs:SOTONE8_00444
ko:K03979	ctrs:SOTONE8_00445
ko:K02899	ctrs:SOTONE8_00446
ko:K02888	ctrs:SOTONE8_00447
ko:K07042	ctrs:SOTONE8_00452
ko:K03183	ctrs:SOTONE8_00458
ko:K01778	ctrs:SOTONE8_00460
ko:K01358	ctrs:SOTONE8_00461
ko:K00600	ctrs:SOTONE8_00462
ko:K01770	ctrs:SOTONE8_00464
ko:K02946	ctrs:SOTONE8_00466
ko:K02355	ctrs:SOTONE8_00467
ko:K02992	ctrs:SOTONE8_00468
ko:K02950	ctrs:SOTONE8_00469
ko:K01255	ctrs:SOTONE8_00048
ko:K02340	ctrs:SOTONE8_00050
ko:K07056	ctrs:SOTONE8_00051
ko:K00164	ctrs:SOTONE8_00057
ko:K00658	ctrs:SOTONE8_00058
ko:K05810	ctrs:SOTONE8_00059
ko:K03526	ctrs:SOTONE8_00060
ko:K02400	ctrs:SOTONE8_00064
ko:K02405	ctrs:SOTONE8_00065
ko:K01866	ctrs:SOTONE8_00066
ko:K03596	ctrs:SOTONE8_00068
ko:K03301	ctrs:SOTONE8_00069
ko:K00099	ctrs:SOTONE8_00075
ko:K03629	ctrs:SOTONE8_00078
ko:K02338	ctrs:SOTONE8_00079
ko:K03664	ctrs:SOTONE8_00080
ko:K03734	ctrs:SOTONE8_00081
ko:K01491	ctrs:SOTONE8_00082
ko:K02902	ctrs:SOTONE8_00088
ko:K00705	ctrs:SOTONE8_00089
ko:K04058	ctrs:SOTONE8_00091
ko:K03230	ctrs:SOTONE8_00092
ko:K03229	ctrs:SOTONE8_00093
ko:K06942	ctrs:SOTONE8_00094
ko:K11753	ctrs:SOTONE8_00095
ko:K02887	ctrs:SOTONE8_00896
ko:K01889	ctrs:SOTONE8_00897
ko:K11720	ctrs:SOTONE8_00900
ko:K07091	ctrs:SOTONE8_00901
ko:K04075	ctrs:SOTONE8_00902
ko:K03798	ctrs:SOTONE8_00903
ko:K00962	ctrs:SOTONE8_00904
ko:K02956	ctrs:SOTONE8_00905
ko:K01265	ctrs:SOTONE8_00914
ko:K03321	ctrs:SOTONE8_00919
ko:K03527	ctrs:SOTONE8_00922
ko:K03797	ctrs:SOTONE8_00471
ko:K07462	ctrs:SOTONE8_00478
ko:K12257	ctrs:SOTONE8_00479
ko:K00806	ctrs:SOTONE8_00481
ko:K00981	ctrs:SOTONE8_00482
ko:K00945	ctrs:SOTONE8_00483
ko:K00655	ctrs:SOTONE8_00484
ko:K01887	ctrs:SOTONE8_00485
ko:K00790	ctrs:SOTONE8_00486
ko:K02836	ctrs:SOTONE8_00490
ko:K00991	ctrs:SOTONE8_00493
ko:K06173	ctrs:SOTONE8_00494
ko:K07710	ctrs:SOTONE8_00499
ko:K07714	ctrs:SOTONE8_00500
ko:K03584	ctrs:SOTONE8_00503
ko:K01890	ctrs:SOTONE8_00508
ko:K02034	ctrs:SOTONE8_00511
ko:K01772	ctrs:SOTONE8_00520
ko:K01985	ctrs:SOTONE8_00794
ko:K01985	ctrs:SOTONE8_00807
ko:K02028	ctrs:SOTONE8_00132
ko:K14220	ctrs:SOTONE8_00040
ko:K15035	ctrs:SOTONE8_00020
ko:K14222	ctrs:SOTONE8_00814
ko:K01977	ctrs:SOTONE8_00792
ko:K01977	ctrs:SOTONE8_00805
ko:K01980	ctrs:SOTONE8_00793
ko:K01980	ctrs:SOTONE8_00806
ko:K17103	ctrs:SOTONE8_00886
ko:K14233	ctrs:SOTONE8_00380
ko:K04084	ctrs:SOTONE8_00634
ko:K14236	ctrs:SOTONE8_00145
ko:K14227	ctrs:SOTONE8_00189
ko:K14218	ctrs:SOTONE8_00190
ko:K14218	ctrs:SOTONE8_00679
ko:K14230	ctrs:SOTONE8_00218
ko:K14230	ctrs:SOTONE8_00346
ko:K14235	ctrs:SOTONE8_00336
ko:K14233	ctrs:SOTONE8_00532
ko:K14231	ctrs:SOTONE8_00448
ko:K14228	ctrs:SOTONE8_00497
ko:K14221	ctrs:SOTONE8_00234
ko:K14233	ctrs:SOTONE8_00441
ko:K14228	ctrs:SOTONE8_00540
ko:K14228	ctrs:SOTONE8_00576
ko:K14219	ctrs:SOTONE8_00501
ko:K14219	ctrs:SOTONE8_00643
ko:K14219	ctrs:SOTONE8_00700
ko:K14232	ctrs:SOTONE8_00673
ko:K14229	ctrs:SOTONE8_00723
ko:K14224	ctrs:SOTONE8_00724
ko:K14226	ctrs:SOTONE8_00791
ko:K14223	ctrs:SOTONE8_00855
ko:K14234	ctrs:SOTONE8_00720
ko:K14225	ctrs:SOTONE8_00729
ko:K14228	ctrs:SOTONE8_00505
ko:K14228	ctrs:SOTONE8_00927
ko:K14232	ctrs:SOTONE8_00063
ko:K14237	ctrs:SOTONE8_00235
ko:K14230	ctrs:SOTONE8_00219
ko:K14234	ctrs:SOTONE8_00144
ko:K14234	ctrs:SOTONE8_00338
ko:K02035	ctrs:SOTONE8_00183
ko:K02049	ctrs:SOTONE8_00188
ko:K01409	ctrs:SOTONE8_00207
ko:K15582	ctrs:SOTONE8_00210
ko:K10823	ctrs:SOTONE8_00211
ko:K15583	ctrs:SOTONE8_00212
ko:K06889	ctrs:SOTONE8_00216
ko:K02121	ctrs:SOTONE8_00324
ko:K00616	ctrs:SOTONE8_00327
ko:K08483	ctrs:SOTONE8_00357
ko:K11189	ctrs:SOTONE8_00358
ko:K00784	ctrs:SOTONE8_00369
ko:K02342	ctrs:SOTONE8_00573
ko:K14225	ctrs:SOTONE8_00758
ko:K00059	ctrs:SOTONE8_00251
ko:K07052	ctrs:SOTONE8_00268
ko:K03856	ctrs:SOTONE8_00407
ko:K07258	ctrs:SOTONE8_00589
ko:K03227	ctrs:SOTONE8_00601
ko:K02454	ctrs:SOTONE8_00609
ko:K01262	ctrs:SOTONE8_00612
ko:K07315	ctrs:SOTONE8_00626
ko:K00241	ctrs:SOTONE8_00632
ko:K00970	ctrs:SOTONE8_00754
ko:K01596	ctrs:SOTONE8_00761
ko:K00972	ctrs:SOTONE8_00766
ko:K01834	ctrs:SOTONE8_00773
ko:K06910	ctrs:SOTONE8_00787
ko:K07117	ctrs:SOTONE8_00788
ko:K00970	ctrs:SOTONE8_00436
ko:K09815	ctrs:SOTONE8_00442
ko:K01719	ctrs:SOTONE8_00463
ko:K00380	ctrs:SOTONE8_00465
ko:K01885	ctrs:SOTONE8_00476
ko:K03386	ctrs:SOTONE8_00642
ko:K02428	ctrs:SOTONE8_00646
ko:K00813	ctrs:SOTONE8_00680
ko:K01934	ctrs:SOTONE8_00692
ko:K01507	ctrs:SOTONE8_00831
ko:K01082	ctrs:SOTONE8_00833
ko:K01909	ctrs:SOTONE8_00835
ko:K00652	ctrs:SOTONE8_00836
ko:K01408	ctrs:SOTONE8_00864
ko:K03471	ctrs:SOTONE8_00009
ko:K00033	ctrs:SOTONE8_00067
ko:K11707	ctrs:SOTONE8_00071
ko:K11710	ctrs:SOTONE8_00072
ko:K11708	ctrs:SOTONE8_00073
ko:K11709	ctrs:SOTONE8_00074
ko:K03177	ctrs:SOTONE8_00096
ko:K06179	ctrs:SOTONE8_00108
ko:K02342	ctrs:SOTONE8_00275
ko:K02806	ctrs:SOTONE8_00304
ko:K02806	ctrs:SOTONE8_00305
ko:K02124	ctrs:SOTONE8_00318
ko:K02123	ctrs:SOTONE8_00319
ko:K02120	ctrs:SOTONE8_00320
ko:K02118	ctrs:SOTONE8_00321
ko:K02117	ctrs:SOTONE8_00322
ko:K07098	ctrs:SOTONE8_00492
ko:K00567	ctrs:SOTONE8_00510
ko:K02033	ctrs:SOTONE8_00512
ko:K02035	ctrs:SOTONE8_00513
ko:K02030	ctrs:SOTONE8_00521
ko:K01679	ctrs:SOTONE8_00918
ko:K04763	ctrs:SOTONE8_00929
ko:K00700	ctrs:SOTONE8_00931
ko:K00939	ctrs:SOTONE8_00130
ko:K02035	ctrs:SOTONE8_00141
ko:K06889	ctrs:SOTONE8_00153
ko:K14237	ctrs:SOTONE8_00890
ko:K01840	ctrs:SOTONE8_00309
ko:K06972	ctrs:SOTONE8_00884
ko:K07081	ctrs:SOTONE8_00457
ko:K00927	ctrs:SOTONE8_00742
ko:K00239	ctrs:SOTONE8_00631
ko:K03625	ctrs:SOTONE8_00893
ko:K08275	ctrs:SOTONE8_00083
ko:K01802	ctrs:SOTONE8_00579
ko:K03309	ctrs:SOTONE8_00427
ko:K08719	ctrs:SOTONE8_00764
ko:K08274	ctrs:SOTONE8_00402
ko:K01921	ctrs:SOTONE8_00821
ko:K01924	ctrs:SOTONE8_00821
ko:K01829	ctrs:SOTONE8_00839
ko:K01829	ctrs:SOTONE8_00840
ko:K07033	ctrs:SOTONE8_00733
ko:K01214	ctrs:SOTONE8_00045
ko:K03825	ctrs:SOTONE8_00489
ko:K03497	ctrs:SOTONE8_00737
ko:K03496	ctrs:SOTONE8_p7
ko:K03496	ctrs:SOTONE8_00620
ko:K03111	ctrs:SOTONE8_00047
ko:K02626	ctrs:SOTONE8_00398
ko:K11991	ctrs:SOTONE8_00906
ko:K19411	ctrs:SOTONE8_00722
ko:K02031	ctrs:SOTONE8_00739
ko:K07125	ctrs:SOTONE8_00341
ko:K00525	ctrs:SOTONE8_00887
ko:K22100	ctrs:SOTONE8_00347
ko:K12132	ctrs:SOTONE8_00315
ko:K20265	ctrs:SOTONE8_00228
ko:K20074	ctrs:SOTONE8_00273
ko:K11749	ctrs:SOTONE8_00076
ko:K22099	ctrs:SOTONE8_00652
ko:K00526	ctrs:SOTONE8_00888
ko:K02335	ctrs:SOTONE8_00528
ko:K01520	ctrs:SOTONE8_00306
ko:K02314	ctrs:SOTONE8_00533
ko:K03553	ctrs:SOTONE8_00693
ko:K02314	ctrs:SOTONE8_p3
ko:K00287	ctrs:SOTONE8_00653
ko:K02316	ctrs:SOTONE8_00849
ko:K02032	ctrs:SOTONE8_00738
ko:K02050	ctrs:SOTONE8_00917
ko:K02051	ctrs:SOTONE8_00917
ko:K01534	ctrs:SOTONE8_00778
ko:K16239	ctrs:SOTONE8_00087
