ko:K07489	ypw:CH59_896
ko:K10011	ypw:CH59_4254
ko:K10012	ypw:CH59_4255
ko:K07806	ypw:CH59_4256
ko:K06074	ypw:CH59_4257
ko:K00432	ypw:CH59_4258
ko:K06073	ypw:CH59_4259
ko:K04764	ypw:CH59_4261
ko:K01890	ypw:CH59_4262
ko:K01889	ypw:CH59_4263
ko:K02887	ypw:CH59_4264
ko:K02916	ypw:CH59_4265
ko:K02520	ypw:CH59_4266
ko:K01868	ypw:CH59_4267
ko:K05595	ypw:CH59_4270
ko:K08308	ypw:CH59_4271
ko:K11604	ypw:CH59_4272
ko:K11607	ypw:CH59_4273
ko:K11605	ypw:CH59_4274
ko:K11606	ypw:CH59_4275
ko:K02846	ypw:CH59_4281
ko:K11744	ypw:CH59_4283
ko:K07146	ypw:CH59_4284
ko:K10003	ypw:CH59_3487
ko:K10001	ypw:CH59_3488
ko:K03820	ypw:CH59_3489
ko:K06189	ypw:CH59_3490
ko:K07042	ypw:CH59_3491
ko:K06168	ypw:CH59_3493
ko:K03184	ypw:CH59_3494
ko:K01953	ypw:CH59_3500
ko:K02566	ypw:CH59_3501
ko:K02565	ypw:CH59_3502
ko:K01443	ypw:CH59_3503
ko:K02564	ypw:CH59_3504
ko:K02802	ypw:CH59_3505
ko:K02803	ypw:CH59_3505
ko:K02804	ypw:CH59_3505
ko:K07491	ypw:CH59_3506
ko:K07491	ypw:CH59_3508
ko:K01886	ypw:CH59_3509
ko:K12373	ypw:CH59_3512
ko:K03711	ypw:CH59_3513
ko:K03839	ypw:CH59_3514
ko:K16842	ypw:CH59_3523
ko:K02002	ypw:CH59_3524
ko:K02001	ypw:CH59_3525
ko:K02000	ypw:CH59_3526
ko:K03647	ypw:CH59_3529
ko:K03704	ypw:CH59_3538
ko:K02035	ypw:CH59_3539
ko:K03497	ypw:CH59_4362
ko:K07347	ypw:CH59_4378
ko:K02337	ypw:CH59_4385
ko:K03226	ypw:CH59_4393
ko:K03227	ypw:CH59_4394
ko:K03228	ypw:CH59_4395
ko:K03229	ypw:CH59_4396
ko:K04049	ypw:CH59_4399
ko:K03219	ypw:CH59_4400
ko:K03220	ypw:CH59_4401
ko:K04050	ypw:CH59_4402
ko:K03221	ypw:CH59_4403
ko:K04051	ypw:CH59_4404
ko:K04052	ypw:CH59_4405
ko:K04053	ypw:CH59_4406
ko:K03222	ypw:CH59_4407
ko:K04054	ypw:CH59_4408
ko:K03223	ypw:CH59_4409
ko:K00278	ypw:CH59_3595
ko:K03088	ypw:CH59_3596
ko:K03597	ypw:CH59_3597
ko:K03598	ypw:CH59_3598
ko:K03803	ypw:CH59_3599
ko:K03596	ypw:CH59_3601
ko:K03100	ypw:CH59_3602
ko:K03685	ypw:CH59_3603
ko:K03584	ypw:CH59_3605
ko:K11892	ypw:CH59_3608
ko:K11891	ypw:CH59_3609
ko:K11904	ypw:CH59_3610
ko:K11898	ypw:CH59_3613
ko:K11897	ypw:CH59_3614
ko:K06193	ypw:CH59_3616
ko:K03744	ypw:CH59_3618
ko:K02193	ypw:CH59_3621
ko:K02194	ypw:CH59_3622
ko:K02195	ypw:CH59_3623
ko:K02196	ypw:CH59_3624
ko:K02197	ypw:CH59_3625
ko:K02198	ypw:CH59_3626
ko:K02199	ypw:CH59_3627
ko:K02200	ypw:CH59_3628
ko:K04754	ypw:CH59_3630
ko:K06076	ypw:CH59_3631
ko:K01782	ypw:CH59_3634
ko:K08296	ypw:CH59_3635
ko:K07320	ypw:CH59_3637
ko:K01736	ypw:CH59_3638
ko:K07261	ypw:CH59_3639
ko:K07090	ypw:CH59_3640
ko:K09906	ypw:CH59_3641
ko:K15461	ypw:CH59_3643
ko:K00647	ypw:CH59_3644
ko:K01779	ypw:CH59_3645
ko:K03230	ypw:CH59_4473
ko:K04060	ypw:CH59_4474
ko:K04059	ypw:CH59_4475
ko:K04058	ypw:CH59_4478
ko:K03224	ypw:CH59_4479
ko:K03224	ypw:CH59_4480
ko:K04056	ypw:CH59_4481
ko:K03225	ypw:CH59_4483
ko:K04786	ypw:CH59_3704
ko:K04784	ypw:CH59_3705
ko:K05372	ypw:CH59_3706
ko:K06147	ypw:CH59_3707
ko:K06147	ypw:CH59_3708
ko:K05373	ypw:CH59_3709
ko:K04781	ypw:CH59_3710
ko:K07347	ypw:CH59_3715
ko:K07345	ypw:CH59_3717
ko:K07688	ypw:CH59_3720
ko:K18288	ypw:CH59_3722
ko:K18290	ypw:CH59_3723
ko:K18292	ypw:CH59_3724
ko:K00350	ypw:CH59_3731
ko:K11738	ypw:CH59_3733
ko:K01425	ypw:CH59_3735
ko:K07243	ypw:CH59_3737
ko:K07230	ypw:CH59_3738
ko:K02004	ypw:CH59_3740
ko:K02003	ypw:CH59_3743
ko:K16868	ypw:CH59_3746
ko:K11935	ypw:CH59_3748
ko:K11931	ypw:CH59_3749
ko:K11936	ypw:CH59_3750
ko:K11937	ypw:CH59_3751
ko:K07300	ypw:CH59_3755
ko:K07673	ypw:CH59_3756
ko:K00840	ypw:CH59_3760
ko:K09946	ypw:CH59_3219
ko:K07664	ypw:CH59_3220
ko:K07642	ypw:CH59_3221
ko:K18326	ypw:CH59_3222
ko:K07789	ypw:CH59_3223
ko:K07788	ypw:CH59_3224
ko:K07799	ypw:CH59_3225
ko:K02052	ypw:CH59_3226
ko:K00375	ypw:CH59_3227
ko:K00823	ypw:CH59_3228
ko:K02055	ypw:CH59_3229
ko:K02054	ypw:CH59_3230
ko:K02053	ypw:CH59_3231
ko:K04046	ypw:CH59_3232
ko:K06213	ypw:CH59_3233
ko:K01524	ypw:CH59_3234
ko:K00937	ypw:CH59_3235
ko:K02037	ypw:CH59_3236
ko:K02038	ypw:CH59_3237
ko:K02036	ypw:CH59_3238
ko:K18475	ypw:CH59_3239
ko:K18475	ypw:CH59_3240
ko:K00657	ypw:CH59_3241
ko:K11175	ypw:CH59_3242
ko:K01933	ypw:CH59_3243
ko:K00761	ypw:CH59_3244
ko:K07491	ypw:CH59_3245
ko:K14761	ypw:CH59_3246
ko:K01491	ypw:CH59_3247
ko:K00981	ypw:CH59_3255
ko:K10111	ypw:CH59_3264
ko:K10111	ypw:CH59_3265
ko:K02026	ypw:CH59_3266
ko:K02025	ypw:CH59_3267
ko:K02027	ypw:CH59_3268
ko:K03710	ypw:CH59_3270
ko:K04477	ypw:CH59_4087
ko:K07491	ypw:CH59_4092
ko:K02054	ypw:CH59_4094
ko:K02053	ypw:CH59_4095
ko:K02055	ypw:CH59_4096
ko:K03321	ypw:CH59_4099
ko:K03321	ypw:CH59_4102
ko:K07491	ypw:CH59_4103
ko:K01627	ypw:CH59_4104
ko:K02493	ypw:CH59_4107
ko:K02835	ypw:CH59_4108
ko:K02492	ypw:CH59_4109
ko:K02494	ypw:CH59_4110
ko:K00919	ypw:CH59_4111
ko:K00948	ypw:CH59_4112
ko:K01056	ypw:CH59_4114
ko:K06942	ypw:CH59_4115
ko:K06889	ypw:CH59_4124
ko:K07665	ypw:CH59_4125
ko:K07644	ypw:CH59_4126
ko:K01607	ypw:CH59_4127
ko:K06190	ypw:CH59_3922
ko:K10806	ypw:CH59_3923
ko:K03832	ypw:CH59_3926
ko:K09780	ypw:CH59_3927
ko:K09981	ypw:CH59_3928
ko:K06131	ypw:CH59_3931
ko:K09901	ypw:CH59_3932
ko:K10823	ypw:CH59_3934
ko:K15583	ypw:CH59_3935
ko:K15582	ypw:CH59_3936
ko:K15581	ypw:CH59_3937
ko:K15580	ypw:CH59_3938
ko:K04072	ypw:CH59_3940
ko:K03746	ypw:CH59_3945
ko:K00012	ypw:CH59_3946
ko:K09858	ypw:CH59_3948
ko:K01433	ypw:CH59_3950
ko:K01142	ypw:CH59_3955
ko:K08320	ypw:CH59_3956
ko:K03169	ypw:CH59_3958
ko:K01008	ypw:CH59_3959
ko:K04773	ypw:CH59_3961
ko:K01424	ypw:CH59_3962
ko:K08281	ypw:CH59_3963
ko:K09916	ypw:CH59_3964
ko:K07305	ypw:CH59_3965
ko:K00134	ypw:CH59_3966
ko:K01792	ypw:CH59_3967
ko:K07180	ypw:CH59_3969
ko:K09786	ypw:CH59_3970
ko:K06911	ypw:CH59_3973
ko:K07552	ypw:CH59_3974
ko:K00285	ypw:CH59_3975
ko:K09160	ypw:CH59_4040
ko:K08305	ypw:CH59_4042
ko:K09902	ypw:CH59_4043
ko:K03610	ypw:CH59_4044
ko:K03609	ypw:CH59_4045
ko:K03608	ypw:CH59_4046
ko:K03684	ypw:CH59_4047
ko:K01897	ypw:CH59_4048
ko:K07285	ypw:CH59_4049
ko:K14742	ypw:CH59_4050
ko:K11742	ypw:CH59_4053
ko:K11743	ypw:CH59_4054
ko:K01625	ypw:CH59_4055
ko:K00036	ypw:CH59_4057
ko:K00873	ypw:CH59_4059
ko:K02560	ypw:CH59_4060
ko:K09815	ypw:CH59_4062
ko:K09817	ypw:CH59_4063
ko:K09816	ypw:CH59_4064
ko:K03551	ypw:CH59_4065
ko:K03550	ypw:CH59_4066
ko:K01159	ypw:CH59_4067
ko:K08310	ypw:CH59_4069
ko:K01876	ypw:CH59_4070
ko:K07136	ypw:CH59_4072
ko:K15256	ypw:CH59_4073
ko:K15257	ypw:CH59_4074
ko:K06201	ypw:CH59_4075
ko:K02423	ypw:CH59_3327
ko:K01247	ypw:CH59_3331
ko:K07341	ypw:CH59_3332
ko:K02408	ypw:CH59_3334
ko:K02409	ypw:CH59_3335
ko:K02410	ypw:CH59_3336
ko:K02411	ypw:CH59_3337
ko:K02412	ypw:CH59_3338
ko:K02413	ypw:CH59_3339
ko:K02414	ypw:CH59_3340
ko:K02415	ypw:CH59_3341
ko:K02416	ypw:CH59_3342
ko:K02417	ypw:CH59_3343
ko:K02418	ypw:CH59_3344
ko:K02419	ypw:CH59_3345
ko:K02420	ypw:CH59_3346
ko:K02421	ypw:CH59_3347
ko:K02057	ypw:CH59_3351
ko:K02056	ypw:CH59_3352
ko:K02058	ypw:CH59_3353
ko:K02057	ypw:CH59_3354
ko:K02397	ypw:CH59_3357
ko:K02396	ypw:CH59_3358
ko:K02395	ypw:CH59_3359
ko:K02394	ypw:CH59_3360
ko:K02393	ypw:CH59_3361
ko:K02392	ypw:CH59_3362
ko:K02391	ypw:CH59_3363
ko:K02390	ypw:CH59_3364
ko:K02389	ypw:CH59_3365
ko:K02388	ypw:CH59_3366
ko:K02387	ypw:CH59_3367
ko:K02386	ypw:CH59_3368
ko:K02398	ypw:CH59_3369
ko:K02399	ypw:CH59_3370
ko:K07491	ypw:CH59_3372
ko:K03516	ypw:CH59_3374
ko:K02400	ypw:CH59_3375
ko:K02401	ypw:CH59_3376
ko:K03305	ypw:CH59_4193
ko:K00799	ypw:CH59_4196
ko:K00868	ypw:CH59_4197
ko:K01866	ypw:CH59_4198
ko:K00275	ypw:CH59_4199
ko:K09001	ypw:CH59_4201
ko:K06077	ypw:CH59_4202
ko:K06075	ypw:CH59_4203
ko:K06938	ypw:CH59_4205
ko:K03760	ypw:CH59_4206
ko:K16137	ypw:CH59_4207
ko:K10680	ypw:CH59_4208
ko:K11021	ypw:CH59_4209
ko:K01759	ypw:CH59_4210
ko:K03683	ypw:CH59_4211
ko:K07390	ypw:CH59_4212
ko:K04564	ypw:CH59_4215
ko:K03604	ypw:CH59_4217
ko:K00574	ypw:CH59_4220
ko:K00793	ypw:CH59_4221
ko:K03327	ypw:CH59_4222
ko:K00873	ypw:CH59_4225
ko:K06078	ypw:CH59_4226
ko:K07491	ypw:CH59_4227
ko:K07491	ypw:CH59_4228
ko:K19236	ypw:CH59_4233
ko:K02426	ypw:CH59_4234
ko:K11717	ypw:CH59_4235
ko:K09015	ypw:CH59_4236
ko:K09013	ypw:CH59_4237
ko:K09014	ypw:CH59_4238
ko:K05997	ypw:CH59_4239
ko:K19222	ypw:CH59_4240
ko:K09773	ypw:CH59_4244
ko:K01626	ypw:CH59_4245
ko:K08997	ypw:CH59_4246
ko:K03603	ypw:CH59_3977
ko:K03314	ypw:CH59_3978
ko:K03611	ypw:CH59_3979
ko:K04487	ypw:CH59_3982
ko:K07491	ypw:CH59_4001
ko:K07178	ypw:CH59_3432
ko:K09933	ypw:CH59_3434
ko:K02529	ypw:CH59_3440
ko:K06894	ypw:CH59_3443
ko:K08996	ypw:CH59_3445
ko:K00140	ypw:CH59_3448
ko:K03336	ypw:CH59_3449
ko:K00010	ypw:CH59_3450
ko:K00010	ypw:CH59_3451
ko:K17208	ypw:CH59_3452
ko:K17209	ypw:CH59_3455
ko:K03338	ypw:CH59_3457
ko:K03335	ypw:CH59_3458
ko:K03337	ypw:CH59_3459
ko:K06147	ypw:CH59_3461
ko:K03704	ypw:CH59_3468
ko:K06199	ypw:CH59_3469
ko:K03425	ypw:CH59_3470
ko:K03644	ypw:CH59_3471
ko:K03801	ypw:CH59_3472
ko:K09158	ypw:CH59_3473
ko:K07258	ypw:CH59_3474
ko:K03642	ypw:CH59_3475
ko:K05837	ypw:CH59_3476
ko:K05515	ypw:CH59_3477
ko:K00783	ypw:CH59_3478
ko:K09710	ypw:CH59_3479
ko:K09907	ypw:CH59_4076
ko:K01887	ypw:CH59_4077
ko:K11016	ypw:CH59_4078
ko:K11016	ypw:CH59_4079
ko:K11017	ypw:CH59_4080
ko:K03980	ypw:CH59_4081
ko:K03810	ypw:CH59_4082
ko:K03790	ypw:CH59_4083
ko:K08162	ypw:CH59_4084
ko:K08303	ypw:CH59_3218
ko:K00969	ypw:CH59_3480
ko:K02340	ypw:CH59_3481
ko:K03643	ypw:CH59_3482
ko:K01869	ypw:CH59_3483
ko:K10004	ypw:CH59_3485
ko:K10002	ypw:CH59_3486
ko:K07128	ypw:CH59_4309
ko:K07128	ypw:CH59_4311
ko:K07491	ypw:CH59_4323
ko:K03497	ypw:CH59_4353
ko:K02033	ypw:CH59_3540
ko:K02034	ypw:CH59_3541
ko:K01430	ypw:CH59_3545
ko:K01429	ypw:CH59_3546
ko:K01428	ypw:CH59_3547
ko:K03187	ypw:CH59_3548
ko:K03188	ypw:CH59_3549
ko:K03189	ypw:CH59_3550
ko:K03190	ypw:CH59_3551
ko:K08717	ypw:CH59_3552
ko:K07241	ypw:CH59_3553
ko:K10716	ypw:CH59_3555
ko:K06199	ypw:CH59_3556
ko:K06199	ypw:CH59_3557
ko:K02760	ypw:CH59_3558
ko:K02761	ypw:CH59_3559
ko:K02759	ypw:CH59_3560
ko:K03490	ypw:CH59_3561
ko:K03478	ypw:CH59_3562
ko:K03645	ypw:CH59_3565
ko:K01835	ypw:CH59_3566
ko:K08978	ypw:CH59_3569
ko:K07667	ypw:CH59_3570
ko:K07646	ypw:CH59_3571
ko:K01548	ypw:CH59_3572
ko:K01547	ypw:CH59_3573
ko:K01546	ypw:CH59_3574
ko:K01669	ypw:CH59_3577
ko:K07160	ypw:CH59_3583
ko:K01304	ypw:CH59_3586
ko:K03648	ypw:CH59_3587
ko:K05590	ypw:CH59_3593
ko:K15460	ypw:CH59_3594
ko:K08598	ypw:CH59_4417
ko:K07483	ypw:CH59_4420
ko:K07483	ypw:CH59_4430
ko:K07483	ypw:CH59_4432
ko:K07746	ypw:CH59_4454
ko:K03497	ypw:CH59_4456
ko:K03496	ypw:CH59_4457
ko:K07483	ypw:CH59_4460
ko:K08599	ypw:CH59_4463
ko:K03473	ypw:CH59_3650
ko:K07491	ypw:CH59_3651
ko:K06173	ypw:CH59_3653
ko:K03975	ypw:CH59_3654
ko:K01963	ypw:CH59_3655
ko:K11754	ypw:CH59_3656
ko:K03749	ypw:CH59_3657
ko:K03558	ypw:CH59_3658
ko:K00764	ypw:CH59_3659
ko:K03186	ypw:CH59_3660
ko:K10014	ypw:CH59_3661
ko:K10016	ypw:CH59_3662
ko:K10015	ypw:CH59_3663
ko:K10017	ypw:CH59_3664
ko:K07071	ypw:CH59_3665
ko:K07095	ypw:CH59_3667
ko:K03475	ypw:CH59_3669
ko:K05367	ypw:CH59_3671
ko:K07724	ypw:CH59_3672
ko:K06887	ypw:CH59_3676
ko:K05349	ypw:CH59_3685
ko:K06221	ypw:CH59_3687
ko:K07733	ypw:CH59_3697
ko:K15721	ypw:CH59_3700
ko:K04783	ypw:CH59_3701
ko:K05374	ypw:CH59_3702
ko:K04785	ypw:CH59_3703
ko:K00673	ypw:CH59_3761
ko:K06447	ypw:CH59_3762
ko:K01484	ypw:CH59_3763
ko:K05526	ypw:CH59_3764
ko:K07507	ypw:CH59_3770
ko:K03668	ypw:CH59_3772
ko:K03778	ypw:CH59_3773
ko:K09978	ypw:CH59_3776
ko:K00007	ypw:CH59_3777
ko:K01118	ypw:CH59_3779
ko:K03578	ypw:CH59_3780
ko:K04775	ypw:CH59_3783
ko:K11021	ypw:CH59_3788
ko:K07491	ypw:CH59_3789
ko:K01299	ypw:CH59_3790
ko:K07639	ypw:CH59_3791
ko:K07661	ypw:CH59_3792
ko:K03758	ypw:CH59_3794
ko:K00324	ypw:CH59_3796
ko:K00325	ypw:CH59_3797
ko:K14055	ypw:CH59_3798
ko:K00567	ypw:CH59_3800
ko:K01077	ypw:CH59_3801
ko:K01653	ypw:CH59_3805
ko:K01652	ypw:CH59_3806
ko:K07491	ypw:CH59_3809
ko:K01241	ypw:CH59_3813
ko:K01120	ypw:CH59_3578
ko:K07278	ypw:CH59_2521
ko:K09800	ypw:CH59_2522
ko:K01507	ypw:CH59_2524
ko:K03841	ypw:CH59_2525
ko:K02558	ypw:CH59_2526
ko:K03402	ypw:CH59_2528
ko:K00024	ypw:CH59_2529
ko:K07724	ypw:CH59_2530
ko:K02523	ypw:CH59_2532
ko:K02888	ypw:CH59_2533
ko:K02899	ypw:CH59_2534
ko:K03979	ypw:CH59_2536
ko:K07643	ypw:CH59_2537
ko:K07771	ypw:CH59_2538
ko:K07259	ypw:CH59_2539
ko:K03624	ypw:CH59_2540
ko:K07574	ypw:CH59_2541
ko:K02427	ypw:CH59_2542
ko:K03798	ypw:CH59_2543
ko:K00796	ypw:CH59_2544
ko:K03431	ypw:CH59_2545
ko:K03075	ypw:CH59_2546
ko:K09748	ypw:CH59_2549
ko:K02600	ypw:CH59_2550
ko:K02519	ypw:CH59_2551
ko:K02834	ypw:CH59_2552
ko:K03177	ypw:CH59_2553
ko:K02956	ypw:CH59_2554
ko:K07483	ypw:CH59_2555
ko:K00962	ypw:CH59_2557
ko:K05803	ypw:CH59_2558
ko:K05592	ypw:CH59_2559
ko:K03585	ypw:CH59_2564
ko:K18138	ypw:CH59_2565
ko:K18139	ypw:CH59_2566
ko:K08303	ypw:CH59_2568
ko:K03824	ypw:CH59_2570
ko:K07461	ypw:CH59_2571
ko:K02027	ypw:CH59_2574
ko:K11734	ypw:CH59_2627
ko:K00163	ypw:CH59_2629
ko:K00627	ypw:CH59_2630
ko:K00382	ypw:CH59_2631
ko:K07491	ypw:CH59_2632
ko:K01682	ypw:CH59_2633
ko:K09910	ypw:CH59_2634
ko:K01611	ypw:CH59_2636
ko:K00797	ypw:CH59_2637
ko:K14588	ypw:CH59_2639
ko:K00760	ypw:CH59_2640
ko:K01673	ypw:CH59_2641
ko:K01990	ypw:CH59_2642
ko:K01992	ypw:CH59_2643
ko:K01579	ypw:CH59_2645
ko:K01918	ypw:CH59_2646
ko:K00606	ypw:CH59_2647
ko:K00950	ypw:CH59_2648
ko:K00970	ypw:CH59_2649
ko:K01894	ypw:CH59_2650
ko:K06204	ypw:CH59_2651
ko:K06206	ypw:CH59_2652
ko:K01975	ypw:CH59_2653
ko:K03579	ypw:CH59_2654
ko:K05365	ypw:CH59_2655
ko:K02013	ypw:CH59_2656
ko:K02016	ypw:CH59_2657
ko:K02015	ypw:CH59_2658
ko:K01845	ypw:CH59_2659
ko:K03281	ypw:CH59_2660
ko:K15724	ypw:CH59_2661
ko:K06858	ypw:CH59_2663
ko:K01243	ypw:CH59_2664
ko:K01129	ypw:CH59_2665
ko:K07678	ypw:CH59_2667
ko:K00951	ypw:CH59_2668
ko:K04765	ypw:CH59_2669
ko:K01937	ypw:CH59_2670
ko:K01689	ypw:CH59_2671
ko:K04565	ypw:CH59_2672
ko:K10026	ypw:CH59_2673
ko:K01737	ypw:CH59_2674
ko:K00380	ypw:CH59_2675
ko:K00381	ypw:CH59_2676
ko:K00390	ypw:CH59_2677
ko:K03782	ypw:CH59_2730
ko:K17202	ypw:CH59_2731
ko:K17204	ypw:CH59_2733
ko:K17203	ypw:CH59_2734
ko:K00615	ypw:CH59_2735
ko:K00615	ypw:CH59_2736
ko:K00864	ypw:CH59_2737
ko:K03743	ypw:CH59_2741
ko:K03565	ypw:CH59_2743
ko:K01872	ypw:CH59_2744
ko:K03563	ypw:CH59_2745
ko:K01919	ypw:CH59_2752
ko:K07173	ypw:CH59_2753
ko:K07491	ypw:CH59_2754
ko:K07491	ypw:CH59_2755
ko:K03106	ypw:CH59_2758
