ko:K02409	ctb:CTL0088
ko:K02835	ctb:CTL0278
ko:K02493	ctb:CTL0279
ko:K03106	ctb:CTL0280
ko:K02959	ctb:CTL0281
ko:K00554	ctb:CTL0282
ko:K02884	ctb:CTL0283
ko:K03470	ctb:CTL0284
ko:K01494	ctb:CTL0294
ko:K03551	ctb:CTL0296
ko:K03111	ctb:CTL0300
ko:K01255	ctb:CTL0301
ko:K02340	ctb:CTL0303
ko:K07056	ctb:CTL0304
ko:K00164	ctb:CTL0310
ko:K05810	ctb:CTL0312
ko:K03526	ctb:CTL0313
ko:K02400	ctb:CTL0316
ko:K01866	ctb:CTL0318
ko:K00033	ctb:CTL0319
ko:K03596	ctb:CTL0320
ko:K03301	ctb:CTL0321
ko:K00099	ctb:CTL0327
ko:K03664	ctb:CTL0332
ko:K03734	ctb:CTL0333
ko:K02902	ctb:CTL0341
ko:K06942	ctb:CTL0347
ko:K03177	ctb:CTL0349
ko:K02834	ctb:CTL0350
ko:K02519	ctb:CTL0351
ko:K00384	ctb:CTL0354
ko:K00997	ctb:CTL0355
ko:K06179	ctb:CTL0361
ko:K03575	ctb:CTL0362
ko:K04077	ctb:CTL0365
ko:K04078	ctb:CTL0366
ko:K08602	ctb:CTL0367
ko:K03695	ctb:CTL0368
ko:K01783	ctb:CTL0376
ko:K02356	ctb:CTL0377
ko:K02871	ctb:CTL0380
ko:K02996	ctb:CTL0381
ko:K00939	ctb:CTL0383
ko:K07058	ctb:CTL0387
ko:K06999	ctb:CTL0391
ko:K07566	ctb:CTL0392
ko:K02035	ctb:CTL0394
ko:K09125	ctb:CTL0395
ko:K07039	ctb:CTL0396
ko:K09779	ctb:CTL0256
ko:K02435	ctb:CTL0257
ko:K01929	ctb:CTL0125
ko:K01000	ctb:CTL0126
ko:K01925	ctb:CTL0127
ko:K03588	ctb:CTL0129
ko:K06960	ctb:CTL0132
ko:K00791	ctb:CTL0135
ko:K09710	ctb:CTL0138
ko:K09458	ctb:CTL0139
ko:K01507	ctb:CTL0141
ko:K00263	ctb:CTL0142
ko:K00655	ctb:CTL0144
ko:K04066	ctb:CTL0147
ko:K04567	ctb:CTL0150
ko:K03582	ctb:CTL0007
ko:K03223	ctb:CTL0824
ko:K01883	ctb:CTL0151
ko:K03536	ctb:CTL0153
ko:K02914	ctb:CTL0153A
ko:K02919	ctb:CTL0154
ko:K02954	ctb:CTL0155
ko:K03703	ctb:CTL0159
ko:K02316	ctb:CTL0162
ko:K00995	ctb:CTL0166
ko:K02897	ctb:CTL0168
ko:K02990	ctb:CTL0170
ko:K02963	ctb:CTL0171
ko:K02939	ctb:CTL0172
ko:K14233	ctb:CTL_t28
ko:K01885	ctb:CTL0705
ko:K07462	ctb:CTL0707
ko:K00806	ctb:CTL0710
ko:K00981	ctb:CTL0711
ko:K00945	ctb:CTL0712
ko:K00655	ctb:CTL0713
ko:K01887	ctb:CTL0714
ko:K00790	ctb:CTL0715
ko:K02836	ctb:CTL0719
ko:K00991	ctb:CTL0722
ko:K06173	ctb:CTL0723
ko:K03584	ctb:CTL0730
ko:K08998	ctb:CTL0734
ko:K02034	ctb:CTL0739
ko:K02033	ctb:CTL0740
ko:K02035	ctb:CTL0741
ko:K01772	ctb:CTL0746
ko:K00975	ctb:CTL0750
ko:K03628	ctb:CTL0752
ko:K00859	ctb:CTL0753
ko:K02335	ctb:CTL0754
ko:K03301	ctb:CTL0756
ko:K00995	ctb:CTL0757
ko:K02314	ctb:CTL0759
ko:K03495	ctb:CTL0760
ko:K03800	ctb:CTL0761
ko:K00940	ctb:CTL0762
ko:K03550	ctb:CTL0763
ko:K01159	ctb:CTL0764
ko:K00134	ctb:CTL0767
ko:K02879	ctb:CTL0768
ko:K03040	ctb:CTL0769
ko:K02948	ctb:CTL0770
ko:K02952	ctb:CTL0771
ko:K02876	ctb:CTL0773
ko:K02988	ctb:CTL0774
ko:K02881	ctb:CTL0775
ko:K02933	ctb:CTL0776
ko:K02994	ctb:CTL0777
ko:K02931	ctb:CTL0778
ko:K02895	ctb:CTL0779
ko:K02874	ctb:CTL0780
ko:K02961	ctb:CTL0781
ko:K02904	ctb:CTL0782
ko:K02878	ctb:CTL0783
ko:K02982	ctb:CTL0784
ko:K02890	ctb:CTL0785
ko:K02965	ctb:CTL0786
ko:K02886	ctb:CTL0787
ko:K02892	ctb:CTL0788
ko:K02926	ctb:CTL0789
ko:K02906	ctb:CTL0790
ko:K00677	ctb:CTL0793
ko:K02372	ctb:CTL0794
ko:K02535	ctb:CTL0795
ko:K02342	ctb:CTL0798
ko:K06925	ctb:CTL0799
ko:K03671	ctb:CTL0801
ko:K00231	ctb:CTL0114
ko:K01599	ctb:CTL0116
ko:K03723	ctb:CTL0117
ko:K01872	ctb:CTL0118
ko:K00615	ctb:CTL0119
ko:K01241	ctb:CTL0120
ko:K02356	ctb:CTL0121
ko:K03834	ctb:CTL0189
ko:K03834	ctb:CTL0190
ko:K06890	ctb:CTL0191
ko:K03110	ctb:CTL0192
ko:K09760	ctb:CTL0197
ko:K03439	ctb:CTL0201
ko:K00075	ctb:CTL0203
ko:K03625	ctb:CTL0204
ko:K02520	ctb:CTL0205
ko:K02916	ctb:CTL0206
ko:K02887	ctb:CTL0207
ko:K01889	ctb:CTL0208
ko:K01928	ctb:CTL0521
ko:K03438	ctb:CTL0524
ko:K03800	ctb:CTL0537
ko:K03696	ctb:CTL0538
ko:K00566	ctb:CTL0539
ko:K02806	ctb:CTL0542
ko:K02806	ctb:CTL0543
ko:K01520	ctb:CTL0544
ko:K03685	ctb:CTL0549
ko:K04485	ctb:CTL0550
ko:K01749	ctb:CTL0551
ko:K01873	ctb:CTL0554
ko:K02124	ctb:CTL0556
ko:K02123	ctb:CTL0557
ko:K02120	ctb:CTL0558
ko:K02118	ctb:CTL0559
ko:K02117	ctb:CTL0560
ko:K00616	ctb:CTL0565
ko:K03046	ctb:CTL0566
ko:K02935	ctb:CTL0568
ko:K02864	ctb:CTL0569
ko:K02863	ctb:CTL0570
ko:K02867	ctb:CTL0571
ko:K02601	ctb:CTL0572
ko:K03073	ctb:CTL0573
ko:K02358	ctb:CTL0574
ko:K02518	ctb:CTL0575
ko:K03319	ctb:CTL0456
ko:K02527	ctb:CTL0460
ko:K01869	ctb:CTL0461
ko:K07735	ctb:CTL0463
ko:K08999	ctb:CTL0464
ko:K01807	ctb:CTL0465
ko:K03179	ctb:CTL0471
ko:K03308	ctb:CTL0483
ko:K02078	ctb:CTL0488
ko:K00645	ctb:CTL0490
ko:K06187	ctb:CTL0492
ko:K07277	ctb:CTL0493
ko:K06142	ctb:CTL0494
ko:K02536	ctb:CTL0495
ko:K00627	ctb:CTL0499
ko:K00688	ctb:CTL0500
ko:K03217	ctb:CTL0503
ko:K02342	ctb:CTL0513
ko:K01803	ctb:CTL0582
ko:K01662	ctb:CTL0585
ko:K00873	ctb:CTL0586
ko:K03701	ctb:CTL0587
ko:K09747	ctb:CTL0589
ko:K08483	ctb:CTL0590
ko:K02970	ctb:CTL0596
ko:K00784	ctb:CTL0600
ko:K06287	ctb:CTL0603
ko:K03075	ctb:CTL0606
ko:K01462	ctb:CTL0607
ko:K02528	ctb:CTL0608
ko:K06888	ctb:CTL0610
ko:K03523	ctb:CTL0613
ko:K01714	ctb:CTL0615
ko:K00928	ctb:CTL0616
ko:K00133	ctb:CTL0617
ko:K00800	ctb:CTL0620
ko:K00891	ctb:CTL0621
ko:K01736	ctb:CTL0622
ko:K01735	ctb:CTL0623
ko:K03758	ctb:CTL0628
ko:K01810	ctb:CTL0633
ko:K03665	ctb:CTL0634
ko:K06167	ctb:CTL0635
ko:K09996	ctb:CTL0636
ko:K03856	ctb:CTL0637
ko:K06966	ctb:CTL0643
ko:K09131	ctb:CTL0644
ko:K01881	ctb:CTL0649
ko:K03705	ctb:CTL0650
ko:K03687	ctb:CTL0651
ko:K04043	ctb:CTL0652
ko:K07164	ctb:CTL0655
ko:K06041	ctb:CTL0656
ko:K00658	ctb:CTL0657
ko:K00912	ctb:CTL0659
ko:K03437	ctb:CTL0660
ko:K06969	ctb:CTL0661
ko:K00793	ctb:CTL0662
ko:K07738	ctb:CTL0663
ko:K06204	ctb:CTL0664
ko:K03101	ctb:CTL0665
ko:K03310	ctb:CTL0666
ko:K09815	ctb:CTL0672
ko:K09817	ctb:CTL0673
ko:K09816	ctb:CTL0674
ko:K03979	ctb:CTL0675
ko:K02899	ctb:CTL0676
ko:K02888	ctb:CTL0677
ko:K07042	ctb:CTL0681
ko:K03183	ctb:CTL0687
ko:K01778	ctb:CTL0689
ko:K00600	ctb:CTL0691
ko:K01770	ctb:CTL0693
ko:K00380	ctb:CTL0694
ko:K02946	ctb:CTL0695
ko:K02355	ctb:CTL0696
ko:K02992	ctb:CTL0697
ko:K02950	ctb:CTL0698
ko:K03797	ctb:CTL0700
ko:K03657	ctb:CTL0872
ko:K03092	ctb:CTL0873
ko:K00287	ctb:CTL0876
ko:K01633	ctb:CTL0878
ko:K03086	ctb:CTL0879
ko:K02968	ctb:CTL0881
ko:K03980	ctb:CTL0888
ko:K01151	ctb:CTL0889
ko:K02986	ctb:CTL0890
ko:K07146	ctb:CTL0891
ko:K01698	ctb:CTL0001
ko:K03583	ctb:CTL0008
ko:K02221	ctb:CTL0013
ko:K03553	ctb:CTL0018
ko:K03581	ctb:CTL0020
ko:K06861	ctb:CTL0022
ko:K01627	ctb:CTL0024
ko:K06180	ctb:CTL0027
ko:K06960	ctb:CTL0028
ko:K02469	ctb:CTL0029
ko:K02492	ctb:CTL0031
ko:K03219	ctb:CTL0043
ko:K02838	ctb:CTL0046
ko:K09903	ctb:CTL0047
ko:K02357	ctb:CTL0048
ko:K02967	ctb:CTL0049
ko:K09013	ctb:CTL0054
ko:K02032	ctb:CTL0058
ko:K02031	ctb:CTL0059
ko:K07220	ctb:CTL0060
ko:K03306	ctb:CTL0061
ko:K00927	ctb:CTL0062
ko:K03650	ctb:CTL0067
ko:K01613	ctb:CTL0068
ko:K07091	ctb:CTL0211
ko:K03798	ctb:CTL0213
ko:K00962	ctb:CTL0214
ko:K02956	ctb:CTL0215
ko:K01265	ctb:CTL0224
ko:K03527	ctb:CTL0234
ko:K02453	ctb:CTL0835
ko:K01262	ctb:CTL0837
ko:K03572	ctb:CTL0838
ko:K01868	ctb:CTL0844
ko:K01867	ctb:CTL0848
ko:K03702	ctb:CTL0849
ko:K01689	ctb:CTL0850
ko:K03216	ctb:CTL0802
ko:K07783	ctb:CTL0806
ko:K02337	ctb:CTL0807
ko:K07258	ctb:CTL0813
ko:K03311	ctb:CTL0817
ko:K00382	ctb:CTL0820
ko:K03644	ctb:CTL0821
ko:K02454	ctb:CTL0834
ko:K00240	ctb:CTL0854
ko:K00239	ctb:CTL0855
ko:K03424	ctb:CTL0858
ko:K03562	ctb:CTL0860
ko:K03559	ctb:CTL0861
ko:K00700	ctb:CTL0245
ko:K03977	ctb:CTL0072
ko:K03544	ctb:CTL0074
ko:K03545	ctb:CTL0076
ko:K00057	ctb:CTL0083
ko:K06178	ctb:CTL0092
ko:K05837	ctb:CTL0095
ko:K01875	ctb:CTL0098
ko:K00794	ctb:CTL0101
ko:K03310	ctb:CTL0104
ko:K06910	ctb:CTL0105
ko:K00351	ctb:CTL0109
ko:K03210	ctb:CTL0110
ko:K03602	ctb:CTL0583A
ko:K03230	ctb:CTL0345
ko:K04058	ctb:CTL0344
ko:K01056	ctb:CTL0169
ko:K03222	ctb:CTL0822
ko:K01874	ctb:CTL0287
ko:K00567	ctb:CTL0738
ko:K00658	ctb:CTL0311
ko:K02121	ctb:CTL0562
ko:K00703	ctb:CTL0167
ko:K02417	ctb:CTL0041
ko:K03229	ctb:CTL0346
ko:K06137	ctb:CTL0874
ko:K03820	ctb:CTL0796
ko:K03186	ctb:CTL0472
ko:K08301	ctb:CTL0177
ko:K11720	ctb:CTL0210
ko:K03733	ctb:CTL0601
ko:K00813	ctb:CTL0005
ko:K10206	ctb:CTL0646
ko:K01448	ctb:CTL0520
ko:K03569	ctb:CTL0078
ko:K01892	ctb:CTL0805
ko:K03496	ctb:CTL0845
ko:K03226	ctb:CTL0825
ko:K03555	ctb:CTL0160
ko:K04075	ctb:CTL0212
ko:K03466	ctb:CTL0108
ko:K04564	ctb:CTL0546
ko:K03227	ctb:CTL0826
ko:K03228	ctb:CTL0827
ko:K01338	ctb:CTL0598
ko:K00425	ctb:CTL0268
ko:K03076	ctb:CTL0772
ko:K03224	ctb:CTL0038
ko:K04763	ctb:CTL0243
ko:K02455	ctb:CTL0833
ko:K01082	ctb:CTL0143
ko:K01834	ctb:CTL0091
ko:K01719	ctb:CTL0692
ko:K00972	ctb:CTL0084
ko:K00059	ctb:CTL0489
ko:K07315	ctb:CTL0851
ko:K07710	ctb:CTL0727
ko:K07714	ctb:CTL0728
ko:K07099	ctb:CTL0749
ko:K11753	ctb:CTL0348
ko:K00748	ctb:CTL0668
ko:K01890	ctb:CTL0736
ko:K12257	ctb:CTL0708a
ko:K06889	ctb:CTL0458
ko:K06889	ctb:CTL0404
ko:K00630	ctb:CTL0176
ko:K03524	ctb:CTL0094
ko:K09015	ctb:CTL0055
ko:K11717	ctb:CTL0056
ko:K04487	ctb:CTL0090
ko:K04487	ctb:CTL0510
ko:K01358	ctb:CTL0075
ko:K01358	ctb:CTL0690
ko:K01408	ctb:CTL0175
ko:K11752	ctb:CTL0099
ko:K07098	ctb:CTL0721
ko:K13941	ctb:CTL0877
ko:K12573	ctb:CTL0654
ko:K02028	ctb:CTL0385
ko:K01961	ctb:CTL0379
ko:K13832	ctb:CTL0624
ko:K00895	ctb:CTL0459
ko:K01840	ctb:CTL0547
ko:K11189	ctb:CTL0591
ko:K03309	ctb:CTL0658
ko:K02030	ctb:CTL0747
ko:K03386	ctb:CTL0866
ko:K01934	ctb:CTL0017
ko:K00970	ctb:CTL0073
ko:K07117	ctb:CTL0106
ko:K01909	ctb:CTL0145
ko:K01829	ctb:CTL0149
ko:K01829	ctb:CTL0152
ko:K06972	ctb:CTL0196
ko:K02050	ctb:CTL0227
ko:K02051	ctb:CTL0227
ko:K03321	ctb:CTL0231
ko:K13819	ctb:CTL0089
ko:K08275	ctb:CTL0336
ko:K08274	ctb:CTL0631
ko:K02029	ctb:CTL0384
ko:K01921	ctb:CTL0131
ko:K01924	ctb:CTL0131
ko:K01491	ctb:CTL0334
ko:K09810	ctb:CTL0407
ko:K00024	ctb:CTL0630
ko:K14224	ctb:CTL_t10
ko:K14221	ctb:CTL_t07
ko:K13789	ctb:CTL0892
ko:K00652	ctb:CTL0146
ko:K14223	ctb:CTL_t09
ko:K14230	ctb:CTL_t22
ko:K14227	ctb:CTL_t14
ko:K14226	ctb:CTL_t13
ko:K14232	ctb:CTL_t25
ko:K00215	ctb:CTL0618
ko:K14229	ctb:CTL_t20
ko:K14219	ctb:CTL_t03
ko:K14228	ctb:CTL_t15
ko:K14233	ctb:CTL_t27
ko:K14237	ctb:CTL_t36
ko:K14228	ctb:CTL_t18
ko:K07052	ctb:CTL0506
ko:K14164	ctb:CTL0165
ko:K14231	ctb:CTL_t24
ko:K14222	ctb:CTL_t08
ko:K14228	ctb:CTL_t17
ko:K14225	ctb:CTL_t11
ko:K01977	ctb:CTL_r01
ko:K01977	ctb:CTL_r02
ko:K01980	ctb:CTL_r03
ko:K01980	ctb:CTL_r04
ko:K01985	ctb:CTL_r05
ko:K01985	ctb:CTL_r06
ko:K14234	ctb:CTL_t31
ko:K03162	ctb:CTL0050
ko:K07033	ctb:CTL0053
ko:K08719	ctb:CTL0082
ko:K01802	ctb:CTL0803
ko:K14220	ctb:CTL_t06
ko:K14237	ctb:CTL_t37
ko:K14230	ctb:CTL_t23
ko:K14228	ctb:CTL_t16
ko:K14230	ctb:CTL_t21
ko:K14233	ctb:CTL_t29
ko:K14228	ctb:CTL_t19
ko:K14233	ctb:CTL_t30
ko:K14234	ctb:CTL_t33
ko:K14234	ctb:CTL_t32
ko:K14232	ctb:CTL_t26
ko:K14219	ctb:CTL_t04
ko:K14219	ctb:CTL_t05
ko:K14225	ctb:CTL_t12
ko:K14218	ctb:CTL_t01
ko:K14218	ctb:CTL_t02
ko:K14236	ctb:CTL_t35
ko:K14235	ctb:CTL_t34
ko:K07125	ctb:CTL0577
ko:K14652	ctb:CTL0100
ko:K15582	ctb:CTL0452
ko:K03611	ctb:CTL0428
ko:K15580	ctb:CTL0450
ko:K15581	ctb:CTL0451
ko:K10823	ctb:CTL0453
ko:K15583	ctb:CTL0454
ko:K02428	ctb:CTL0869
ko:K11645	ctb:CTL0467
ko:K00850	ctb:CTL0457
ko:K11709	ctb:CTL0326
ko:K11708	ctb:CTL0325
ko:K11710	ctb:CTL0324
ko:K01214	ctb:CTL0298
ko:K17103	ctb:CTL0198
ko:K04084	ctb:CTL0859
ko:K07081	ctb:CTL0686
ko:K22100	ctb:CTL0581
ko:K03825	ctb:CTL0718
ko:K11991	ctb:CTL0216
ko:K04771	ctb:CTL0195
ko:K19411	ctb:CTL0045
ko:K19405	ctb:CTL0044
ko:K12132	ctb:CTL0553
ko:K20265	ctb:CTL0468
ko:K20074	ctb:CTL0511
ko:K01978	ctb:CTL655a
ko:K22099	ctb:CTL0875
ko:K01534	ctb:CTL0096
ko:K16239	ctb:CTL0340
