ko:K12132	bthu:YBT1518_21170
ko:K03177	bthu:YBT1518_20900
ko:K02834	bthu:YBT1518_20905
ko:K09764	bthu:YBT1518_20910
ko:K02519	bthu:YBT1518_20915
ko:K07742	bthu:YBT1518_20925
ko:K02600	bthu:YBT1518_20930
ko:K09748	bthu:YBT1518_20935
ko:K03763	bthu:YBT1518_20940
ko:K01881	bthu:YBT1518_20945
ko:K11749	bthu:YBT1518_20950
ko:K00099	bthu:YBT1518_20955
ko:K00981	bthu:YBT1518_20960
ko:K00806	bthu:YBT1518_20965
ko:K02838	bthu:YBT1518_20970
ko:K09903	bthu:YBT1518_20975
ko:K02357	bthu:YBT1518_20980
ko:K02967	bthu:YBT1518_20985
ko:K03706	bthu:YBT1518_20990
ko:K03667	bthu:YBT1518_20995
ko:K01419	bthu:YBT1518_21000
ko:K03733	bthu:YBT1518_21005
ko:K04094	bthu:YBT1518_21010
ko:K03168	bthu:YBT1518_21015
ko:K04096	bthu:YBT1518_21020
ko:K01902	bthu:YBT1518_21025
ko:K01903	bthu:YBT1518_21030
ko:K03470	bthu:YBT1518_21035
ko:K14540	bthu:YBT1518_21040
ko:K03100	bthu:YBT1518_21045
ko:K02884	bthu:YBT1518_21050
ko:K00554	bthu:YBT1518_21055
ko:K02860	bthu:YBT1518_21060
ko:K06960	bthu:YBT1518_21065
ko:K02959	bthu:YBT1518_21070
ko:K03106	bthu:YBT1518_21075
ko:K09787	bthu:YBT1518_21080
ko:K03110	bthu:YBT1518_21085
ko:K10947	bthu:YBT1518_22325
ko:K08963	bthu:YBT1518_22340
ko:K00899	bthu:YBT1518_22345
ko:K08969	bthu:YBT1518_22355
ko:K08965	bthu:YBT1518_22360
ko:K08966	bthu:YBT1518_22365
ko:K08964	bthu:YBT1518_22370
ko:K08967	bthu:YBT1518_22375
ko:K08483	bthu:YBT1518_22415
ko:K11189	bthu:YBT1518_22420
ko:K03480	bthu:YBT1518_22430
ko:K03710	bthu:YBT1518_22440
ko:K02564	bthu:YBT1518_22445
ko:K01443	bthu:YBT1518_22450
ko:K06024	bthu:YBT1518_22460
ko:K05896	bthu:YBT1518_22465
ko:K09763	bthu:YBT1518_22475
ko:K02859	bthu:YBT1518_22480
ko:K03768	bthu:YBT1518_22495
ko:K06408	bthu:YBT1518_22510
ko:K06407	bthu:YBT1518_22515
ko:K06407	bthu:YBT1518_22520
ko:K06406	bthu:YBT1518_22525
ko:K06405	bthu:YBT1518_22530
ko:K06404	bthu:YBT1518_22535
ko:K06403	bthu:YBT1518_22540
ko:K07107	bthu:YBT1518_19800
ko:K06306	bthu:YBT1518_19805
ko:K06431	bthu:YBT1518_19810
ko:K02342	bthu:YBT1518_19820
ko:K06147	bthu:YBT1518_19835
ko:K01681	bthu:YBT1518_19840
ko:K06432	bthu:YBT1518_19845
ko:K06433	bthu:YBT1518_19860
ko:K06335	bthu:YBT1518_19865
ko:K00626	bthu:YBT1518_19895
ko:K03523	bthu:YBT1518_19905
ko:K00666	bthu:YBT1518_19910
ko:K02251	bthu:YBT1518_20000
ko:K07680	bthu:YBT1518_20005
ko:K03529	bthu:YBT1518_21090
ko:K03685	bthu:YBT1518_21095
ko:K02078	bthu:YBT1518_21100
ko:K00645	bthu:YBT1518_21110
ko:K03621	bthu:YBT1518_21115
ko:K03655	bthu:YBT1518_21125
ko:K07030	bthu:YBT1518_21130
ko:K02902	bthu:YBT1518_21140
ko:K06414	bthu:YBT1518_21145
ko:K00949	bthu:YBT1518_21150
ko:K01783	bthu:YBT1518_21155
ko:K06949	bthu:YBT1518_21160
ko:K06941	bthu:YBT1518_21180
ko:K03500	bthu:YBT1518_21185
ko:K00604	bthu:YBT1518_21190
ko:K01462	bthu:YBT1518_21195
ko:K04066	bthu:YBT1518_21200
ko:K13038	bthu:YBT1518_21205
ko:K03060	bthu:YBT1518_21210
ko:K00942	bthu:YBT1518_21215
ko:K09777	bthu:YBT1518_21220
ko:K01537	bthu:YBT1518_21230
ko:K00762	bthu:YBT1518_21285
ko:K01591	bthu:YBT1518_21290
ko:K17828	bthu:YBT1518_21295
ko:K02823	bthu:YBT1518_21300
ko:K01955	bthu:YBT1518_21305
ko:K01956	bthu:YBT1518_21310
ko:K01465	bthu:YBT1518_21315
ko:K00609	bthu:YBT1518_21320
ko:K02824	bthu:YBT1518_21325
ko:K02825	bthu:YBT1518_21330
ko:K03308	bthu:YBT1518_22550
ko:K03091	bthu:YBT1518_22555
ko:K06379	bthu:YBT1518_22560
ko:K07258	bthu:YBT1518_22570
ko:K01990	bthu:YBT1518_22580
ko:K09807	bthu:YBT1518_22605
ko:K06901	bthu:YBT1518_22610
ko:K03284	bthu:YBT1518_22615
ko:K00756	bthu:YBT1518_22620
ko:K03783	bthu:YBT1518_22625
ko:K01839	bthu:YBT1518_22630
ko:K04763	bthu:YBT1518_22640
ko:K03711	bthu:YBT1518_22650
ko:K01515	bthu:YBT1518_22665
ko:K01081	bthu:YBT1518_22695
ko:K07084	bthu:YBT1518_22710
ko:K06889	bthu:YBT1518_22730
ko:K11752	bthu:YBT1518_22745
ko:K00793	bthu:YBT1518_22750
ko:K14652	bthu:YBT1518_22755
ko:K00794	bthu:YBT1518_22760
ko:K01012	bthu:YBT1518_22765
ko:K02169	bthu:YBT1518_22770
ko:K02170	bthu:YBT1518_22775
ko:K00652	bthu:YBT1518_22780
ko:K01935	bthu:YBT1518_22785
ko:K00833	bthu:YBT1518_22790
ko:K00845	bthu:YBT1518_23535
ko:K01934	bthu:YBT1518_23545
ko:K02913	bthu:YBT1518_23550
ko:K16881	bthu:YBT1518_23555
ko:K02039	bthu:YBT1518_23560
ko:K02036	bthu:YBT1518_23565
ko:K02038	bthu:YBT1518_23570
ko:K02037	bthu:YBT1518_23575
ko:K02040	bthu:YBT1518_23580
ko:K01845	bthu:YBT1518_24760
ko:K01698	bthu:YBT1518_24765
ko:K01719	bthu:YBT1518_24770
ko:K01749	bthu:YBT1518_24775
ko:K02497	bthu:YBT1518_24780
ko:K02492	bthu:YBT1518_24785
ko:K03978	bthu:YBT1518_24800
ko:K01338	bthu:YBT1518_24805
ko:K04076	bthu:YBT1518_24810
ko:K03544	bthu:YBT1518_24815
ko:K03545	bthu:YBT1518_24820
ko:K07095	bthu:YBT1518_24865
ko:K02428	bthu:YBT1518_24870
ko:K00989	bthu:YBT1518_24875
ko:K06298	bthu:YBT1518_24880
ko:K01776	bthu:YBT1518_24885
ko:K01994	bthu:YBT1518_24915
ko:K06188	bthu:YBT1518_24945
ko:K01992	bthu:YBT1518_24955
ko:K01990	bthu:YBT1518_24960
ko:K02557	bthu:YBT1518_24970
ko:K02556	bthu:YBT1518_24975
ko:K07107	bthu:YBT1518_24985
ko:K00240	bthu:YBT1518_24990
ko:K00239	bthu:YBT1518_24995
ko:K06417	bthu:YBT1518_24755
ko:K06999	bthu:YBT1518_20060
ko:K15975	bthu:YBT1518_20065
ko:K03307	bthu:YBT1518_20070
ko:K07736	bthu:YBT1518_20090
ko:K01479	bthu:YBT1518_20095
ko:K01468	bthu:YBT1518_20100
ko:K01712	bthu:YBT1518_20105
ko:K01745	bthu:YBT1518_20110
ko:K09683	bthu:YBT1518_20115
ko:K06196	bthu:YBT1518_20150
ko:K06518	bthu:YBT1518_20195
ko:K07090	bthu:YBT1518_20215
ko:K09976	bthu:YBT1518_20255
ko:K00615	bthu:YBT1518_20265
ko:K02042	bthu:YBT1518_20275
ko:K02042	bthu:YBT1518_20280
ko:K02041	bthu:YBT1518_20285
ko:K02044	bthu:YBT1518_20290
ko:K03101	bthu:YBT1518_21340
ko:K01870	bthu:YBT1518_21350
ko:K04074	bthu:YBT1518_21355
ko:K02221	bthu:YBT1518_21365
ko:K09772	bthu:YBT1518_21370
ko:K06997	bthu:YBT1518_21375
ko:K05810	bthu:YBT1518_21380
ko:K03091	bthu:YBT1518_21390
ko:K03091	bthu:YBT1518_21395
ko:K06383	bthu:YBT1518_21400
ko:K03531	bthu:YBT1518_21405
ko:K03590	bthu:YBT1518_21410
ko:K03589	bthu:YBT1518_21420
ko:K00075	bthu:YBT1518_21425
ko:K02563	bthu:YBT1518_21430
ko:K03588	bthu:YBT1518_21435
ko:K01925	bthu:YBT1518_21440
ko:K01000	bthu:YBT1518_21445
ko:K01928	bthu:YBT1518_21450
ko:K08384	bthu:YBT1518_21455
ko:K08724	bthu:YBT1518_21460
ko:K03438	bthu:YBT1518_21470
ko:K00077	bthu:YBT1518_21480
ko:K02911	bthu:YBT1518_21495
ko:K07040	bthu:YBT1518_21500
ko:K01448	bthu:YBT1518_21510
ko:K06180	bthu:YBT1518_21335
ko:K03315	bthu:YBT1518_22800
ko:K01119	bthu:YBT1518_22805
ko:K00611	bthu:YBT1518_22830
ko:K00930	bthu:YBT1518_22840
ko:K00620	bthu:YBT1518_22845
ko:K00145	bthu:YBT1518_22850
ko:K07124	bthu:YBT1518_22860
ko:K00286	bthu:YBT1518_22870
ko:K01752	bthu:YBT1518_22875
ko:K01752	bthu:YBT1518_22880
ko:K00784	bthu:YBT1518_22890
ko:K01531	bthu:YBT1518_22905
ko:K07507	bthu:YBT1518_22910
ko:K02346	bthu:YBT1518_22915
ko:K03790	bthu:YBT1518_22925
ko:K02028	bthu:YBT1518_22950
ko:K02029	bthu:YBT1518_22955
ko:K02030	bthu:YBT1518_22960
ko:K09699	bthu:YBT1518_22990
ko:K00167	bthu:YBT1518_22995
ko:K00166	bthu:YBT1518_23000
ko:K00382	bthu:YBT1518_23005
ko:K00929	bthu:YBT1518_23010
ko:K00263	bthu:YBT1518_23015
ko:K08222	bthu:YBT1518_23815
ko:K04564	bthu:YBT1518_23820
ko:K02076	bthu:YBT1518_23840
ko:K09816	bthu:YBT1518_23845
ko:K09817	bthu:YBT1518_23850
ko:K01151	bthu:YBT1518_23865
ko:K03527	bthu:YBT1518_23880
ko:K06967	bthu:YBT1518_23890
ko:K13300	bthu:YBT1518_23895
ko:K03086	bthu:YBT1518_23900
ko:K09773	bthu:YBT1518_23920
ko:K03584	bthu:YBT1518_23930
ko:K01489	bthu:YBT1518_23945
ko:K07042	bthu:YBT1518_23955
ko:K07037	bthu:YBT1518_23960
ko:K06438	bthu:YBT1518_23970
ko:K09117	bthu:YBT1518_23985
ko:K02970	bthu:YBT1518_23990
ko:K09761	bthu:YBT1518_24000
ko:K02687	bthu:YBT1518_24005
ko:K03686	bthu:YBT1518_24010
ko:K04043	bthu:YBT1518_24015
ko:K03687	bthu:YBT1518_24020
ko:K00241	bthu:YBT1518_25000
ko:K03703	bthu:YBT1518_25010
ko:K03671	bthu:YBT1518_25015
ko:K03522	bthu:YBT1518_25020
ko:K03521	bthu:YBT1518_25025
ko:K13767	bthu:YBT1518_25030
ko:K13770	bthu:YBT1518_25035
ko:K01897	bthu:YBT1518_25040
ko:K02016	bthu:YBT1518_25050
ko:K02015	bthu:YBT1518_25055
ko:K06969	bthu:YBT1518_25120
ko:K08600	bthu:YBT1518_25130
ko:K02013	bthu:YBT1518_25135
ko:K02015	bthu:YBT1518_25140
ko:K02016	bthu:YBT1518_25145
ko:K03311	bthu:YBT1518_25165
ko:K06182	bthu:YBT1518_25170
ko:K07456	bthu:YBT1518_25180
ko:K02347	bthu:YBT1518_25185
ko:K09888	bthu:YBT1518_25195
ko:K03471	bthu:YBT1518_25200
ko:K01893	bthu:YBT1518_25215
ko:K01890	bthu:YBT1518_25220
ko:K01889	bthu:YBT1518_25225
ko:K03437	bthu:YBT1518_25230
ko:K06426	bthu:YBT1518_25235
ko:K03466	bthu:YBT1518_25990
ko:K01448	bthu:YBT1518_25995
ko:K06878	bthu:YBT1518_26005
ko:K03439	bthu:YBT1518_26040
ko:K01975	bthu:YBT1518_26060
ko:K01439	bthu:YBT1518_26065
ko:K06183	bthu:YBT1518_26075
ko:K07007	bthu:YBT1518_26085
ko:K00034	bthu:YBT1518_26125
ko:K05340	bthu:YBT1518_26130
ko:K03636	bthu:YBT1518_26140
ko:K03635	bthu:YBT1518_26145
ko:K03753	bthu:YBT1518_26150
ko:K03750	bthu:YBT1518_26155
ko:K03637	bthu:YBT1518_26160
ko:K03639	bthu:YBT1518_26170
ko:K00641	bthu:YBT1518_26200
ko:K00763	bthu:YBT1518_25985
ko:K07507	bthu:YBT1518_26975
ko:K10716	bthu:YBT1518_26980
ko:K01810	bthu:YBT1518_26990
ko:K09779	bthu:YBT1518_26995
ko:K07570	bthu:YBT1518_27000
ko:K10907	bthu:YBT1518_27005
ko:K00090	bthu:YBT1518_27015
ko:K14155	bthu:YBT1518_27030
ko:K06347	bthu:YBT1518_27045
ko:K06348	bthu:YBT1518_27050
ko:K01880	bthu:YBT1518_27070
ko:K03523	bthu:YBT1518_27085
ko:K00963	bthu:YBT1518_27090
ko:K01835	bthu:YBT1518_27095
ko:K09775	bthu:YBT1518_27110
ko:K01255	bthu:YBT1518_27130
ko:K03885	bthu:YBT1518_27150
ko:K01356	bthu:YBT1518_20310
ko:K10947	bthu:YBT1518_20325
ko:K01915	bthu:YBT1518_20330
ko:K03713	bthu:YBT1518_20335
ko:K03665	bthu:YBT1518_20345
ko:K06413	bthu:YBT1518_20360
ko:K03666	bthu:YBT1518_20375
ko:K00791	bthu:YBT1518_20380
ko:K02768	bthu:YBT1518_20395
ko:K02769	bthu:YBT1518_20395
ko:K02770	bthu:YBT1518_20395
ko:K00882	bthu:YBT1518_20400
ko:K03436	bthu:YBT1518_20405
ko:K08976	bthu:YBT1518_20415
ko:K11735	bthu:YBT1518_20430
ko:K01183	bthu:YBT1518_20435
ko:K07098	bthu:YBT1518_20440
ko:K03530	bthu:YBT1518_20450
ko:K03830	bthu:YBT1518_20455
ko:K17686	bthu:YBT1518_20460
ko:K07213	bthu:YBT1518_20465
ko:K07017	bthu:YBT1518_20480
ko:K02013	bthu:YBT1518_20485
ko:K02015	bthu:YBT1518_20490
ko:K02015	bthu:YBT1518_20495
ko:K02016	bthu:YBT1518_20500
ko:K01142	bthu:YBT1518_20505
ko:K13530	bthu:YBT1518_20510
ko:K13531	bthu:YBT1518_20515
ko:K01247	bthu:YBT1518_20520
ko:K01258	bthu:YBT1518_20525
ko:K01119	bthu:YBT1518_20295
ko:K07177	bthu:YBT1518_21800
ko:K07001	bthu:YBT1518_21805
ko:K01126	bthu:YBT1518_23040
ko:K07699	bthu:YBT1518_23055
ko:K06399	bthu:YBT1518_23060
ko:K03631	bthu:YBT1518_23065
ko:K03402	bthu:YBT1518_23070
ko:K06442	bthu:YBT1518_23075
ko:K01662	bthu:YBT1518_23080
ko:K13789	bthu:YBT1518_23085
ko:K03602	bthu:YBT1518_23090
ko:K03601	bthu:YBT1518_23095
ko:K01491	bthu:YBT1518_23100
ko:K03625	bthu:YBT1518_23105
ko:K01961	bthu:YBT1518_23115
ko:K02160	bthu:YBT1518_23120
ko:K06397	bthu:YBT1518_23125
ko:K06396	bthu:YBT1518_23130
ko:K06395	bthu:YBT1518_23135
ko:K06394	bthu:YBT1518_23140
ko:K06393	bthu:YBT1518_23145
ko:K06392	bthu:YBT1518_23150
ko:K06391	bthu:YBT1518_23155
ko:K06390	bthu:YBT1518_23160
ko:K02356	bthu:YBT1518_23180
ko:K03786	bthu:YBT1518_23190
ko:K07025	bthu:YBT1518_23210
ko:K03716	bthu:YBT1518_23230
ko:K10947	bthu:YBT1518_23235
ko:K03800	bthu:YBT1518_23250
ko:K03705	bthu:YBT1518_24025
ko:K03596	bthu:YBT1518_24040
ko:K06012	bthu:YBT1518_24050
ko:K02968	bthu:YBT1518_24055
ko:K02340	bthu:YBT1518_24060
ko:K02238	bthu:YBT1518_24070
ko:K02237	bthu:YBT1518_24080
ko:K02239	bthu:YBT1518_24085
ko:K09710	bthu:YBT1518_24095
ko:K00969	bthu:YBT1518_24105
ko:K07461	bthu:YBT1518_00150
ko:K07056	bthu:YBT1518_00155
ko:K06284	bthu:YBT1518_00160
ko:K01874	bthu:YBT1518_00165
ko:K03424	bthu:YBT1518_00170
ko:K05985	bthu:YBT1518_00175
ko:K02528	bthu:YBT1518_00180
ko:K06436	bthu:YBT1518_00185
ko:K06423	bthu:YBT1518_00195
ko:K00919	bthu:YBT1518_00200
ko:K09685	bthu:YBT1518_00205
ko:K06412	bthu:YBT1518_00215
ko:K04042	bthu:YBT1518_00220
ko:K00948	bthu:YBT1518_00225
ko:K01056	bthu:YBT1518_00230
ko:K03723	bthu:YBT1518_00240
ko:K04769	bthu:YBT1518_00245
ko:K02499	bthu:YBT1518_00255
ko:K07571	bthu:YBT1518_00280
ko:K06382	bthu:YBT1518_00285
ko:K04075	bthu:YBT1518_00290
ko:K00760	bthu:YBT1518_00295
ko:K03798	bthu:YBT1518_00300
ko:K03525	bthu:YBT1518_00305
ko:K04083	bthu:YBT1518_00310
ko:K01738	bthu:YBT1518_00315
ko:K01665	bthu:YBT1518_00320
ko:K01664	bthu:YBT1518_00325
ko:K02619	bthu:YBT1518_00330
ko:K00796	bthu:YBT1518_00335
ko:K01633	bthu:YBT1518_00340
ko:K00950	bthu:YBT1518_00345
ko:K04567	bthu:YBT1518_00360
ko:K02994	bthu:YBT1518_00610
ko:K02933	bthu:YBT1518_00615
ko:K02881	bthu:YBT1518_00620
ko:K02988	bthu:YBT1518_00625
ko:K02907	bthu:YBT1518_00630
ko:K02876	bthu:YBT1518_00635
ko:K03076	bthu:YBT1518_00640
ko:K00939	bthu:YBT1518_00645
ko:K01265	bthu:YBT1518_00650
ko:K02518	bthu:YBT1518_00655
ko:K02919	bthu:YBT1518_00660
ko:K02952	bthu:YBT1518_00665
ko:K02948	bthu:YBT1518_00670
ko:K03040	bthu:YBT1518_00675
ko:K02879	bthu:YBT1518_00680
ko:K16786	bthu:YBT1518_00685
ko:K16787	bthu:YBT1518_00690
ko:K16785	bthu:YBT1518_00695
ko:K06173	bthu:YBT1518_00700
ko:K02871	bthu:YBT1518_00705
ko:K03593	bthu:YBT1518_00725
ko:K05592	bthu:YBT1518_01165
ko:K00997	bthu:YBT1518_01180
ko:K01775	bthu:YBT1518_01190
ko:K06959	bthu:YBT1518_01205
ko:K03095	bthu:YBT1518_01210
ko:K06925	bthu:YBT1518_01215
ko:K03789	bthu:YBT1518_01225
ko:K01409	bthu:YBT1518_01230
ko:K06158	bthu:YBT1518_01235
ko:K01926	bthu:YBT1518_01240
ko:K07052	bthu:YBT1518_01250
ko:K04078	bthu:YBT1518_01255
ko:K04077	bthu:YBT1518_01260
ko:K02434	bthu:YBT1518_01780
ko:K01091	bthu:YBT1518_01790
ko:K07250	bthu:YBT1518_01795
ko:K00135	bthu:YBT1518_01805
ko:K03317	bthu:YBT1518_01835
ko:K03215	bthu:YBT1518_01840
ko:K10441	bthu:YBT1518_04080
ko:K10440	bthu:YBT1518_04085
ko:K10439	bthu:YBT1518_04090
ko:K00616	bthu:YBT1518_04095
ko:K01114	bthu:YBT1518_04135
ko:K02996	bthu:YBT1518_00710
ko:K01448	bthu:YBT1518_00720
ko:K07574	bthu:YBT1518_24110
ko:K00014	bthu:YBT1518_24115
ko:K06948	bthu:YBT1518_24120
ko:K07015	bthu:YBT1518_24125
ko:K06371	bthu:YBT1518_24130
ko:K01613	bthu:YBT1518_24135
ko:K03091	bthu:YBT1518_24140
ko:K02913	bthu:YBT1518_24155
ko:K15976	bthu:YBT1518_24160
ko:K01077	bthu:YBT1518_24180
ko:K16937	bthu:YBT1518_24195
ko:K14647	bthu:YBT1518_24235
ko:K00500	bthu:YBT1518_24245
ko:K01724	bthu:YBT1518_24250
ko:K07104	bthu:YBT1518_24255
ko:K06950	bthu:YBT1518_25240
ko:K07052	bthu:YBT1518_25245
ko:K02887	bthu:YBT1518_25285
ko:K02916	bthu:YBT1518_25290
ko:K02520	bthu:YBT1518_25295
ko:K01868	bthu:YBT1518_25300
ko:K11144	bthu:YBT1518_25315
ko:K03346	bthu:YBT1518_25320
ko:K07738	bthu:YBT1518_25325
ko:K01611	bthu:YBT1518_25330
ko:K00134	bthu:YBT1518_25335
ko:K00859	bthu:YBT1518_25340
ko:K10563	bthu:YBT1518_25350
ko:K07636	bthu:YBT1518_25360
ko:K07658	bthu:YBT1518_25365
ko:K00024	bthu:YBT1518_25385
ko:K00031	bthu:YBT1518_25390
ko:K01647	bthu:YBT1518_25395
ko:K07113	bthu:YBT1518_25410
ko:K00873	bthu:YBT1518_25415
ko:K00850	bthu:YBT1518_25420
ko:K01962	bthu:YBT1518_25425
ko:K01963	bthu:YBT1518_25430
ko:K00027	bthu:YBT1518_25440
ko:K02337	bthu:YBT1518_25445
ko:K01869	bthu:YBT1518_26235
ko:K03455	bthu:YBT1518_26245
ko:K07228	bthu:YBT1518_26250
ko:K02004	bthu:YBT1518_26260
ko:K02003	bthu:YBT1518_26265
ko:K07139	bthu:YBT1518_26295
ko:K16188	bthu:YBT1518_26325
ko:K01048	bthu:YBT1518_26330
ko:K03752	bthu:YBT1518_26350
ko:K03638	bthu:YBT1518_26355
ko:K00789	bthu:YBT1518_26375
ko:K01610	bthu:YBT1518_26380
ko:K02116	bthu:YBT1518_26385
ko:K03781	bthu:YBT1518_26455
ko:K02051	bthu:YBT1518_26490
ko:K02049	bthu:YBT1518_26495
ko:K02050	bthu:YBT1518_26500
ko:K07729	bthu:YBT1518_27950
ko:K01874	bthu:YBT1518_27990
ko:K03406	bthu:YBT1518_28000
ko:K03406	bthu:YBT1518_28005
ko:K08777	bthu:YBT1518_28015
ko:K06911	bthu:YBT1518_28020
ko:K03455	bthu:YBT1518_28040
ko:K07228	bthu:YBT1518_28045
ko:K03310	bthu:YBT1518_28055
ko:K04047	bthu:YBT1518_28060
ko:K06966	bthu:YBT1518_28080
ko:K02217	bthu:YBT1518_28090
ko:K07148	bthu:YBT1518_28095
ko:K11535	bthu:YBT1518_28100
ko:K03317	bthu:YBT1518_28105
ko:K03310	bthu:YBT1518_28110
ko:K03310	bthu:YBT1518_28115
ko:K07118	bthu:YBT1518_28120
ko:K03885	bthu:YBT1518_28165
ko:K01866	bthu:YBT1518_28170
ko:K00075	bthu:YBT1518_28175
ko:K07117	bthu:YBT1518_28180
ko:K01834	bthu:YBT1518_20540
ko:K02563	bthu:YBT1518_20555
ko:K06518	bthu:YBT1518_20600
ko:K00954	bthu:YBT1518_21815
ko:K01455	bthu:YBT1518_21865
ko:K02862	bthu:YBT1518_21870
ko:K02276	bthu:YBT1518_21880
ko:K02274	bthu:YBT1518_21885
ko:K02275	bthu:YBT1518_21890
ko:K02259	bthu:YBT1518_21900
ko:K01958	bthu:YBT1518_21905
ko:K03588	bthu:YBT1518_21910
ko:K07175	bthu:YBT1518_21925
ko:K06207	bthu:YBT1518_21950
ko:K01092	bthu:YBT1518_21960
ko:K00686	bthu:YBT1518_21985
ko:K00382	bthu:YBT1518_22020
ko:K00627	bthu:YBT1518_22025
ko:K00162	bthu:YBT1518_22030
ko:K00161	bthu:YBT1518_22035
ko:K01462	bthu:YBT1518_22045
ko:K01992	bthu:YBT1518_23295
ko:K01992	bthu:YBT1518_23300
ko:K01992	bthu:YBT1518_23305
ko:K01990	bthu:YBT1518_23310
ko:K00283	bthu:YBT1518_23330
ko:K00282	bthu:YBT1518_23335
ko:K00605	bthu:YBT1518_23340
ko:K00891	bthu:YBT1518_23375
ko:K00472	bthu:YBT1518_23380
ko:K02249	bthu:YBT1518_23385
ko:K02248	bthu:YBT1518_23390
ko:K02247	bthu:YBT1518_23395
ko:K02246	bthu:YBT1518_23400
ko:K02245	bthu:YBT1518_23405
ko:K02244	bthu:YBT1518_23410
ko:K02243	bthu:YBT1518_23415
ko:K06956	bthu:YBT1518_23430
ko:K02563	bthu:YBT1518_23470
ko:K00548	bthu:YBT1518_23490
ko:K01739	bthu:YBT1518_23500
ko:K02013	bthu:YBT1518_24290
ko:K02015	bthu:YBT1518_24295
ko:K02016	bthu:YBT1518_24300
ko:K06294	bthu:YBT1518_00730
ko:K06349	bthu:YBT1518_00735
ko:K00865	bthu:YBT1518_00750
ko:K01476	bthu:YBT1518_00755
ko:K03431	bthu:YBT1518_00775
ko:K00820	bthu:YBT1518_00780
ko:K16937	bthu:YBT1518_00795
ko:K00059	bthu:YBT1518_00810
ko:K02072	bthu:YBT1518_00815
ko:K02071	bthu:YBT1518_00820
ko:K02073	bthu:YBT1518_00825
ko:K07552	bthu:YBT1518_00855
ko:K02033	bthu:YBT1518_00870
ko:K15580	bthu:YBT1518_00900
ko:K15580	bthu:YBT1518_00925
ko:K02035	bthu:YBT1518_00930
ko:K05340	bthu:YBT1518_00950
ko:K01951	bthu:YBT1518_01470
ko:K06901	bthu:YBT1518_01475
ko:K06889	bthu:YBT1518_01490
ko:K01784	bthu:YBT1518_01520
ko:K00375	bthu:YBT1518_01535
ko:K00318	bthu:YBT1518_01540
ko:K06153	bthu:YBT1518_01550
ko:K09786	bthu:YBT1518_02920
ko:K01387	bthu:YBT1518_02940
ko:K07192	bthu:YBT1518_02950
ko:K03406	bthu:YBT1518_02955
ko:K03300	bthu:YBT1518_02970
ko:K02443	bthu:YBT1518_02995
ko:K05816	bthu:YBT1518_03000
