ko:K02028	sui:SSUJS14_0460
ko:K01619	sui:SSUJS14_1061
ko:K00756	sui:SSUJS14_1062
ko:K00564	sui:SSUJS14_1063
ko:K00867	sui:SSUJS14_1064
ko:K02968	sui:SSUJS14_1065
ko:K07491	sui:SSUJS14_1066
ko:K14982	sui:SSUJS14_1069
ko:K14983	sui:SSUJS14_1070
ko:K02039	sui:SSUJS14_1074
ko:K02036	sui:SSUJS14_1075
ko:K02036	sui:SSUJS14_1076
ko:K02038	sui:SSUJS14_1077
ko:K02037	sui:SSUJS14_1078
ko:K02040	sui:SSUJS14_1079
ko:K01092	sui:SSUJS14_1081
ko:K11753	sui:SSUJS14_1085
ko:K03177	sui:SSUJS14_1086
ko:K09155	sui:SSUJS14_1090
ko:K01258	sui:SSUJS14_1100
ko:K07088	sui:SSUJS14_1102
ko:K08987	sui:SSUJS14_1107
ko:K00950	sui:SSUJS14_1113
ko:K01633	sui:SSUJS14_1114
ko:K07078	sui:SSUJS14_1910
ko:K03763	sui:SSUJS14_1912
ko:K05878	sui:SSUJS14_1915
ko:K00800	sui:SSUJS14_0561
ko:K00891	sui:SSUJS14_0562
ko:K04518	sui:SSUJS14_0563
ko:K03215	sui:SSUJS14_0565
ko:K07052	sui:SSUJS14_0573
ko:K03088	sui:SSUJS14_0595
ko:K03088	sui:SSUJS14_0596
ko:K03431	sui:SSUJS14_1440
ko:K01928	sui:SSUJS14_1443
ko:K07009	sui:SSUJS14_1444
ko:K00563	sui:SSUJS14_1445
ko:K06158	sui:SSUJS14_1448
ko:K03930	sui:SSUJS14_1451
ko:K05833	sui:SSUJS14_1455
ko:K05832	sui:SSUJS14_1456
ko:K01989	sui:SSUJS14_1457
ko:K01223	sui:SSUJS14_1458
ko:K02755	sui:SSUJS14_1459
ko:K02756	sui:SSUJS14_1459
ko:K02757	sui:SSUJS14_1459
ko:K03488	sui:SSUJS14_1460
ko:K01575	sui:SSUJS14_1462
ko:K07404	sui:SSUJS14_1465
ko:K07025	sui:SSUJS14_1467
ko:K01689	sui:SSUJS14_1470
ko:K00865	sui:SSUJS14_1474
ko:K01091	sui:SSUJS14_1475
ko:K01079	sui:SSUJS14_1477
ko:K06286	sui:SSUJS14_1478
ko:K02470	sui:SSUJS14_1479
ko:K03152	sui:SSUJS14_1480
ko:K05837	sui:SSUJS14_1481
ko:K16511	sui:SSUJS14_1836
ko:K03575	sui:SSUJS14_1034
ko:K09817	sui:SSUJS14_0112
ko:K09816	sui:SSUJS14_0113
ko:K09815	sui:SSUJS14_0114
ko:K01866	sui:SSUJS14_0119
ko:K03693	sui:SSUJS14_0120
ko:K03043	sui:SSUJS14_0121
ko:K03046	sui:SSUJS14_0122
ko:K02243	sui:SSUJS14_0126
ko:K02244	sui:SSUJS14_0127
ko:K02245	sui:SSUJS14_0128
ko:K02246	sui:SSUJS14_0129
ko:K02248	sui:SSUJS14_0131
ko:K00925	sui:SSUJS14_0134
ko:K11754	sui:SSUJS14_0137
ko:K01261	sui:SSUJS14_0138
ko:K06878	sui:SSUJS14_0142
ko:K04078	sui:SSUJS14_0146
ko:K04077	sui:SSUJS14_0147
ko:K02950	sui:SSUJS14_0148
ko:K02992	sui:SSUJS14_0149
ko:K02355	sui:SSUJS14_0150
ko:K07386	sui:SSUJS14_0152
ko:K00134	sui:SSUJS14_0153
ko:K00927	sui:SSUJS14_0154
ko:K03713	sui:SSUJS14_0156
ko:K01915	sui:SSUJS14_0157
ko:K03702	sui:SSUJS14_1007
ko:K01740	sui:SSUJS14_1012
ko:K01220	sui:SSUJS14_1016
ko:K02787	sui:SSUJS14_1017
ko:K02788	sui:SSUJS14_1017
ko:K02786	sui:SSUJS14_1018
ko:K02531	sui:SSUJS14_1019
ko:K01635	sui:SSUJS14_1020
ko:K00917	sui:SSUJS14_1021
ko:K01819	sui:SSUJS14_1023
ko:K01819	sui:SSUJS14_1024
ko:K02530	sui:SSUJS14_1026
ko:K02440	sui:SSUJS14_1918
ko:K01881	sui:SSUJS14_1919
ko:K11749	sui:SSUJS14_1920
ko:K00981	sui:SSUJS14_1921
ko:K00806	sui:SSUJS14_1922
ko:K03210	sui:SSUJS14_1923
ko:K01939	sui:SSUJS14_1924
ko:K01919	sui:SSUJS14_1925
ko:K07004	sui:SSUJS14_1928
ko:K04083	sui:SSUJS14_1929
ko:K03811	sui:SSUJS14_1932
ko:K03696	sui:SSUJS14_1934
ko:K03708	sui:SSUJS14_1935
ko:K02357	sui:SSUJS14_1939
ko:K02967	sui:SSUJS14_1940
ko:K02601	sui:SSUJS14_1943
ko:K03073	sui:SSUJS14_1944
ko:K02913	sui:SSUJS14_1945
ko:K12555	sui:SSUJS14_1946
ko:K06180	sui:SSUJS14_1948
ko:K09685	sui:SSUJS14_1949
ko:K03698	sui:SSUJS14_1951
ko:K09760	sui:SSUJS14_1952
ko:K00949	sui:SSUJS14_1953
ko:K01783	sui:SSUJS14_1954
ko:K06949	sui:SSUJS14_1955
ko:K06147	sui:SSUJS14_1036
ko:K00625	sui:SSUJS14_1038
ko:K06180	sui:SSUJS14_1039
ko:K00858	sui:SSUJS14_1040
ko:K07816	sui:SSUJS14_1041
ko:K00948	sui:SSUJS14_1043
ko:K04487	sui:SSUJS14_1044
ko:K01926	sui:SSUJS14_1047
ko:K07010	sui:SSUJS14_1048
ko:K03630	sui:SSUJS14_1049
ko:K02469	sui:SSUJS14_1051
ko:K00016	sui:SSUJS14_1052
ko:K02057	sui:SSUJS14_1055
ko:K02057	sui:SSUJS14_1056
ko:K02056	sui:SSUJS14_1057
ko:K07335	sui:SSUJS14_1059
ko:K02996	sui:SSUJS14_1855
ko:K02871	sui:SSUJS14_1856
ko:K06962	sui:SSUJS14_1858
ko:K03218	sui:SSUJS14_1859
ko:K07720	sui:SSUJS14_1866
ko:K07718	sui:SSUJS14_1867
ko:K09704	sui:SSUJS14_1877
ko:K11145	sui:SSUJS14_1881
ko:K00640	sui:SSUJS14_1885
ko:K00962	sui:SSUJS14_1886
ko:K07106	sui:SSUJS14_1892
ko:K02956	sui:SSUJS14_1894
ko:K02824	sui:SSUJS14_1895
ko:K06183	sui:SSUJS14_1898
ko:K01462	sui:SSUJS14_1902
ko:K01704	sui:SSUJS14_1904
ko:K01703	sui:SSUJS14_1905
ko:K00052	sui:SSUJS14_1906
ko:K01649	sui:SSUJS14_1907
ko:K01914	sui:SSUJS14_0433
ko:K06207	sui:SSUJS14_0434
ko:K03100	sui:SSUJS14_0437
ko:K01925	sui:SSUJS14_0443
ko:K02563	sui:SSUJS14_0444
ko:K03589	sui:SSUJS14_0445
ko:K03590	sui:SSUJS14_0446
ko:K03531	sui:SSUJS14_0447
ko:K06997	sui:SSUJS14_0448
ko:K09772	sui:SSUJS14_0449
ko:K02221	sui:SSUJS14_0450
ko:K04074	sui:SSUJS14_0452
ko:K00657	sui:SSUJS14_0453
ko:K01870	sui:SSUJS14_0454
ko:K03697	sui:SSUJS14_0457
ko:K01491	sui:SSUJS14_0461
ko:K03100	sui:SSUJS14_0463
ko:K08303	sui:SSUJS14_0471
ko:K03523	sui:SSUJS14_0474
ko:K00383	sui:SSUJS14_0476
ko:K02005	sui:SSUJS14_0477
ko:K02003	sui:SSUJS14_0478
ko:K02004	sui:SSUJS14_0479
ko:K04567	sui:SSUJS14_0482
ko:K01868	sui:SSUJS14_1327
ko:K02529	sui:SSUJS14_1333
ko:K02795	sui:SSUJS14_1337
ko:K01811	sui:SSUJS14_1340
ko:K00854	sui:SSUJS14_1341
ko:K01805	sui:SSUJS14_1342
ko:K00773	sui:SSUJS14_1349
ko:K06929	sui:SSUJS14_1351
ko:K02003	sui:SSUJS14_1357
ko:K03664	sui:SSUJS14_1365
ko:K12573	sui:SSUJS14_1366
ko:K03075	sui:SSUJS14_1367
ko:K02913	sui:SSUJS14_1368
ko:K00859	sui:SSUJS14_1370
ko:K10563	sui:SSUJS14_1371
ko:K07042	sui:SSUJS14_1374
ko:K01788	sui:SSUJS14_1377
ko:K11031	sui:SSUJS14_1378
ko:K07025	sui:SSUJS14_1379
ko:K01739	sui:SSUJS14_1528
ko:K00869	sui:SSUJS14_0275
ko:K01597	sui:SSUJS14_0276
ko:K00938	sui:SSUJS14_0277
ko:K01823	sui:SSUJS14_0278
ko:K07166	sui:SSUJS14_0281
ko:K09157	sui:SSUJS14_0282
ko:K03705	sui:SSUJS14_0284
ko:K03687	sui:SSUJS14_0285
ko:K04043	sui:SSUJS14_0286
ko:K03686	sui:SSUJS14_0287
ko:K07727	sui:SSUJS14_0292
ko:K01534	sui:SSUJS14_0294
ko:K09825	sui:SSUJS14_0295
ko:K06173	sui:SSUJS14_0296
ko:K00868	sui:SSUJS14_0297
ko:K09702	sui:SSUJS14_0300
ko:K03545	sui:SSUJS14_0314
ko:K09815	sui:SSUJS14_0316
ko:K03048	sui:SSUJS14_0318
ko:K01937	sui:SSUJS14_0319
ko:K01624	sui:SSUJS14_0320
ko:K02902	sui:SSUJS14_0321
ko:K00031	sui:SSUJS14_1168
ko:K01647	sui:SSUJS14_1169
ko:K01681	sui:SSUJS14_1170
ko:K03210	sui:SSUJS14_1183
ko:K02747	sui:SSUJS14_1184
ko:K02746	sui:SSUJS14_1185
ko:K02745	sui:SSUJS14_1186
ko:K02744	sui:SSUJS14_1188
ko:K01625	sui:SSUJS14_1189
ko:K00874	sui:SSUJS14_1190
ko:K00046	sui:SSUJS14_1192
ko:K07052	sui:SSUJS14_1195
ko:K07052	sui:SSUJS14_1197
ko:K07729	sui:SSUJS14_1200
ko:K01872	sui:SSUJS14_1205
ko:K07533	sui:SSUJS14_1207
ko:K08602	sui:SSUJS14_1211
ko:K06198	sui:SSUJS14_1212
ko:K01874	sui:SSUJS14_1213
ko:K01626	sui:SSUJS14_1216
ko:K01626	sui:SSUJS14_1217
ko:K00014	sui:SSUJS14_1218
ko:K01735	sui:SSUJS14_1219
ko:K05833	sui:SSUJS14_1220
ko:K05832	sui:SSUJS14_1221
ko:K02821	sui:SSUJS14_2016
ko:K02822	sui:SSUJS14_2017
ko:K03475	sui:SSUJS14_2018
ko:K02761	sui:SSUJS14_2025
ko:K02759	sui:SSUJS14_2027
ko:K02760	sui:SSUJS14_2030
ko:K03491	sui:SSUJS14_2031
ko:K09963	sui:SSUJS14_2032
ko:K01222	sui:SSUJS14_2035
ko:K01869	sui:SSUJS14_2036
ko:K07386	sui:SSUJS14_2037
ko:K11709	sui:SSUJS14_2038
ko:K11708	sui:SSUJS14_2039
ko:K11710	sui:SSUJS14_2040
ko:K11707	sui:SSUJS14_2042
ko:K03709	sui:SSUJS14_2043
ko:K07707	sui:SSUJS14_2046
ko:K07560	sui:SSUJS14_2049
ko:K01119	sui:SSUJS14_2051
ko:K09761	sui:SSUJS14_2062
ko:K02687	sui:SSUJS14_2063
ko:K03976	sui:SSUJS14_0484
ko:K08974	sui:SSUJS14_0485
ko:K07273	sui:SSUJS14_0487
ko:K03588	sui:SSUJS14_0490
ko:K01595	sui:SSUJS14_0491
ko:K03088	sui:SSUJS14_0492
ko:K02358	sui:SSUJS14_0494
ko:K01803	sui:SSUJS14_0495
ko:K03471	sui:SSUJS14_0218
ko:K01226	sui:SSUJS14_0221
ko:K02817	sui:SSUJS14_0222
ko:K02818	sui:SSUJS14_0222
ko:K02819	sui:SSUJS14_0222
ko:K03486	sui:SSUJS14_0223
ko:K07456	sui:SSUJS14_0226
ko:K03671	sui:SSUJS14_0228
ko:K12267	sui:SSUJS14_0230
ko:K02003	sui:SSUJS14_0234
ko:K03310	sui:SSUJS14_0236
ko:K00262	sui:SSUJS14_0239
ko:K07282	sui:SSUJS14_0241
ko:K01990	sui:SSUJS14_0245
ko:K01421	sui:SSUJS14_0247
ko:K02440	sui:SSUJS14_0254
ko:K06915	sui:SSUJS14_0255
ko:K02913	sui:SSUJS14_0263
ko:K02911	sui:SSUJS14_0264
ko:K01892	sui:SSUJS14_0265
ko:K13953	sui:SSUJS14_0266
ko:K04072	sui:SSUJS14_0267
ko:K01733	sui:SSUJS14_0268
ko:K00796	sui:SSUJS14_1115
ko:K01495	sui:SSUJS14_1116
ko:K01890	sui:SSUJS14_1122
ko:K06885	sui:SSUJS14_0497
ko:K01488	sui:SSUJS14_0501
ko:K02337	sui:SSUJS14_0505
ko:K00850	sui:SSUJS14_0506
ko:K00873	sui:SSUJS14_0507
ko:K03100	sui:SSUJS14_0511
ko:K00820	sui:SSUJS14_0512
ko:K02029	sui:SSUJS14_0513
ko:K00931	sui:SSUJS14_0519
ko:K00147	sui:SSUJS14_0520
ko:K00286	sui:SSUJS14_0521
ko:K09861	sui:SSUJS14_0525
ko:K01104	sui:SSUJS14_0529
ko:K04758	sui:SSUJS14_1383
ko:K04759	sui:SSUJS14_1384
ko:K09811	sui:SSUJS14_1385
ko:K09812	sui:SSUJS14_1386
ko:K02836	sui:SSUJS14_1387
ko:K03086	sui:SSUJS14_1403
ko:K03282	sui:SSUJS14_1405
ko:K01784	sui:SSUJS14_1406
ko:K02970	sui:SSUJS14_1407
ko:K00688	sui:SSUJS14_1414
ko:K03784	sui:SSUJS14_1415
ko:K03783	sui:SSUJS14_1416
ko:K01839	sui:SSUJS14_1418
ko:K01807	sui:SSUJS14_1419
ko:K01154	sui:SSUJS14_1420
ko:K01154	sui:SSUJS14_1421
ko:K01154	sui:SSUJS14_1422
ko:K03427	sui:SSUJS14_1423
ko:K01153	sui:SSUJS14_1424
ko:K03650	sui:SSUJS14_1425
ko:K07192	sui:SSUJS14_1428
ko:K03744	sui:SSUJS14_1429
ko:K07862	sui:SSUJS14_1434
ko:K03655	sui:SSUJS14_0324
ko:K01424	sui:SSUJS14_0325
ko:K14260	sui:SSUJS14_0329
ko:K03706	sui:SSUJS14_0330
ko:K02884	sui:SSUJS14_0332
ko:K02435	sui:SSUJS14_0334
ko:K02433	sui:SSUJS14_0335
ko:K02434	sui:SSUJS14_0336
ko:K01129	sui:SSUJS14_0337
ko:K02529	sui:SSUJS14_0338
ko:K00849	sui:SSUJS14_0339
ko:K00965	sui:SSUJS14_0340
ko:K06201	sui:SSUJS14_0342
ko:K07015	sui:SSUJS14_0344
ko:K06948	sui:SSUJS14_0345
ko:K07574	sui:SSUJS14_0346
ko:K00969	sui:SSUJS14_0347
ko:K09710	sui:SSUJS14_0351
ko:K01462	sui:SSUJS14_0360
ko:K04086	sui:SSUJS14_0361
ko:K00705	sui:SSUJS14_0362
ko:K00688	sui:SSUJS14_0363
ko:K07146	sui:SSUJS14_0373
ko:K07032	sui:SSUJS14_0375
ko:K03704	sui:SSUJS14_0378
ko:K03501	sui:SSUJS14_0379
ko:K01635	sui:SSUJS14_1225
ko:K01443	sui:SSUJS14_1226
ko:K04517	sui:SSUJS14_1228
ko:K01736	sui:SSUJS14_1229
ko:K03785	sui:SSUJS14_1230
ko:K06969	sui:SSUJS14_1231
ko:K02887	sui:SSUJS14_1234
ko:K02916	sui:SSUJS14_1235
ko:K02520	sui:SSUJS14_1236
ko:K00945	sui:SSUJS14_1237
ko:K05337	sui:SSUJS14_1238
ko:K09153	sui:SSUJS14_1242
ko:K07272	sui:SSUJS14_1250
ko:K12997	sui:SSUJS14_1253
ko:K12996	sui:SSUJS14_1254
ko:K01448	sui:SSUJS14_1257
ko:K00067	sui:SSUJS14_1259
ko:K01790	sui:SSUJS14_1262
ko:K00973	sui:SSUJS14_1263
ko:K07238	sui:SSUJS14_1264
ko:K06967	sui:SSUJS14_1266
ko:K02086	sui:SSUJS14_1267
ko:K00651	sui:SSUJS14_1268
ko:K00759	sui:SSUJS14_1269
ko:K07462	sui:SSUJS14_1272
ko:K07478	sui:SSUJS14_2067
ko:K03555	sui:SSUJS14_2077
ko:K03402	sui:SSUJS14_2078
ko:K01887	sui:SSUJS14_2079
ko:K00705	sui:SSUJS14_2083
ko:K02529	sui:SSUJS14_2088
ko:K03647	sui:SSUJS14_2090
ko:K01876	sui:SSUJS14_2092
ko:K02348	sui:SSUJS14_2093
ko:K05349	sui:SSUJS14_2096
ko:K00244	sui:SSUJS14_2102
ko:K02986	sui:SSUJS14_2104
ko:K02939	sui:SSUJS14_2108
ko:K03495	sui:SSUJS14_2110
ko:K00566	sui:SSUJS14_2116
ko:K01752	sui:SSUJS14_2117
ko:K01752	sui:SSUJS14_2118
ko:K01207	sui:SSUJS14_1125
ko:K01207	sui:SSUJS14_1126
ko:K01889	sui:SSUJS14_1124
ko:K01686	sui:SSUJS14_1129
ko:K01812	sui:SSUJS14_1130
ko:K01625	sui:SSUJS14_1131
ko:K01195	sui:SSUJS14_1133
ko:K00874	sui:SSUJS14_1134
ko:K15051	sui:SSUJS14_1136
ko:K00790	sui:SSUJS14_1138
ko:K02114	sui:SSUJS14_1140
ko:K02112	sui:SSUJS14_1141
ko:K02115	sui:SSUJS14_1142
ko:K02111	sui:SSUJS14_1143
ko:K02113	sui:SSUJS14_1144
ko:K02109	sui:SSUJS14_1145
ko:K02108	sui:SSUJS14_1146
ko:K02110	sui:SSUJS14_1147
ko:K01972	sui:SSUJS14_1149
ko:K07089	sui:SSUJS14_1151
ko:K00036	sui:SSUJS14_1153
ko:K03110	sui:SSUJS14_1156
ko:K03529	sui:SSUJS14_1159
ko:K03685	sui:SSUJS14_1160
ko:K08483	sui:SSUJS14_1166
ko:K11189	sui:SSUJS14_1167
ko:K02528	sui:SSUJS14_1963
ko:K03574	sui:SSUJS14_1967
ko:K05985	sui:SSUJS14_1971
ko:K03424	sui:SSUJS14_1972
ko:K02914	sui:SSUJS14_1973
ko:K06346	sui:SSUJS14_1974
ko:K03217	sui:SSUJS14_1975
ko:K03536	sui:SSUJS14_1976
ko:K01755	sui:SSUJS14_1977
ko:K01940	sui:SSUJS14_1978
ko:K07105	sui:SSUJS14_1980
ko:K00547	sui:SSUJS14_1983
ko:K01673	sui:SSUJS14_1990
ko:K04485	sui:SSUJS14_1991
ko:K05366	sui:SSUJS14_0380
ko:K03700	sui:SSUJS14_0381
ko:K07444	sui:SSUJS14_0385
ko:K07173	sui:SSUJS14_0387
ko:K00942	sui:SSUJS14_0389
ko:K03060	sui:SSUJS14_0390
ko:K04066	sui:SSUJS14_0391
ko:K00604	sui:SSUJS14_0392
ko:K03500	sui:SSUJS14_0393
ko:K11617	sui:SSUJS14_0398
ko:K11618	sui:SSUJS14_0399
ko:K03768	sui:SSUJS14_0400
ko:K00382	sui:SSUJS14_1796
ko:K00627	sui:SSUJS14_1797
ko:K00162	sui:SSUJS14_1798
ko:K00161	sui:SSUJS14_1799
ko:K02834	sui:SSUJS14_1803
ko:K02313	sui:SSUJS14_0001
ko:K02338	sui:SSUJS14_0002
ko:K06942	sui:SSUJS14_0006
ko:K01056	sui:SSUJS14_0007
ko:K03723	sui:SSUJS14_0008
ko:K04075	sui:SSUJS14_0013
ko:K08591	sui:SSUJS14_0846
ko:K02622	sui:SSUJS14_0847
ko:K04095	sui:SSUJS14_0849
ko:K04095	sui:SSUJS14_0850
ko:K02621	sui:SSUJS14_0853
ko:K00826	sui:SSUJS14_0855
ko:K02945	sui:SSUJS14_0857
ko:K01620	sui:SSUJS14_0858
ko:K04487	sui:SSUJS14_0861
ko:K03151	sui:SSUJS14_0862
ko:K03311	sui:SSUJS14_0863
ko:K02888	sui:SSUJS14_0864
ko:K02899	sui:SSUJS14_0865
ko:K03101	sui:SSUJS14_0868
ko:K06180	sui:SSUJS14_0869
ko:K06193	sui:SSUJS14_0870
ko:K02825	sui:SSUJS14_0872
ko:K00609	sui:SSUJS14_0873
ko:K01956	sui:SSUJS14_0874
ko:K01955	sui:SSUJS14_0875
ko:K01304	sui:SSUJS14_0877
ko:K02959	sui:SSUJS14_0879
ko:K06960	sui:SSUJS14_0880
ko:K00003	sui:SSUJS14_0884
ko:K00872	sui:SSUJS14_0885
ko:K00075	sui:SSUJS14_0886
ko:K11072	sui:SSUJS14_0887
ko:K11071	sui:SSUJS14_0888
ko:K11069	sui:SSUJS14_0890
ko:K01361	sui:SSUJS14_0893
ko:K00033	sui:SSUJS14_1700
ko:K07040	sui:SSUJS14_1701
ko:K00384	sui:SSUJS14_1702
ko:K01000	sui:SSUJS14_1706
ko:K12556	sui:SSUJS14_1707
ko:K03438	sui:SSUJS14_1709
ko:K07729	sui:SSUJS14_1710
ko:K03734	sui:SSUJS14_1718
ko:K00805	sui:SSUJS14_1720
ko:K03885	sui:SSUJS14_1721
ko:K00805	sui:SSUJS14_1722
ko:K03498	sui:SSUJS14_1723
ko:K03499	sui:SSUJS14_1724
ko:K01879	sui:SSUJS14_1729
ko:K01878	sui:SSUJS14_1730
ko:K02072	sui:SSUJS14_1733
ko:K02071	sui:SSUJS14_1734
ko:K01439	sui:SSUJS14_1735
ko:K02073	sui:SSUJS14_1736
ko:K07010	sui:SSUJS14_1737
ko:K00549	sui:SSUJS14_1738
ko:K00297	sui:SSUJS14_1739
ko:K06901	sui:SSUJS14_1740
ko:K02793	sui:SSUJS14_1742
ko:K02794	sui:SSUJS14_1742
ko:K02795	sui:SSUJS14_1743
ko:K01875	sui:SSUJS14_1746
ko:K03427	sui:SSUJS14_1747
ko:K01154	sui:SSUJS14_1748
ko:K01153	sui:SSUJS14_1749
ko:K07052	sui:SSUJS14_1752
ko:K14226	sui:SSUJS14_t030
ko:K08217	sui:SSUJS14_0632
ko:K00789	sui:SSUJS14_0654
ko:K02909	sui:SSUJS14_1500
ko:K03734	sui:SSUJS14_1501
ko:K02954	sui:SSUJS14_1504
ko:K04516	sui:SSUJS14_1505
ko:K01081	sui:SSUJS14_1507
ko:K04564	sui:SSUJS14_1508
ko:K02340	sui:SSUJS14_1509
ko:K03367	sui:SSUJS14_0729
ko:K03739	sui:SSUJS14_0730
ko:K14188	sui:SSUJS14_0731
ko:K03740	sui:SSUJS14_0732
ko:K07393	sui:SSUJS14_0734
ko:K06183	sui:SSUJS14_0735
ko:K00432	sui:SSUJS14_0736
ko:K02015	sui:SSUJS14_0737
ko:K02015	sui:SSUJS14_0738
ko:K02016	sui:SSUJS14_0739
ko:K02013	sui:SSUJS14_0740
ko:K05362	sui:SSUJS14_0741
ko:K00655	sui:SSUJS14_0742
ko:K02237	sui:SSUJS14_0743
ko:K02238	sui:SSUJS14_0744
ko:K04767	sui:SSUJS14_0746
ko:K00943	sui:SSUJS14_0750
ko:K02341	sui:SSUJS14_0751
ko:K07056	sui:SSUJS14_0753
ko:K00831	sui:SSUJS14_0754
ko:K00058	sui:SSUJS14_0756
ko:K10117	sui:SSUJS14_1524
ko:K07407	sui:SSUJS14_1525
ko:K14155	sui:SSUJS14_1527
ko:K07461	sui:SSUJS14_1534
ko:K09765	sui:SSUJS14_1511
ko:K01996	sui:SSUJS14_1512
ko:K01995	sui:SSUJS14_1513
ko:K01998	sui:SSUJS14_1514
ko:K01997	sui:SSUJS14_1515
ko:K01999	sui:SSUJS14_1516
ko:K01118	sui:SSUJS14_1536
ko:K05592	sui:SSUJS14_1540
ko:K01358	sui:SSUJS14_1518
ko:K00761	sui:SSUJS14_1519
ko:K00690	sui:SSUJS14_1521
ko:K07316	sui:SSUJS14_0771
ko:K01156	sui:SSUJS14_0772
ko:K01835	sui:SSUJS14_0775
ko:K01938	sui:SSUJS14_0779
ko:K03524	sui:SSUJS14_1595
ko:K02343	sui:SSUJS14_1597
ko:K00876	sui:SSUJS14_1601
ko:K01759	sui:SSUJS14_1607
ko:K00626	sui:SSUJS14_1611
ko:K01641	sui:SSUJS14_1612
ko:K00054	sui:SSUJS14_1613
ko:K03530	sui:SSUJS14_1617
ko:K03631	sui:SSUJS14_1621
ko:K03402	sui:SSUJS14_1622
ko:K06442	sui:SSUJS14_1623
ko:K13789	sui:SSUJS14_1624
ko:K03602	sui:SSUJS14_1625
ko:K03601	sui:SSUJS14_1626
ko:K07054	sui:SSUJS14_1627
ko:K15986	sui:SSUJS14_1636
ko:K04069	sui:SSUJS14_1638
ko:K02013	sui:SSUJS14_1640
ko:K02236	sui:SSUJS14_1642
ko:K00763	sui:SSUJS14_1643
ko:K01916	sui:SSUJS14_1644
ko:K06941	sui:SSUJS14_1646
ko:K00567	sui:SSUJS14_0757
ko:K01142	sui:SSUJS14_0760
ko:K03294	sui:SSUJS14_0762
ko:K07052	sui:SSUJS14_0765
ko:K14230	sui:SSUJS14_t014
ko:K07260	sui:SSUJS14_0833
ko:K16509	sui:SSUJS14_1083
ko:K16214	sui:SSUJS14_0613
