ko:K18929	cfx:CFV97608_0948
ko:K05837	cfx:CFV97608_1273
ko:K07152	cfx:CFV97608_1274
ko:K07118	cfx:CFV97608_1277
ko:K03406	cfx:CFV97608_1279
ko:K07491	cfx:CFV97608_b0033
ko:K02914	cfx:CFV97608_0596
ko:K03536	cfx:CFV97608_0597
ko:K02892	cfx:CFV97608_0035
ko:K02886	cfx:CFV97608_0036
ko:K02965	cfx:CFV97608_0037
ko:K02890	cfx:CFV97608_0038
ko:K02982	cfx:CFV97608_0039
ko:K02878	cfx:CFV97608_0040
ko:K02904	cfx:CFV97608_0041
ko:K02961	cfx:CFV97608_0042
ko:K02874	cfx:CFV97608_0043
ko:K02895	cfx:CFV97608_0044
ko:K02931	cfx:CFV97608_0045
ko:K02954	cfx:CFV97608_0046
ko:K02994	cfx:CFV97608_0047
ko:K02933	cfx:CFV97608_0048
ko:K02881	cfx:CFV97608_0049
ko:K02988	cfx:CFV97608_0050
ko:K02876	cfx:CFV97608_0051
ko:K03076	cfx:CFV97608_0052
ko:K01265	cfx:CFV97608_0053
ko:K02518	cfx:CFV97608_0054
ko:K02919	cfx:CFV97608_0055
ko:K02952	cfx:CFV97608_0056
ko:K02948	cfx:CFV97608_0057
ko:K02986	cfx:CFV97608_0058
ko:K03040	cfx:CFV97608_0059
ko:K02879	cfx:CFV97608_0060
ko:K01928	cfx:CFV97608_0063
ko:K01579	cfx:CFV97608_0064
ko:K03406	cfx:CFV97608_0065
ko:K09747	cfx:CFV97608_0066
ko:K00795	cfx:CFV97608_0068
ko:K00615	cfx:CFV97608_0069
ko:K07248	cfx:CFV97608_0070
ko:K06200	cfx:CFV97608_0072
ko:K03154	cfx:CFV97608_0073
ko:K03148	cfx:CFV97608_0074
ko:K03149	cfx:CFV97608_0075
ko:K03150	cfx:CFV97608_0076
ko:K00963	cfx:CFV97608_0078
ko:K01810	cfx:CFV97608_0079
ko:K04047	cfx:CFV97608_0080
ko:K01935	cfx:CFV97608_0083
ko:K02169	cfx:CFV97608_0084
ko:K09789	cfx:CFV97608_0085
ko:K00652	cfx:CFV97608_0086
ko:K03753	cfx:CFV97608_0858
ko:K03841	cfx:CFV97608_0859
ko:K01874	cfx:CFV97608_0861
ko:K01772	cfx:CFV97608_0862
ko:K02569	cfx:CFV97608_0864
ko:K11784	cfx:CFV97608_0866
ko:K06079	cfx:CFV97608_0867
ko:K00575	cfx:CFV97608_0869
ko:K03412	cfx:CFV97608_0870
ko:K03550	cfx:CFV97608_0872
ko:K01921	cfx:CFV97608_0873
ko:K01929	cfx:CFV97608_0876
ko:K00925	cfx:CFV97608_0877
ko:K13788	cfx:CFV97608_0878
ko:K02393	cfx:CFV97608_0879
ko:K01652	cfx:CFV97608_0881
ko:K01653	cfx:CFV97608_0882
ko:K02536	cfx:CFV97608_0883
ko:K00767	cfx:CFV97608_0886
ko:K01433	cfx:CFV97608_0887
ko:K03216	cfx:CFV97608_0888
ko:K01879	cfx:CFV97608_0891
ko:K07318	cfx:CFV97608_0892
ko:K02484	cfx:CFV97608_0906
ko:K01940	cfx:CFV97608_0907
ko:K02405	cfx:CFV97608_1645
ko:K02416	cfx:CFV97608_1646
ko:K02417	cfx:CFV97608_1647
ko:K18284	cfx:CFV97608_1649
ko:K00645	cfx:CFV97608_1650
ko:K03775	cfx:CFV97608_1651
ko:K03640	cfx:CFV97608_1653
ko:K03641	cfx:CFV97608_1654
ko:K03832	cfx:CFV97608_1655
ko:K03559	cfx:CFV97608_1656
ko:K02114	cfx:CFV97608_1658
ko:K02112	cfx:CFV97608_1659
ko:K02115	cfx:CFV97608_1660
ko:K02111	cfx:CFV97608_1661
ko:K02113	cfx:CFV97608_1662
ko:K02109	cfx:CFV97608_1663
ko:K02109	cfx:CFV97608_1664
ko:K03524	cfx:CFV97608_1667
ko:K00604	cfx:CFV97608_1668
ko:K00931	cfx:CFV97608_1669
ko:K03979	cfx:CFV97608_1670
ko:K02899	cfx:CFV97608_1671
ko:K02888	cfx:CFV97608_1672
ko:K00428	cfx:CFV97608_1673
ko:K00124	cfx:CFV97608_1674
ko:K00123	cfx:CFV97608_1675
ko:K01042	cfx:CFV97608_1679
ko:K03833	cfx:CFV97608_1680
ko:K03981	cfx:CFV97608_1681
ko:K15898	cfx:CFV97608_1689
ko:K00262	cfx:CFV97608_1690
ko:K11782	cfx:CFV97608_1691
ko:K02897	cfx:CFV97608_0337
ko:K01056	cfx:CFV97608_0338
ko:K13747	cfx:CFV97608_0339
ko:K01008	cfx:CFV97608_0341
ko:K02401	cfx:CFV97608_0343
ko:K03313	cfx:CFV97608_0344
ko:K03701	cfx:CFV97608_0345
ko:K14445	cfx:CFV97608_0346
ko:K07090	cfx:CFV97608_0347
ko:K07090	cfx:CFV97608_0348
ko:K01657	cfx:CFV97608_0350
ko:K13497	cfx:CFV97608_0351
ko:K01817	cfx:CFV97608_0352
ko:K01696	cfx:CFV97608_0353
ko:K01695	cfx:CFV97608_0354
ko:K02417	cfx:CFV97608_0356
ko:K02018	cfx:CFV97608_0359
ko:K02017	cfx:CFV97608_0360
ko:K02020	cfx:CFV97608_0362
ko:K02019	cfx:CFV97608_0363
ko:K04754	cfx:CFV97608_0364
ko:K07323	cfx:CFV97608_0365
ko:K07003	cfx:CFV97608_0366
ko:K04065	cfx:CFV97608_0367
ko:K01939	cfx:CFV97608_0370
ko:K09804	cfx:CFV97608_0373
ko:K01956	cfx:CFV97608_0374
ko:K09792	cfx:CFV97608_0375
ko:K00404	cfx:CFV97608_0378
ko:K00405	cfx:CFV97608_0379
ko:K00407	cfx:CFV97608_0380
ko:K00406	cfx:CFV97608_0381
ko:K01665	cfx:CFV97608_1152
ko:K02619	cfx:CFV97608_1153
ko:K02052	cfx:CFV97608_1155
ko:K02053	cfx:CFV97608_1156
ko:K02054	cfx:CFV97608_1157
ko:K02055	cfx:CFV97608_1160
ko:K15256	cfx:CFV97608_1161
ko:K11753	cfx:CFV97608_1162
ko:K06442	cfx:CFV97608_1163
ko:K01972	cfx:CFV97608_1164
ko:K00796	cfx:CFV97608_1165
ko:K02341	cfx:CFV97608_1166
ko:K00928	cfx:CFV97608_1168
ko:K08311	cfx:CFV97608_1169
ko:K03117	cfx:CFV97608_1171
ko:K03118	cfx:CFV97608_1172
ko:K07568	cfx:CFV97608_1173
ko:K07447	cfx:CFV97608_1176
ko:K04096	cfx:CFV97608_1177
ko:K09798	cfx:CFV97608_1178
ko:K00053	cfx:CFV97608_1179
ko:K12573	cfx:CFV97608_1181
ko:K02340	cfx:CFV97608_1182
ko:K02990	cfx:CFV97608_1183
ko:K02963	cfx:CFV97608_1185
ko:K03686	cfx:CFV97608_1186
ko:K02484	cfx:CFV97608_1188
ko:K06187	cfx:CFV97608_1189
ko:K00014	cfx:CFV97608_1190
ko:K03749	cfx:CFV97608_1191
ko:K00600	cfx:CFV97608_1193
ko:K04567	cfx:CFV97608_1194
ko:K03711	cfx:CFV97608_1195
ko:K03558	cfx:CFV97608_1196
ko:K02669	cfx:CFV97608_1197
ko:K03923	cfx:CFV97608_1958
ko:K03301	cfx:CFV97608_1961
ko:K15977	cfx:CFV97608_1966
ko:K09805	cfx:CFV97608_1970
ko:K06178	cfx:CFV97608_1972
ko:K06041	cfx:CFV97608_1973
ko:K12574	cfx:CFV97608_1974
ko:K02528	cfx:CFV97608_1975
ko:K02500	cfx:CFV97608_1977
ko:K06941	cfx:CFV97608_1979
ko:K06180	cfx:CFV97608_1981
ko:K01756	cfx:CFV97608_1982
ko:K11733	cfx:CFV97608_1984
ko:K01159	cfx:CFV97608_1985
ko:K03217	cfx:CFV97608_0599
ko:K06346	cfx:CFV97608_0600
ko:K03650	cfx:CFV97608_0601
ko:K01952	cfx:CFV97608_0602
ko:K05801	cfx:CFV97608_0603
ko:K00602	cfx:CFV97608_0604
ko:K03406	cfx:CFV97608_0608
ko:K00824	cfx:CFV97608_0609
ko:K03438	cfx:CFV97608_0613
ko:K03770	cfx:CFV97608_0615
ko:K03590	cfx:CFV97608_0616
ko:K03531	cfx:CFV97608_0617
ko:K03634	cfx:CFV97608_0623
ko:K03070	cfx:CFV97608_0624
ko:K02004	cfx:CFV97608_0625
ko:K08224	cfx:CFV97608_0628
ko:K00769	cfx:CFV97608_0629
ko:K06901	cfx:CFV97608_0630
ko:K18285	cfx:CFV97608_0631
ko:K00990	cfx:CFV97608_0632
ko:K00820	cfx:CFV97608_0633
ko:K07112	cfx:CFV97608_0634
ko:K01776	cfx:CFV97608_0636
ko:K03182	cfx:CFV97608_0637
ko:K02237	cfx:CFV97608_0642
ko:K02945	cfx:CFV97608_1401
ko:K03527	cfx:CFV97608_1402
ko:K00800	cfx:CFV97608_1403
ko:K01890	cfx:CFV97608_1404
ko:K01889	cfx:CFV97608_1405
ko:K02503	cfx:CFV97608_1406
ko:K00962	cfx:CFV97608_1408
ko:K04744	cfx:CFV97608_1410
ko:K01945	cfx:CFV97608_1412
ko:K01719	cfx:CFV97608_1413
ko:K01951	cfx:CFV97608_1415
ko:K03703	cfx:CFV97608_1417
ko:K09979	cfx:CFV97608_1421
ko:K03324	cfx:CFV97608_1425
ko:K14393	cfx:CFV97608_1428
ko:K10806	cfx:CFV97608_1429
ko:K12267	cfx:CFV97608_1430
ko:K02110	cfx:CFV97608_1432
ko:K09771	cfx:CFV97608_1434
ko:K09981	cfx:CFV97608_1435
ko:K03308	cfx:CFV97608_1442
ko:K01960	cfx:CFV97608_1443
ko:K01610	cfx:CFV97608_1444
ko:K01755	cfx:CFV97608_1445
ko:K04758	cfx:CFV97608_1446
ko:K01118	cfx:CFV97608_1448
ko:K03406	cfx:CFV97608_1450
ko:K03406	cfx:CFV97608_0188
ko:K07112	cfx:CFV97608_0189
ko:K01163	cfx:CFV97608_0191
ko:K03750	cfx:CFV97608_0192
ko:K03406	cfx:CFV97608_0193
ko:K03635	cfx:CFV97608_0195
ko:K03636	cfx:CFV97608_0196
ko:K01703	cfx:CFV97608_0198
ko:K03752	cfx:CFV97608_0199
ko:K01689	cfx:CFV97608_0203
ko:K11785	cfx:CFV97608_0205
ko:K02420	cfx:CFV97608_0206
ko:K00075	cfx:CFV97608_0207
ko:K00981	cfx:CFV97608_0211
ko:K00099	cfx:CFV97608_0212
ko:K01246	cfx:CFV97608_0213
ko:K02824	cfx:CFV97608_0214
ko:K01409	cfx:CFV97608_0217
ko:K00791	cfx:CFV97608_0219
ko:K03179	cfx:CFV97608_0220
ko:K03639	cfx:CFV97608_0223
ko:K08325	cfx:CFV97608_0225
ko:K01737	cfx:CFV97608_0226
ko:K09761	cfx:CFV97608_0229
ko:K02556	cfx:CFV97608_0232
ko:K02557	cfx:CFV97608_0233
ko:K00940	cfx:CFV97608_0235
ko:K02911	cfx:CFV97608_0237
ko:K03695	cfx:CFV97608_1004
ko:K03797	cfx:CFV97608_1005
ko:K01923	cfx:CFV97608_1006
ko:K01952	cfx:CFV97608_1007
ko:K01952	cfx:CFV97608_1008
ko:K00655	cfx:CFV97608_1010
ko:K06199	cfx:CFV97608_1011
ko:K04079	cfx:CFV97608_1018
ko:K03657	cfx:CFV97608_1021
ko:K01679	cfx:CFV97608_1023
ko:K01873	cfx:CFV97608_1024
ko:K02071	cfx:CFV97608_1025
ko:K02072	cfx:CFV97608_1026
ko:K00941	cfx:CFV97608_1027
ko:K02073	cfx:CFV97608_1028
ko:K02902	cfx:CFV97608_1029
ko:K10716	cfx:CFV97608_1030
ko:K00620	cfx:CFV97608_1031
ko:K09794	cfx:CFV97608_1032
ko:K09944	cfx:CFV97608_1037
ko:K00773	cfx:CFV97608_1038
ko:K07043	cfx:CFV97608_1042
ko:K01153	cfx:CFV97608_1043
ko:K01154	cfx:CFV97608_1046
ko:K03427	cfx:CFV97608_1048
ko:K01151	cfx:CFV97608_1797
ko:K11175	cfx:CFV97608_1813
ko:K07391	cfx:CFV97608_1815
ko:K01462	cfx:CFV97608_1816
ko:K01358	cfx:CFV97608_1818
ko:K03545	cfx:CFV97608_1819
ko:K01495	cfx:CFV97608_1820
ko:K02412	cfx:CFV97608_1821
ko:K04487	cfx:CFV97608_1822
ko:K13819	cfx:CFV97608_1823
ko:K02520	cfx:CFV97608_1827
ko:K01868	cfx:CFV97608_1828
ko:K08973	cfx:CFV97608_1840
ko:K03101	cfx:CFV97608_1842
ko:K03431	cfx:CFV97608_1843
ko:K02968	cfx:CFV97608_1844
ko:K02835	cfx:CFV97608_1845
ko:K01772	cfx:CFV97608_0767
ko:K03587	cfx:CFV97608_0768
ko:K02408	cfx:CFV97608_0769
ko:K02388	cfx:CFV97608_0770
ko:K02387	cfx:CFV97608_0771
ko:K00684	cfx:CFV97608_0772
ko:K03694	cfx:CFV97608_0774
ko:K06891	cfx:CFV97608_0775
ko:K03664	cfx:CFV97608_0777
ko:K00919	cfx:CFV97608_0778
ko:K03563	cfx:CFV97608_0779
ko:K03177	cfx:CFV97608_0780
ko:K03657	cfx:CFV97608_0781
ko:K08602	cfx:CFV97608_0784
ko:K07862	cfx:CFV97608_0785
ko:K00789	cfx:CFV97608_0786
ko:K11604	cfx:CFV97608_0787
ko:K11607	cfx:CFV97608_0788
ko:K11605	cfx:CFV97608_0789
ko:K11606	cfx:CFV97608_0790
ko:K03820	cfx:CFV97608_0791
ko:K03210	cfx:CFV97608_0792
ko:K03072	cfx:CFV97608_0793
ko:K03074	cfx:CFV97608_0794
ko:K01869	cfx:CFV97608_0796
ko:K11754	cfx:CFV97608_0799
ko:K03723	cfx:CFV97608_0802
ko:K06923	cfx:CFV97608_0804
ko:K07457	cfx:CFV97608_0805
ko:K06929	cfx:CFV97608_0807
ko:K01754	cfx:CFV97608_0808
ko:K02843	cfx:CFV97608_1549
ko:K03271	cfx:CFV97608_1550
ko:K01779	cfx:CFV97608_1551
ko:K03272	cfx:CFV97608_1552
ko:K03274	cfx:CFV97608_1553
ko:K03273	cfx:CFV97608_1554
ko:K08738	cfx:CFV97608_1557
ko:K17686	cfx:CFV97608_1559
ko:K03628	cfx:CFV97608_1560
ko:K02343	cfx:CFV97608_1561
ko:K00208	cfx:CFV97608_1565
ko:K01803	cfx:CFV97608_1566
ko:K00927	cfx:CFV97608_1567
ko:K00134	cfx:CFV97608_1568
ko:K00969	cfx:CFV97608_1569
ko:K09710	cfx:CFV97608_1570
ko:K01887	cfx:CFV97608_1573
ko:K03116	cfx:CFV97608_1574
ko:K00942	cfx:CFV97608_1575
ko:K02421	cfx:CFV97608_1577
ko:K02014	cfx:CFV97608_1578
ko:K02003	cfx:CFV97608_1579
ko:K02357	cfx:CFV97608_1580
ko:K02967	cfx:CFV97608_1581
ko:K05810	cfx:CFV97608_1583
ko:K00793	cfx:CFV97608_1584
ko:K03495	cfx:CFV97608_1585
ko:K00411	cfx:CFV97608_1586
ko:K00412	cfx:CFV97608_1587
ko:K00413	cfx:CFV97608_1588
ko:K01599	cfx:CFV97608_1594
ko:K00133	cfx:CFV97608_1596
ko:K07738	cfx:CFV97608_0491
ko:K12340	cfx:CFV97608_0509
ko:K07133	cfx:CFV97608_0518
ko:K07491	cfx:CFV97608_0521
ko:K03407	cfx:CFV97608_0524
ko:K00606	cfx:CFV97608_0525
ko:K03551	cfx:CFV97608_0527
ko:K02066	cfx:CFV97608_0529
ko:K02065	cfx:CFV97608_0530
ko:K02067	cfx:CFV97608_0531
ko:K07042	cfx:CFV97608_0533
ko:K04485	cfx:CFV97608_0542
ko:K03110	cfx:CFV97608_0543
ko:K07738	cfx:CFV97608_1312
ko:K03743	cfx:CFV97608_0654
ko:K01870	cfx:CFV97608_0656
ko:K02433	cfx:CFV97608_0657
ko:K00088	cfx:CFV97608_0658
ko:K00641	cfx:CFV97608_0659
ko:K03602	cfx:CFV97608_0660
ko:K01924	cfx:CFV97608_0662
ko:K02049	cfx:CFV97608_0665
ko:K02050	cfx:CFV97608_0666
ko:K02051	cfx:CFV97608_0667
ko:K07456	cfx:CFV97608_0670
ko:K06895	cfx:CFV97608_0672
ko:K01439	cfx:CFV97608_0673
ko:K00116	cfx:CFV97608_0674
ko:K00873	cfx:CFV97608_0676
ko:K03655	cfx:CFV97608_0678
ko:K01626	cfx:CFV97608_0679
ko:K00147	cfx:CFV97608_0680
ko:K00384	cfx:CFV97608_0681
ko:K06940	cfx:CFV97608_0684
ko:K01609	cfx:CFV97608_0686
ko:K09861	cfx:CFV97608_0688
ko:K01959	cfx:CFV97608_0695
ko:K03686	cfx:CFV97608_0698
ko:K03474	cfx:CFV97608_0699
ko:K00097	cfx:CFV97608_0700
ko:K03306	cfx:CFV97608_0701
ko:K02355	cfx:CFV97608_1452
ko:K02992	cfx:CFV97608_1453
ko:K02950	cfx:CFV97608_1454
ko:K03043	cfx:CFV97608_1456
ko:K02935	cfx:CFV97608_1457
ko:K02864	cfx:CFV97608_1458
ko:K02863	cfx:CFV97608_1459
ko:K02867	cfx:CFV97608_1460
ko:K02601	cfx:CFV97608_1461
ko:K03073	cfx:CFV97608_1462
ko:K02913	cfx:CFV97608_1464
ko:K02358	cfx:CFV97608_1465
ko:K01591	cfx:CFV97608_1472
ko:K03625	cfx:CFV97608_1473
ko:K00794	cfx:CFV97608_1474
ko:K01627	cfx:CFV97608_1477
ko:K03977	cfx:CFV97608_1479
ko:K00891	cfx:CFV97608_1480
ko:K01867	cfx:CFV97608_1481
ko:K01875	cfx:CFV97608_1482
ko:K01649	cfx:CFV97608_1484
ko:K17103	cfx:CFV97608_1485
ko:K01613	cfx:CFV97608_1486
ko:K03798	cfx:CFV97608_1487
ko:K02687	cfx:CFV97608_1488
ko:K03413	cfx:CFV97608_1489
ko:K01814	cfx:CFV97608_1490
ko:K02501	cfx:CFV97608_1491
ko:K01925	cfx:CFV97608_1497
ko:K01000	cfx:CFV97608_1498
ko:K00946	cfx:CFV97608_0088
ko:K06176	cfx:CFV97608_0089
ko:K02422	cfx:CFV97608_0092
ko:K02407	cfx:CFV97608_0093
ko:K06603	cfx:CFV97608_0094
ko:K02394	cfx:CFV97608_0097
ko:K02396	cfx:CFV97608_0101
ko:K15778	cfx:CFV97608_0103
ko:K00971	cfx:CFV97608_0104
ko:K06920	cfx:CFV97608_0105
ko:K01885	cfx:CFV97608_0106
ko:K02221	cfx:CFV97608_0107
ko:K08309	cfx:CFV97608_0108
ko:K03839	cfx:CFV97608_0112
ko:K07173	cfx:CFV97608_0113
ko:K03648	cfx:CFV97608_0114
ko:K02887	cfx:CFV97608_0115
ko:K02916	cfx:CFV97608_0116
ko:K02012	cfx:CFV97608_0117
ko:K02011	cfx:CFV97608_0118
ko:K03585	cfx:CFV97608_0121
ko:K02970	cfx:CFV97608_0124
ko:K08315	cfx:CFV97608_0125
ko:K15831	cfx:CFV97608_0128
ko:K12141	cfx:CFV97608_0130
ko:K12140	cfx:CFV97608_0131
ko:K01745	cfx:CFV97608_0135
ko:K04763	cfx:CFV97608_0908
ko:K03588	cfx:CFV97608_0909
ko:K02563	cfx:CFV97608_0910
ko:K03530	cfx:CFV97608_0911
ko:K03561	cfx:CFV97608_0912
ko:K03559	cfx:CFV97608_0913
ko:K03832	cfx:CFV97608_0914
ko:K06925	cfx:CFV97608_0916
ko:K06861	cfx:CFV97608_0917
ko:K03092	cfx:CFV97608_0918
ko:K01735	cfx:CFV97608_0919
ko:K03831	cfx:CFV97608_0923
ko:K06997	cfx:CFV97608_0924
ko:K11749	cfx:CFV97608_0925
ko:K01783	cfx:CFV97608_0926
ko:K02342	cfx:CFV97608_0927
ko:K04066	cfx:CFV97608_0928
ko:K02456	cfx:CFV97608_0929
ko:K02456	cfx:CFV97608_0932
ko:K03702	cfx:CFV97608_0935
ko:K16088	cfx:CFV97608_0937
ko:K00937	cfx:CFV97608_0939
ko:K00549	cfx:CFV97608_0941
ko:K08296	cfx:CFV97608_0944
ko:K00782	cfx:CFV97608_0949
ko:K00790	cfx:CFV97608_0951
ko:K03750	cfx:CFV97608_0952
ko:K02386	cfx:CFV97608_0953
ko:K00954	cfx:CFV97608_0955
ko:K00943	cfx:CFV97608_0956
ko:K01892	cfx:CFV97608_0957
ko:K00761	cfx:CFV97608_1692
ko:K00029	cfx:CFV97608_1693
ko:K01885	cfx:CFV97608_1695
ko:K01961	cfx:CFV97608_1697
ko:K02160	cfx:CFV97608_1698
ko:K01494	cfx:CFV97608_1699
ko:K15895	cfx:CFV97608_1700
ko:K00286	cfx:CFV97608_1702
ko:K00611	cfx:CFV97608_1706
ko:K01698	cfx:CFV97608_1707
ko:K01497	cfx:CFV97608_1709
ko:K03501	cfx:CFV97608_1710
ko:K06950	cfx:CFV97608_1711
ko:K03799	cfx:CFV97608_1713
ko:K01775	cfx:CFV97608_1714
ko:K00615	cfx:CFV97608_1722
ko:K00615	cfx:CFV97608_1723
ko:K00604	cfx:CFV97608_1731
ko:K02843	cfx:CFV97608_1735
ko:K01953	cfx:CFV97608_1738
ko:K03582	cfx:CFV97608_0387
ko:K02871	cfx:CFV97608_0388
ko:K02996	cfx:CFV97608_0389
ko:K03286	cfx:CFV97608_0390
ko:K03442	cfx:CFV97608_0391
ko:K01091	cfx:CFV97608_0392
ko:K03737	cfx:CFV97608_0393
ko:K01999	cfx:CFV97608_0400
ko:K01997	cfx:CFV97608_0401
ko:K01998	cfx:CFV97608_0402
ko:K01995	cfx:CFV97608_0403
ko:K01996	cfx:CFV97608_0404
ko:K01095	cfx:CFV97608_0407
ko:K00958	cfx:CFV97608_0408
ko:K12506	cfx:CFV97608_0410
ko:K03147	cfx:CFV97608_0411
ko:K03593	cfx:CFV97608_0412
ko:K00674	cfx:CFV97608_0413
ko:K00245	cfx:CFV97608_0415
ko:K00244	cfx:CFV97608_0416
ko:K00246	cfx:CFV97608_0417
ko:K13292	cfx:CFV97608_0418
ko:K02346	cfx:CFV97608_0420
ko:K03837	cfx:CFV97608_0424
ko:K03768	cfx:CFV97608_0426
ko:K11103	cfx:CFV97608_0427
ko:K07812	cfx:CFV97608_0429
ko:K03532	cfx:CFV97608_0430
ko:K03673	cfx:CFV97608_0433
ko:K03611	cfx:CFV97608_0434
ko:K02014	cfx:CFV97608_0435
ko:K02435	cfx:CFV97608_1198
ko:K03525	cfx:CFV97608_1202
ko:K00765	cfx:CFV97608_1203
ko:K03311	cfx:CFV97608_1204
ko:K07098	cfx:CFV97608_1205
ko:K01613	cfx:CFV97608_1206
ko:K02570	cfx:CFV97608_1207
ko:K02572	cfx:CFV97608_1209
ko:K02568	cfx:CFV97608_1210
ko:K02574	cfx:CFV97608_1211
ko:K02573	cfx:CFV97608_1212
ko:K02567	cfx:CFV97608_1213
ko:K10040	cfx:CFV97608_1214
ko:K10040	cfx:CFV97608_1215
ko:K10039	cfx:CFV97608_1216
ko:K10041	cfx:CFV97608_1217
ko:K06942	cfx:CFV97608_1218
ko:K01255	cfx:CFV97608_1219
ko:K00759	cfx:CFV97608_1221
ko:K01808	cfx:CFV97608_1223
ko:K03100	cfx:CFV97608_1225
ko:K01491	cfx:CFV97608_1226
ko:K01845	cfx:CFV97608_1228
ko:K04061	cfx:CFV97608_1233
ko:K05515	cfx:CFV97608_1234
ko:K00619	cfx:CFV97608_1236
ko:K03978	cfx:CFV97608_1237
ko:K09774	cfx:CFV97608_1238
ko:K03270	cfx:CFV97608_1240
ko:K01693	cfx:CFV97608_1241
ko:K03642	cfx:CFV97608_1242
ko:K08307	cfx:CFV97608_1243
ko:K03168	cfx:CFV97608_a0017
ko:K07491	cfx:CFV97608_a0039
ko:K04095	cfx:CFV97608_b0017
ko:K07491	cfx:CFV97608_b0020
ko:K03621	cfx:CFV97608_0238
ko:K00648	cfx:CFV97608_0239
ko:K08591	cfx:CFV97608_0242
ko:K01633	cfx:CFV97608_0243
ko:K02484	cfx:CFV97608_0245
ko:K01524	cfx:CFV97608_0247
ko:K05540	cfx:CFV97608_0249
ko:K06204	cfx:CFV97608_0251
ko:K00783	cfx:CFV97608_0252
ko:K01963	cfx:CFV97608_0253
ko:K03386	cfx:CFV97608_0254
ko:K00831	cfx:CFV97608_0256
ko:K03601	cfx:CFV97608_0257
ko:K03183	cfx:CFV97608_0258
ko:K01993	cfx:CFV97608_0261
ko:K01992	cfx:CFV97608_0263
ko:K09825	cfx:CFV97608_0265
ko:K01662	cfx:CFV97608_0266
ko:K02411	cfx:CFV97608_0267
ko:K02410	cfx:CFV97608_0268
ko:K02409	cfx:CFV97608_0269
ko:K00817	cfx:CFV97608_0270
ko:K14170	cfx:CFV97608_0271
ko:K02566	cfx:CFV97608_0272
ko:K01586	cfx:CFV97608_0273
ko:K11720	cfx:CFV97608_0274
ko:K02428	cfx:CFV97608_0276
ko:K02014	cfx:CFV97608_0277
ko:K02016	cfx:CFV97608_0279
ko:K02015	cfx:CFV97608_0280
ko:K02013	cfx:CFV97608_0281
ko:K03561	cfx:CFV97608_0283
ko:K03559	cfx:CFV97608_0284
ko:K03832	cfx:CFV97608_0285
ko:K06886	cfx:CFV97608_1051
ko:K01682	cfx:CFV97608_1054
ko:K00567	cfx:CFV97608_1055
ko:K14652	cfx:CFV97608_1056
ko:K02939	cfx:CFV97608_1057
ko:K01419	cfx:CFV97608_1058
ko:K03667	cfx:CFV97608_1059
ko:K02453	cfx:CFV97608_1064
ko:K02454	cfx:CFV97608_1067
ko:K02455	cfx:CFV97608_1068
ko:K09117	cfx:CFV97608_1071
ko:K01524	cfx:CFV97608_1072
ko:K00974	cfx:CFV97608_1073
ko:K00052	cfx:CFV97608_1076
ko:K01704	cfx:CFV97608_1077
ko:K01424	cfx:CFV97608_1081
ko:K09760	cfx:CFV97608_1082
ko:K07088	cfx:CFV97608_1083
