ko:K02495	eld:i02_4409
ko:K09954	eld:i02_2742
ko:K01972	eld:i02_2743
ko:K03528	eld:i02_2744
ko:K06203	eld:i02_2745
ko:K01738	eld:i02_2746
ko:K00868	eld:i02_2751
ko:K12339	eld:i02_2753
ko:K02045	eld:i02_2754
ko:K02047	eld:i02_2755
ko:K02046	eld:i02_2756
ko:K02048	eld:i02_2757
ko:K07106	eld:i02_2759
ko:K11191	eld:i02_2760
ko:K11192	eld:i02_2760
ko:K01448	eld:i02_2766
ko:K00228	eld:i02_2767
ko:K04033	eld:i02_2768
ko:K04025	eld:i02_2769
ko:K04026	eld:i02_2770
ko:K03736	eld:i02_2771
ko:K03735	eld:i02_2772
ko:K04019	eld:i02_2773
ko:K04023	eld:i02_2774
ko:K04022	eld:i02_2775
ko:K04024	eld:i02_2776
ko:K04021	eld:i02_2777
ko:K04020	eld:i02_2780
ko:K04032	eld:i02_2781
ko:K04030	eld:i02_2782
ko:K04029	eld:i02_2783
ko:K04031	eld:i02_2784
ko:K00029	eld:i02_2785
ko:K00615	eld:i02_2787
ko:K06861	eld:i02_3645
ko:K03092	eld:i02_3646
ko:K05808	eld:i02_3647
ko:K06958	eld:i02_3649
ko:K03814	eld:i02_3652
ko:K07648	eld:i02_3654
ko:K07139	eld:i02_3655
ko:K00266	eld:i02_3658
ko:K00885	eld:i02_3660
ko:K03290	eld:i02_3662
ko:K03600	eld:i02_3665
ko:K03599	eld:i02_3666
ko:K02996	eld:i02_3668
ko:K02871	eld:i02_3669
ko:K06916	eld:i02_3670
ko:K09908	eld:i02_3671
ko:K04691	eld:i02_3673
ko:K00024	eld:i02_3674
ko:K03402	eld:i02_3675
ko:K03623	eld:i02_3677
ko:K03468	eld:i02_3678
ko:K15548	eld:i02_3679
ko:K11925	eld:i02_0076
ko:K01704	eld:i02_0078
ko:K01703	eld:i02_0079
ko:K00052	eld:i02_0080
ko:K01649	eld:i02_0081
ko:K05798	eld:i02_0083
ko:K01652	eld:i02_0085
ko:K01653	eld:i02_0086
ko:K03435	eld:i02_0088
ko:K03925	eld:i02_0090
ko:K03438	eld:i02_0091
ko:K03586	eld:i02_0092
ko:K03587	eld:i02_0093
ko:K01928	eld:i02_0094
ko:K01929	eld:i02_0095
ko:K01000	eld:i02_0096
ko:K01925	eld:i02_0097
ko:K03588	eld:i02_0098
ko:K02563	eld:i02_0099
ko:K01924	eld:i02_0100
ko:K01921	eld:i02_0101
ko:K03589	eld:i02_0102
ko:K03590	eld:i02_0103
ko:K03531	eld:i02_0104
ko:K02535	eld:i02_0105
ko:K13301	eld:i02_0106
ko:K03070	eld:i02_0107
ko:K09862	eld:i02_0111
ko:K00859	eld:i02_0113
ko:K00364	eld:i02_0114
ko:K02505	eld:i02_0115
ko:K02504	eld:i02_0116
ko:K02682	eld:i02_0117
ko:K00767	eld:i02_0118
ko:K03806	eld:i02_0119
ko:K03807	eld:i02_0120
ko:K11734	eld:i02_0121
ko:K00163	eld:i02_0130
ko:K00627	eld:i02_0131
ko:K00382	eld:i02_0132
ko:K04770	eld:i02_0999
ko:K09911	eld:i02_1000
ko:K03658	eld:i02_1007
ko:K01734	eld:i02_1008
ko:K06929	eld:i02_1010
ko:K11940	eld:i02_1011
ko:K06969	eld:i02_1012
ko:K01512	eld:i02_1013
ko:K03620	eld:i02_1019
ko:K03619	eld:i02_1021
ko:K03618	eld:i02_1022
ko:K00425	eld:i02_1023
ko:K00426	eld:i02_1024
ko:K01093	eld:i02_1025
ko:K03704	eld:i02_1026
ko:K03704	eld:i02_1027
ko:K07647	eld:i02_1031
ko:K11930	eld:i02_1032
ko:K03532	eld:i02_1034
ko:K07811	eld:i02_1035
ko:K03533	eld:i02_1036
ko:K05516	eld:i02_1038
ko:K01085	eld:i02_1039
ko:K03809	eld:i02_1041
ko:K09016	eld:i02_1043
ko:K09024	eld:i02_1044
ko:K09019	eld:i02_1045
ko:K09023	eld:i02_1046
ko:K09021	eld:i02_1047
ko:K09018	eld:i02_1049
ko:K13821	eld:i02_1051
ko:K06074	eld:i02_1927
ko:K00432	eld:i02_1928
ko:K06073	eld:i02_1929
ko:K04764	eld:i02_1931
ko:K01890	eld:i02_1932
ko:K01889	eld:i02_1933
ko:K02887	eld:i02_1934
ko:K02520	eld:i02_1936
ko:K01868	eld:i02_1937
ko:K07038	eld:i02_1948
ko:K06956	eld:i02_1949
ko:K15722	eld:i02_1950
ko:K03781	eld:i02_1951
ko:K03490	eld:i02_1954
ko:K02759	eld:i02_1955
ko:K02761	eld:i02_1956
ko:K02760	eld:i02_1957
ko:K04064	eld:i02_1958
ko:K05984	eld:i02_1960
ko:K09975	eld:i02_1961
ko:K05526	eld:i02_1963
ko:K01484	eld:i02_1964
ko:K06447	eld:i02_1965
ko:K00673	eld:i02_1966
ko:K00840	eld:i02_1967
ko:K01142	eld:i02_1969
ko:K05777	eld:i02_1974
ko:K05778	eld:i02_1975
ko:K05779	eld:i02_1976
ko:K08320	eld:i02_1979
ko:K00262	eld:i02_1981
ko:K04044	eld:i02_2846
ko:K04082	eld:i02_2847
ko:K04487	eld:i02_2851
ko:K13643	eld:i02_2852
ko:K15396	eld:i02_2853
ko:K05820	eld:i02_2857
ko:K15977	eld:i02_2860
ko:K02057	eld:i02_2863
ko:K00600	eld:i02_2868
ko:K05916	eld:i02_2870
ko:K04751	eld:i02_2871
ko:K07715	eld:i02_2872
ko:K07711	eld:i02_2874
ko:K01952	eld:i02_2875
ko:K11991	eld:i02_2877
ko:K00997	eld:i02_2882
ko:K03474	eld:i02_2883
ko:K03584	eld:i02_2884
ko:K03595	eld:i02_2885
ko:K03685	eld:i02_2886
ko:K03100	eld:i02_2887
ko:K03596	eld:i02_2888
ko:K03598	eld:i02_2890
ko:K03597	eld:i02_2891
ko:K03088	eld:i02_2892
ko:K00278	eld:i02_2893
ko:K05590	eld:i02_2895
ko:K11249	eld:i02_2897
ko:K03648	eld:i02_2900
ko:K03214	eld:i02_2901
ko:K02961	eld:i02_3756
ko:K02904	eld:i02_3757
ko:K02878	eld:i02_3758
ko:K02982	eld:i02_3759
ko:K02890	eld:i02_3760
ko:K02965	eld:i02_3761
ko:K02886	eld:i02_3762
ko:K02892	eld:i02_3763
ko:K02926	eld:i02_3764
ko:K02906	eld:i02_3765
ko:K02946	eld:i02_3766
ko:K02451	eld:i02_3767
ko:K02452	eld:i02_3769
ko:K02453	eld:i02_3770
ko:K02455	eld:i02_3772
ko:K02456	eld:i02_3773
ko:K02457	eld:i02_3774
ko:K02458	eld:i02_3775
ko:K02459	eld:i02_3776
ko:K02460	eld:i02_3777
ko:K02461	eld:i02_3778
ko:K02462	eld:i02_3779
ko:K03594	eld:i02_3781
ko:K02192	eld:i02_3782
ko:K02358	eld:i02_3785a
ko:K02355	eld:i02_3786
ko:K02992	eld:i02_3787
ko:K02950	eld:i02_3788
ko:K07237	eld:i02_3789
ko:K07236	eld:i02_3790
ko:K07235	eld:i02_3791
ko:K03745	eld:i02_3794
ko:K03775	eld:i02_3795
ko:K07070	eld:i02_3796
ko:K06158	eld:i02_3799
ko:K00855	eld:i02_3802
ko:K07397	eld:i02_3803
ko:K04095	eld:i02_3808
ko:K03805	eld:i02_0666
ko:K03387	eld:i02_0668
ko:K11932	eld:i02_0669
ko:K06140	eld:i02_0670
ko:K01169	eld:i02_0671
ko:K05964	eld:i02_0674
ko:K01643	eld:i02_0675
ko:K01644	eld:i02_0676
ko:K01910	eld:i02_0677
ko:K07700	eld:i02_0678
ko:K07702	eld:i02_0679
ko:K12973	eld:i02_0681
ko:K03704	eld:i02_0682
ko:K06199	eld:i02_0683
ko:K03425	eld:i02_0685
ko:K03644	eld:i02_0686
ko:K03801	eld:i02_0688
ko:K09158	eld:i02_0689
ko:K03642	eld:i02_0692
ko:K05837	eld:i02_0693
ko:K05515	eld:i02_0694
ko:K00783	eld:i02_0695
ko:K09710	eld:i02_0696
ko:K00969	eld:i02_0699
ko:K02340	eld:i02_0700
ko:K03643	eld:i02_0701
ko:K01869	eld:i02_0702
ko:K10004	eld:i02_0705
ko:K10002	eld:i02_0706
ko:K10003	eld:i02_0707
ko:K10001	eld:i02_0708
ko:K03820	eld:i02_0711
ko:K06189	eld:i02_0712
ko:K07042	eld:i02_0713
ko:K06168	eld:i02_0716
ko:K03184	eld:i02_0717
ko:K04062	eld:i02_1583
ko:K14051	eld:i02_1586
ko:K01147	eld:i02_1587
ko:K00208	eld:i02_1589
ko:K07552	eld:i02_1595
ko:K03974	eld:i02_1602
ko:K03969	eld:i02_1603
ko:K03970	eld:i02_1604
ko:K03971	eld:i02_1606
ko:K14053	eld:i02_1618
ko:K06918	eld:i02_1620
ko:K08990	eld:i02_1621
ko:K03721	eld:i02_1622
ko:K11065	eld:i02_1623
ko:K15580	eld:i02_1629
ko:K14055	eld:i02_1632
ko:K03543	eld:i02_1637
ko:K13694	eld:i02_2512
ko:K13893	eld:i02_2514
ko:K13894	eld:i02_2515
ko:K13895	eld:i02_2516
ko:K13896	eld:i02_2517
ko:K07552	eld:i02_2519
ko:K02897	eld:i02_2522
ko:K06899	eld:i02_2523
ko:K09904	eld:i02_2526
ko:K07014	eld:i02_2527
ko:K07685	eld:i02_2531
ko:K02199	eld:i02_2533
ko:K02198	eld:i02_2534
ko:K02197	eld:i02_2535
ko:K02196	eld:i02_2536
ko:K02195	eld:i02_2537
ko:K02194	eld:i02_2538
ko:K02568	eld:i02_2541
ko:K02573	eld:i02_2543
ko:K02567	eld:i02_2544
ko:K02570	eld:i02_2545
ko:K02572	eld:i02_2546
ko:K08276	eld:i02_2549
ko:K00116	eld:i02_2551
ko:K06159	eld:i02_2552
ko:K03919	eld:i02_2553
ko:K10778	eld:i02_2554
ko:K03734	eld:i02_2555
ko:K09475	eld:i02_2556
ko:K07676	eld:i02_2557
ko:K07687	eld:i02_2558
ko:K07677	eld:i02_2559
ko:K07710	eld:i02_2560
ko:K01034	eld:i02_2562
ko:K02106	eld:i02_2564
ko:K04653	eld:i02_3418
ko:K04651	eld:i02_3419
ko:K01061	eld:i02_3428
ko:K03561	eld:i02_3433
ko:K08325	eld:i02_3437
ko:K00655	eld:i02_3450
ko:K02621	eld:i02_3452
ko:K07471	eld:i02_3454
ko:K03923	eld:i02_3461
ko:K02016	eld:i02_3464
ko:K02015	eld:i02_3465
ko:K02015	eld:i02_3466
ko:K02013	eld:i02_3467
ko:K02622	eld:i02_3470
ko:K07000	eld:i02_3471
ko:K03651	eld:i02_3472
ko:K09920	eld:i02_3473
ko:K02379	eld:i02_4441
ko:K03534	eld:i02_4444
ko:K00848	eld:i02_4447
ko:K02854	eld:i02_4450
ko:K02856	eld:i02_4451
ko:K04564	eld:i02_4453
ko:K02526	eld:i02_4455
ko:K06006	eld:i02_4459
ko:K00850	eld:i02_4461
ko:K02048	eld:i02_4462
ko:K01521	eld:i02_4463
ko:K01803	eld:i02_4464
ko:K14065	eld:i02_4468
ko:K00528	eld:i02_4469
ko:K00864	eld:i02_4471
ko:K02440	eld:i02_4472
ko:K09892	eld:i02_4473
ko:K02553	eld:i02_4474
ko:K02548	eld:i02_4475
ko:K03667	eld:i02_4476
ko:K01419	eld:i02_4477
ko:K03591	eld:i02_4478
ko:K04066	eld:i02_4480
ko:K03764	eld:i02_4483
ko:K12525	eld:i02_4485
ko:K05517	eld:i02_4486
ko:K00297	eld:i02_4491
ko:K03782	eld:i02_4492
ko:K03426	eld:i02_4543
ko:K01599	eld:i02_4544
ko:K05982	eld:i02_4545
ko:K09891	eld:i02_4546
ko:K05787	eld:i02_4547
ko:K07803	eld:i02_4549
ko:K01945	eld:i02_4553
ko:K00602	eld:i02_4554
ko:K03827	eld:i02_4559
ko:K00651	eld:i02_4560
ko:K01638	eld:i02_4561
ko:K01637	eld:i02_4562
ko:K00906	eld:i02_4563
ko:K03324	eld:i02_4568
ko:K05995	eld:i02_4569
ko:K02815	eld:i02_4571
ko:K02814	eld:i02_4572
ko:K02813	eld:i02_4573
ko:K02812	eld:i02_4574
ko:K06182	eld:i02_4577
ko:K00928	eld:i02_4579
ko:K01810	eld:i02_4580
ko:K13256	eld:i02_4586
ko:K02024	eld:i02_4591
ko:K05775	eld:i02_4592
ko:K03181	eld:i02_4594
ko:K03179	eld:i02_4595
ko:K00631	eld:i02_4596
ko:K00901	eld:i02_4598
ko:K01356	eld:i02_4599
ko:K07701	eld:i02_4716
ko:K04567	eld:i02_4723
ko:K03305	eld:i02_4724
ko:K03765	eld:i02_4727
ko:K04084	eld:i02_4729
ko:K03926	eld:i02_4730
ko:K07791	eld:i02_4731
ko:K01744	eld:i02_4732
ko:K07113	eld:i02_4733
ko:K04078	eld:i02_4736
ko:K04077	eld:i02_4737
ko:K02356	eld:i02_4741
ko:K03098	eld:i02_4745
ko:K00246	eld:i02_4748
ko:K04568	eld:i02_4751
ko:K01613	eld:i02_4755
ko:K06949	eld:i02_4756
ko:K13288	eld:i02_4757
ko:K06925	eld:i02_4760
ko:K01448	eld:i02_4761
ko:K03572	eld:i02_4762
ko:K00791	eld:i02_4763
ko:K03666	eld:i02_4764
ko:K03665	eld:i02_4765
ko:K04088	eld:i02_4766
ko:K04087	eld:i02_4767
ko:K00849	eld:i02_0800
ko:K00965	eld:i02_0801
ko:K05776	eld:i02_0803
ko:K02019	eld:i02_0804
ko:K02020	eld:i02_0807
ko:K02018	eld:i02_0808
ko:K03319	eld:i02_0814
ko:K01681	eld:i02_0815
ko:K01051	eld:i02_0816
ko:K00833	eld:i02_0820
ko:K01012	eld:i02_0821
ko:K02169	eld:i02_0823
ko:K01935	eld:i02_0824
ko:K03702	eld:i02_0826
ko:K11738	eld:i02_1703
ko:K11208	eld:i02_1705
ko:K00675	eld:i02_1721
ko:K02575	eld:i02_1727
ko:K08349	eld:i02_1730
ko:K02972	eld:i02_1736
ko:K13243	eld:i02_1740
ko:K02471	eld:i02_1747
ko:K06871	eld:i02_1748
ko:K07347	eld:i02_1756
ko:K00334	eld:i02_2624
ko:K13378	eld:i02_2625
ko:K00331	eld:i02_2626
ko:K00330	eld:i02_2627
ko:K14260	eld:i02_2630
ko:K09161	eld:i02_2634
ko:K09899	eld:i02_2635
ko:K00925	eld:i02_2637
ko:K13788	eld:i02_2638
ko:K07095	eld:i02_2641
ko:K07589	eld:i02_2644
ko:K07071	eld:i02_2645
ko:K10017	eld:i02_2646
ko:K10015	eld:i02_2647
ko:K10016	eld:i02_2648
ko:K03186	eld:i02_2652
ko:K00764	eld:i02_2653
ko:K03558	eld:i02_2654
ko:K03749	eld:i02_2656
ko:K11754	eld:i02_2657
ko:K01963	eld:i02_2658
ko:K03975	eld:i02_2659
ko:K06173	eld:i02_2660
ko:K03473	eld:i02_2663
ko:K15461	eld:i02_2667
ko:K09906	eld:i02_2669
ko:K07090	eld:i02_2670
ko:K07261	eld:i02_2671
ko:K01736	eld:i02_2672
ko:K07320	eld:i02_2673
ko:K07043	eld:i02_3534
ko:K07862	eld:i02_3538
ko:K01685	eld:i02_3540
ko:K01812	eld:i02_3541
ko:K08191	eld:i02_3542
ko:K15977	eld:i02_3550
ko:K06911	eld:i02_3554
ko:K01752	eld:i02_3558
ko:K00656	eld:i02_3560
ko:K03838	eld:i02_3562
ko:K01754	eld:i02_3563
ko:K07592	eld:i02_3564
ko:K07591	eld:i02_3565
ko:K00865	eld:i02_3568
ko:K12299	eld:i02_3571
ko:K02746	eld:i02_3579
ko:K02747	eld:i02_3580
ko:K02079	eld:i02_3582
ko:K02082	eld:i02_3583
ko:K10984	eld:i02_3585
ko:K10985	eld:i02_3586
ko:K10986	eld:i02_3587
ko:K02080	eld:i02_3588
ko:K07056	eld:i02_3589
ko:K02057	eld:i02_4831
ko:K03841	eld:i02_4832
ko:K02558	eld:i02_4834
ko:K09889	eld:i02_4835
ko:K03592	eld:i02_4836
ko:K15536	eld:i02_4838
ko:K02818	eld:i02_4843
ko:K02819	eld:i02_4843
ko:K03485	eld:i02_4844
ko:K01531	eld:i02_4845
ko:K00610	eld:i02_4848
ko:K00609	eld:i02_4849
ko:K00611	eld:i02_4853
ko:K00926	eld:i02_4854
ko:K00611	eld:i02_4858
ko:K09893	eld:i02_4859
ko:K03828	eld:i02_4860
ko:K01873	eld:i02_4862
ko:K02339	eld:i02_4863
ko:K01255	eld:i02_4864
ko:K07091	eld:i02_4865
ko:K11720	eld:i02_4866
ko:K06915	eld:i02_4867
ko:K06146	eld:i02_4868
ko:K06157	eld:i02_4869
ko:K00098	eld:i02_4871
ko:K12957	eld:i02_4873
ko:K07454	eld:i02_4874
ko:K01338	eld:i02_4879
ko:K06946	eld:i02_4885
ko:K03568	eld:i02_3682
ko:K08301	eld:i02_3684
ko:K06287	eld:i02_3685
ko:K03571	eld:i02_3686
ko:K03570	eld:i02_3687
ko:K03569	eld:i02_3688
ko:K02160	eld:i02_3693
ko:K01961	eld:i02_3694
ko:K10441	eld:i02_3698
ko:K09937	eld:i02_4768
ko:K01939	eld:i02_4769
ko:K13771	eld:i02_4770
ko:K01153	eld:i02_4942
ko:K02317	eld:i02_4957
ko:K13255	eld:i02_4962
ko:K02344	eld:i02_4967
ko:K03789	eld:i02_4968
ko:K08723	eld:i02_4969
ko:K02837	eld:i02_4970
ko:K03424	eld:i02_4974
ko:K01839	eld:i02_4980
ko:K03800	eld:i02_4983
ko:K01079	eld:i02_4985
ko:K04485	eld:i02_4986
ko:K06211	eld:i02_4987
ko:K08309	eld:i02_4992
ko:K03720	eld:i02_4993
ko:K05804	eld:i02_4996
ko:K05805	eld:i02_4997
ko:K09022	eld:i02_3559
ko:K03311	eld:i02_0493
ko:K11736	eld:i02_0494
ko:K08682	eld:i02_0496
ko:K07568	eld:i02_0497
ko:K00773	eld:i02_0498
ko:K03210	eld:i02_0499
ko:K03072	eld:i02_0500
ko:K03074	eld:i02_0501
ko:K05517	eld:i02_0503
ko:K07738	eld:i02_0505
ko:K11752	eld:i02_0506
ko:K00794	eld:i02_0507
ko:K03625	eld:i02_0508
ko:K00946	eld:i02_0509
ko:K01095	eld:i02_0510
ko:K01662	eld:i02_0512
ko:K00795	eld:i02_0513
ko:K03602	eld:i02_0514
ko:K03151	eld:i02_0515
ko:K03152	eld:i02_0516
ko:K00077	eld:i02_0517
ko:K09767	eld:i02_0518
ko:K02300	eld:i02_0521
ko:K02299	eld:i02_0522
ko:K02298	eld:i02_0523
ko:K02297	eld:i02_0524
ko:K08218	eld:i02_0525
ko:K07286	eld:i02_0526
ko:K05527	eld:i02_0528
ko:K03545	eld:i02_0530
ko:K01358	eld:i02_0531
ko:K03544	eld:i02_0532
ko:K01338	eld:i02_0533
ko:K03530	eld:i02_0534
ko:K03770	eld:i02_0535
ko:K02237	eld:i02_0536
ko:K12500	eld:i02_0537
ko:K06920	eld:i02_0538
ko:K11938	eld:i02_0540
ko:K05800	eld:i02_0541
ko:K04752	eld:i02_0544
ko:K03320	eld:i02_0546
ko:K10805	eld:i02_0547
ko:K09914	eld:i02_0549
ko:K11606	eld:i02_1427
ko:K11605	eld:i02_1428
ko:K03608	eld:i02_1452
ko:K03609	eld:i02_1453
ko:K03610	eld:i02_1454
ko:K09902	eld:i02_1458
ko:K09160	eld:i02_1460
ko:K03611	eld:i02_1464
ko:K03314	eld:i02_1465
ko:K03603	eld:i02_1466
ko:K09802	eld:i02_2336
ko:K07470	eld:i02_2338
ko:K01141	eld:i02_2340
ko:K00765	eld:i02_2346
ko:K00013	eld:i02_2347
ko:K00817	eld:i02_2348
ko:K01089	eld:i02_2349
ko:K02501	eld:i02_2350
ko:K01814	eld:i02_2351
ko:K02500	eld:i02_2352
ko:K11755	eld:i02_2353
ko:K05789	eld:i02_2354
ko:K00012	eld:i02_2355
ko:K00963	eld:i02_2366
ko:K03208	eld:i02_2375
ko:K03207	eld:i02_2376
ko:K02377	eld:i02_2377
ko:K01711	eld:i02_2378
ko:K03818	eld:i02_2379
ko:K13683	eld:i02_2380
ko:K13620	eld:i02_2381
ko:K13684	eld:i02_2382
ko:K03819	eld:i02_2383
ko:K01991	eld:i02_2387
ko:K00615	eld:i02_3239
ko:K07387	eld:i02_3240
ko:K00789	eld:i02_3246
ko:K08137	eld:i02_3247
ko:K02742	eld:i02_3248
ko:K01150	eld:i02_3249
ko:K09761	eld:i02_3250
ko:K01920	eld:i02_3251
ko:K07735	eld:i02_3252
ko:K07447	eld:i02_3253
ko:K02669	eld:i02_3254
ko:K06997	eld:i02_3255
ko:K02221	eld:i02_3256
ko:K09131	eld:i02_3257
ko:K09923	eld:i02_3264
ko:K03439	eld:i02_3265
ko:K03575	eld:i02_3266
ko:K08306	eld:i02_3268
ko:K01581	eld:i02_3270
ko:K07150	eld:i02_3272
ko:K06946	eld:i02_4159
ko:K02073	eld:i02_4175
ko:K06901	eld:i02_4180
ko:K01486	eld:i02_4181
ko:K07783	eld:i02_4183
ko:K01653	eld:i02_4187
ko:K01652	eld:i02_4188
ko:K06871	eld:i02_4191
ko:K07085	eld:i02_4197
ko:K04081	eld:i02_4199
ko:K08996	eld:i02_0379
ko:K06940	eld:i02_0380
ko:K02919	eld:i02_0388
ko:K02909	eld:i02_0389
ko:K13735	eld:i02_0397
ko:K00782	eld:i02_0407
ko:K07357	eld:i02_0414
ko:K02167	eld:i02_0418
ko:K02168	eld:i02_0419
ko:K00926	eld:i02_0428
ko:K07733	eld:i02_2232
ko:K09933	eld:i02_2234
ko:K05373	eld:i02_2237
ko:K04786	eld:i02_2242
ko:K04785	eld:i02_2244
ko:K05374	eld:i02_2245
ko:K15721	eld:i02_2247
