ko:K19744	paem:U769_05545
ko:K09916	paem:U769_09495
ko:K01256	paem:U769_09505
ko:K07114	paem:U769_09555
ko:K07114	paem:U769_09560
ko:K03924	paem:U769_09575
ko:K15371	paem:U769_09585
ko:K03749	paem:U769_09350
ko:K03723	paem:U769_09920
ko:K00134	paem:U769_09925
ko:K11734	paem:U769_09930
ko:K00346	paem:U769_09935
ko:K00347	paem:U769_09940
ko:K00348	paem:U769_09945
ko:K00349	paem:U769_09950
ko:K00350	paem:U769_09955
ko:K00351	paem:U769_09960
ko:K03734	paem:U769_09965
ko:K05952	paem:U769_09970
ko:K00322	paem:U769_09975
ko:K01126	paem:U769_09980
ko:K09808	paem:U769_09995
ko:K09810	paem:U769_10000
ko:K09808	paem:U769_10005
ko:K09928	paem:U769_10010
ko:K02238	paem:U769_10015
ko:K03561	paem:U769_10020
ko:K03559	paem:U769_10025
ko:K00912	paem:U769_10030
ko:K09791	paem:U769_10035
ko:K00979	paem:U769_10040
ko:K01104	paem:U769_10045
ko:K00075	paem:U769_10050
ko:K08300	paem:U769_10055
ko:K06179	paem:U769_10060
ko:K01091	paem:U769_10065
ko:K04773	paem:U769_10070
ko:K07040	paem:U769_10080
ko:K02911	paem:U769_10085
ko:K03621	paem:U769_10090
ko:K00645	paem:U769_10095
ko:K00059	paem:U769_10100
ko:K02078	paem:U769_10105
ko:K09458	paem:U769_10110
ko:K02619	paem:U769_10115
ko:K07082	paem:U769_10120
ko:K00943	paem:U769_10125
ko:K02341	paem:U769_10130
ko:K02676	paem:U769_10135
ko:K03424	paem:U769_10140
ko:K09986	paem:U769_10165
ko:K00311	paem:U769_10170
ko:K03521	paem:U769_10175
ko:K03522	paem:U769_10180
ko:K03088	paem:U769_10470
ko:K13776	paem:U769_10485
ko:K13777	paem:U769_10495
ko:K13779	paem:U769_10500
ko:K11731	paem:U769_10505
ko:K13778	paem:U769_10510
ko:K13774	paem:U769_10515
ko:K07052	paem:U769_10530
ko:K01591	paem:U769_10570
ko:K03924	paem:U769_10575
ko:K03424	paem:U769_10620
ko:K15977	paem:U769_10630
ko:K01975	paem:U769_10645
ko:K04760	paem:U769_10655
ko:K02004	paem:U769_10660
ko:K02003	paem:U769_10665
ko:K10804	paem:U769_10670
ko:K02356	paem:U769_10700
ko:K07090	paem:U769_10720
ko:K09927	paem:U769_10735
ko:K00616	paem:U769_11030
ko:K05539	paem:U769_11035
ko:K01295	paem:U769_11075
ko:K07727	paem:U769_11085
ko:K09471	paem:U769_11135
ko:K03574	paem:U769_11185
ko:K07223	paem:U769_11210
ko:K06995	paem:U769_11235
ko:K08276	paem:U769_11272
ko:K07058	paem:U769_11305
ko:K01754	paem:U769_19120
ko:K16090	paem:U769_19140
ko:K02300	paem:U769_19150
ko:K02299	paem:U769_19155
ko:K02298	paem:U769_19160
ko:K02297	paem:U769_19165
ko:K05306	paem:U769_19195
ko:K03430	paem:U769_19200
ko:K01354	paem:U769_19230
ko:K03100	paem:U769_19235
ko:K16087	paem:U769_19240
ko:K03088	paem:U769_19250
ko:K09160	paem:U769_19255
ko:K09902	paem:U769_19277
ko:K03684	paem:U769_19280
ko:K01011	paem:U769_19290
ko:K06076	paem:U769_19310
ko:K00432	paem:U769_19315
ko:K08167	paem:U769_19345
ko:K02233	paem:U769_19350
ko:K02226	paem:U769_19355
ko:K00768	paem:U769_19360
ko:K02231	paem:U769_19365
ko:K02232	paem:U769_19370
ko:K02225	paem:U769_19375
ko:K02227	paem:U769_19380
ko:K04719	paem:U769_19385
ko:K02224	paem:U769_19390
ko:K16092	paem:U769_19400
ko:K12658	paem:U769_19415
ko:K02030	paem:U769_19455
ko:K02029	paem:U769_19465
ko:K02029	paem:U769_19470
ko:K02028	paem:U769_19475
ko:K03406	paem:U769_19500
ko:K12537	paem:U769_19520
ko:K12536	paem:U769_19525
ko:K03543	paem:U769_19575
ko:K00355	paem:U769_19635
ko:K10536	paem:U769_19640
ko:K12251	paem:U769_19650
ko:K10536	paem:U769_19655
ko:K08304	paem:U769_19670
ko:K01649	paem:U769_19695
ko:K06911	paem:U769_19730
ko:K06911	paem:U769_19755
ko:K07397	paem:U769_19765
ko:K12410	paem:U769_19795
ko:K14058	paem:U769_19810
ko:K02742	paem:U769_19825
ko:K03566	paem:U769_19850
ko:K11103	paem:U769_19855
ko:K07637	paem:U769_19870
ko:K07660	paem:U769_19875
ko:K02571	paem:U769_19885
ko:K02572	paem:U769_19890
ko:K02570	paem:U769_19895
ko:K02567	paem:U769_19897
ko:K02568	paem:U769_19905
ko:K02569	paem:U769_19910
ko:K02362	paem:U769_19945
ko:K06991	paem:U769_22070
ko:K01560	paem:U769_22105
ko:K03322	paem:U769_22110
ko:K00600	paem:U769_25205
ko:K06200	paem:U769_25225
ko:K04485	paem:U769_25240
ko:K09794	paem:U769_25250
ko:K03781	paem:U769_25260
ko:K03282	paem:U769_25265
ko:K00528	paem:U769_25270
ko:K07141	paem:U769_25285
ko:K07402	paem:U769_25290
ko:K00018	paem:U769_25330
ko:K00564	paem:U769_25335
ko:K11733	paem:U769_25340
ko:K03406	paem:U769_25365
ko:K07507	paem:U769_25375
ko:K07286	paem:U769_25405
ko:K00116	paem:U769_25410
ko:K04750	paem:U769_25415
ko:K00760	paem:U769_25435
ko:K00761	paem:U769_25440
ko:K02824	paem:U769_25445
ko:K07346	paem:U769_25465
ko:K07347	paem:U769_25470
ko:K01772	paem:U769_25485
ko:K07071	paem:U769_25490
ko:K06955	paem:U769_25495
ko:K01669	paem:U769_25510
ko:K01776	paem:U769_25520
ko:K02493	paem:U769_25530
ko:K02835	paem:U769_25535
ko:K02492	paem:U769_25540
ko:K02494	paem:U769_25550
ko:K00919	paem:U769_25555
ko:K00948	paem:U769_25565
ko:K02897	paem:U769_25570
ko:K01056	paem:U769_25575
ko:K06942	paem:U769_25580
ko:K02014	paem:U769_25665
ko:K01673	paem:U769_25670
ko:K03789	paem:U769_25680
ko:K02012	paem:U769_25725
ko:K02011	paem:U769_25730
ko:K03808	paem:U769_25740
ko:K03808	paem:U769_25745
ko:K17247	paem:U769_25775
ko:K17103	paem:U769_25785
ko:K00053	paem:U769_25790
ko:K01653	paem:U769_25795
ko:K01652	paem:U769_25800
ko:K05365	paem:U769_25820
ko:K07028	paem:U769_25825
ko:K02013	paem:U769_25850
ko:K02015	paem:U769_25855
ko:K02016	paem:U769_25860
ko:K07225	paem:U769_25865
ko:K16087	paem:U769_25870
ko:K14261	paem:U769_25895
ko:K07054	paem:U769_25905
ko:K06901	paem:U769_25920
ko:K06206	paem:U769_25930
ko:K06204	paem:U769_25940
ko:K01894	paem:U769_25945
ko:K00970	paem:U769_25965
ko:K00950	paem:U769_25970
ko:K00606	paem:U769_25975
ko:K01918	paem:U769_25980
ko:K01579	paem:U769_25985
ko:K01810	paem:U769_25990
ko:K01895	paem:U769_25995
ko:K00962	paem:U769_26030
ko:K02956	paem:U769_26035
ko:K03833	paem:U769_26385
ko:K01042	paem:U769_26390
ko:K02380	paem:U769_26395
ko:K00127	paem:U769_26400
ko:K00124	paem:U769_26405
ko:K00123	paem:U769_26410
ko:K00123	paem:U769_26415
ko:K00219	paem:U769_26425
ko:K09936	paem:U769_26430
ko:K06940	paem:U769_26440
ko:K03327	paem:U769_26460
ko:K03324	paem:U769_26470
ko:K01531	paem:U769_26485
ko:K00675	paem:U769_26495
ko:K08983	paem:U769_26500
ko:K00382	paem:U769_26505
ko:K07124	paem:U769_26520
ko:K11068	paem:U769_26525
ko:K02014	paem:U769_26545
ko:K01585	paem:U769_26555
ko:K03113	paem:U769_26560
ko:K04084	paem:U769_26585
ko:K03786	paem:U769_26590
ko:K02160	paem:U769_26595
ko:K01011	paem:U769_27155
ko:K01613	paem:U769_27160
ko:K01079	paem:U769_27175
ko:K07038	paem:U769_27185
ko:K09857	paem:U769_27190
ko:K02621	paem:U769_27195
ko:K06985	paem:U769_27200
ko:K02622	paem:U769_27210
ko:K07000	paem:U769_27215
ko:K03651	paem:U769_27220
ko:K09920	paem:U769_27225
ko:K01515	paem:U769_27230
ko:K03147	paem:U769_27240
ko:K12340	paem:U769_27245
ko:K00355	paem:U769_27250
ko:K12252	paem:U769_27255
ko:K15866	paem:U769_27275
ko:K02205	paem:U769_27280
ko:K02055	paem:U769_27300
ko:K02527	paem:U769_27315
ko:K03272	paem:U769_27355
ko:K11085	paem:U769_27360
ko:K00612	paem:U769_27400
ko:K02848	paem:U769_27420
ko:K02844	paem:U769_27425
ko:K02841	paem:U769_27430
ko:K02843	paem:U769_27435
ko:K00826	paem:U769_27440
ko:K00982	paem:U769_27445
ko:K00163	paem:U769_27450
ko:K00627	paem:U769_27455
ko:K07304	paem:U769_27465
ko:K07115	paem:U769_27470
ko:K11105	paem:U769_27480
ko:K05802	paem:U769_27485
ko:K07090	paem:U769_27495
ko:K01740	paem:U769_27500
ko:K08224	paem:U769_27525
ko:K01599	paem:U769_27545
ko:K00266	paem:U769_27550
ko:K00265	paem:U769_27555
ko:K03112	paem:U769_27560
ko:K01735	paem:U769_27565
ko:K00891	paem:U769_27570
ko:K02666	paem:U769_27575
ko:K02665	paem:U769_27580
ko:K02662	paem:U769_27595
ko:K05366	paem:U769_27600
ko:K00029	paem:U769_27605
ko:K02909	paem:U769_27620
ko:K04066	paem:U769_27625
ko:K01887	paem:U769_27630
ko:K01419	paem:U769_27640
ko:K03667	paem:U769_27645
ko:K03821	paem:U769_27655
ko:K03821	paem:U769_27665
ko:K03183	paem:U769_27690
ko:K03690	paem:U769_27695
ko:K03688	paem:U769_27700
ko:K01496	paem:U769_27705
ko:K01523	paem:U769_27710
ko:K03116	paem:U769_27715
ko:K03117	paem:U769_27720
ko:K03118	paem:U769_27725
ko:K03406	paem:U769_27735
ko:K02028	paem:U769_27745
ko:K02029	paem:U769_27750
ko:K02030	paem:U769_27755
ko:K03669	paem:U769_27760
ko:K03670	paem:U769_27765
ko:K07560	paem:U769_27770
ko:K01259	paem:U769_27775
ko:K10001	paem:U769_27785
ko:K00285	paem:U769_27795
ko:K07126	paem:U769_27803
ko:K01479	paem:U769_27815
ko:K01468	paem:U769_27820
ko:K01745	paem:U769_27825
ko:K02000	paem:U769_27830
ko:K02001	paem:U769_27835
ko:K02002	paem:U769_27840
ko:K01745	paem:U769_27850
ko:K03457	paem:U769_27855
ko:K01712	paem:U769_27860
ko:K02002	paem:U769_27875
ko:K09975	paem:U769_27880
ko:K05836	paem:U769_27885
ko:K05603	paem:U769_27890
ko:K03098	paem:U769_27895
ko:K03841	paem:U769_27910
ko:K01759	paem:U769_27915
ko:K12686	paem:U769_27920
ko:K06207	paem:U769_27945
ko:K03151	paem:U769_27950
ko:K01915	paem:U769_27955
ko:K07708	paem:U769_27980
ko:K07712	paem:U769_27985
ko:K03216	paem:U769_27995
ko:K03071	paem:U769_28000
ko:K15633	paem:U769_28015
ko:K07052	paem:U769_28020
ko:K03797	paem:U769_28030
ko:K09798	paem:U769_28035
ko:K02030	paem:U769_28055
ko:K02500	paem:U769_28060
ko:K01814	paem:U769_28065
ko:K02501	paem:U769_28075
ko:K01693	paem:U769_28080
ko:K07289	paem:U769_28100
ko:K03575	paem:U769_28105
ko:K02028	paem:U769_28135
ko:K02030	paem:U769_28140
ko:K02029	paem:U769_28145
ko:K02029	paem:U769_28150
ko:K03543	paem:U769_28170
ko:K03446	paem:U769_28175
ko:K07341	paem:U769_28415
ko:K00067	paem:U769_28450
ko:K00973	paem:U769_28455
ko:K01790	paem:U769_28460
ko:K10125	paem:U769_28465
ko:K10126	paem:U769_28470
ko:K11688	paem:U769_28475
ko:K11689	paem:U769_28480
ko:K03758	paem:U769_28490
ko:K01478	paem:U769_28495
ko:K00611	paem:U769_28500
ko:K00926	paem:U769_28505
ko:K01082	paem:U769_28515
ko:K08312	paem:U769_28520
ko:K02379	paem:U769_28540
ko:K04093	paem:U769_28562
ko:K07107	paem:U769_28570
ko:K01610	paem:U769_28605
ko:K04083	paem:U769_28610
ko:K04762	paem:U769_28620
ko:K05844	paem:U769_28630
ko:K01297	paem:U769_28635
ko:K07638	paem:U769_28640
ko:K07659	paem:U769_28645
ko:K06959	paem:U769_28650
ko:K01919	paem:U769_28660
ko:K14682	paem:U769_28665
ko:K05595	paem:U769_28670
ko:K01438	paem:U769_28675
ko:K03306	paem:U769_28680
ko:K07220	paem:U769_28685
ko:K02454	paem:U769_28695
ko:K07340	paem:U769_28700
ko:K00281	paem:U769_28710
ko:K02437	paem:U769_28715
ko:K00605	paem:U769_28720
ko:K02011	paem:U769_28725
ko:K02012	paem:U769_28730
ko:K03185	paem:U769_28760
ko:K01262	paem:U769_28765
ko:K09895	paem:U769_28770
ko:K09888	paem:U769_28780
ko:K01934	paem:U769_28785
ko:K13926	paem:U769_28805
ko:K01993	paem:U769_28810
ko:K02415	paem:U769_28815
ko:K02445	paem:U769_28825
ko:K03182	paem:U769_28835
ko:K03628	paem:U769_28845
ko:K03671	paem:U769_28850
ko:K01524	paem:U769_28855
ko:K00937	paem:U769_28860
ko:K01698	paem:U769_28865
ko:K09768	paem:U769_28885
ko:K07243	paem:U769_28890
ko:K05834	paem:U769_28895
ko:K06158	paem:U769_28910
ko:K03773	paem:U769_28925
ko:K07740	paem:U769_28930
ko:K03611	paem:U769_28935
ko:K02498	paem:U769_28940
ko:K02496	paem:U769_28945
ko:K01719	paem:U769_28950
ko:K01749	paem:U769_28955
ko:K08083	paem:U769_28960
ko:K08082	paem:U769_28965
ko:K01755	paem:U769_28970
ko:K11903	paem:U769_28990
ko:K03284	paem:U769_28995
ko:K02030	paem:U769_29005
ko:K05851	paem:U769_29015
ko:K06140	paem:U769_29025
ko:K06202	paem:U769_29035
ko:K01586	paem:U769_29045
ko:K01778	paem:U769_29050
ko:K09921	paem:U769_29055
ko:K03733	paem:U769_29060
ko:K03320	paem:U769_29095
ko:K04752	paem:U769_29100
ko:K09806	paem:U769_29105
ko:K07391	paem:U769_29110
ko:K02168	paem:U769_29115
ko:K03327	paem:U769_29130
ko:K03656	paem:U769_29140
ko:K00156	paem:U769_29145
ko:K03816	paem:U769_29150
ko:K01775	paem:U769_29170
ko:K00285	paem:U769_29180
ko:K09978	paem:U769_29185
ko:K12254	paem:U769_29220
ko:K00822	paem:U769_29225
ko:K06995	paem:U769_29230
ko:K02913	paem:U769_29235
ko:K02902	paem:U769_29240
ko:K02035	paem:U769_29245
ko:K03630	paem:U769_29250
ko:K13038	paem:U769_29255
ko:K15778	paem:U769_29265
ko:K00930	paem:U769_29270
ko:K07107	paem:U769_29300
ko:K00762	paem:U769_29310
ko:K01142	paem:U769_29315
ko:K09940	paem:U769_29320
ko:K00989	paem:U769_29325
ko:K00942	paem:U769_29335
ko:K03060	paem:U769_29340
ko:K04761	paem:U769_29375
ko:K03655	paem:U769_29380
ko:K05787	paem:U769_29395
ko:K05297	paem:U769_29400
ko:K11477	paem:U769_29415
ko:K11473	paem:U769_29420
ko:K11472	paem:U769_29425
ko:K11474	paem:U769_29435
ko:K03181	paem:U769_29440
ko:K03179	paem:U769_29445
ko:K07657	paem:U769_29455
ko:K07636	paem:U769_29460
ko:K02039	paem:U769_29480
ko:K02036	paem:U769_29485
ko:K02038	paem:U769_29490
ko:K02037	paem:U769_29495
ko:K02040	paem:U769_29500
ko:K10806	paem:U769_29535
ko:K02167	paem:U769_29550
ko:K02168	paem:U769_29555
ko:K02000	paem:U769_29560
ko:K02001	paem:U769_29565
ko:K02002	paem:U769_29570
ko:K01752	paem:U769_29575
ko:K07107	paem:U769_29605
ko:K17735	paem:U769_29610
ko:K02002	paem:U769_29620
ko:K17736	paem:U769_29625
ko:K01438	paem:U769_29630
ko:K06131	paem:U769_29650
ko:K09958	paem:U769_29655
ko:K01273	paem:U769_29660
ko:K03522	paem:U769_29680
ko:K03521	paem:U769_29685
ko:K07727	paem:U769_29695
ko:K00479	paem:U769_29735
ko:K01620	paem:U769_29750
ko:K00600	paem:U769_29760
ko:K00303	paem:U769_29765
ko:K00305	paem:U769_29780
ko:K01433	paem:U769_29785
ko:K01792	paem:U769_29795
ko:K09950	paem:U769_29800
ko:K01589	paem:U769_29810
ko:K01588	paem:U769_29815
ko:K13953	paem:U769_29820
ko:K01744	paem:U769_29830
ko:K07112	paem:U769_29835
ko:K00375	paem:U769_29840
ko:K03835	paem:U769_29855
ko:K01960	paem:U769_29860
ko:K01959	paem:U769_29865
ko:K00036	paem:U769_29885
ko:K08303	paem:U769_29890
ko:K03657	paem:U769_29910
ko:K08978	paem:U769_29915
ko:K12995	paem:U769_29930
ko:K01711	paem:U769_29960
ko:K07088	paem:U769_30025
ko:K03300	paem:U769_30035
ko:K02839	paem:U769_30045
ko:K03324	paem:U769_30060
ko:K11102	paem:U769_30095
ko:K11384	paem:U769_30110
ko:K11066	paem:U769_30120
ko:K13590	paem:U769_30130
ko:K03673	paem:U769_30140
ko:K03978	paem:U769_30155
ko:K02204	paem:U769_30170
ko:K09815	paem:U769_30185
ko:K09823	paem:U769_30190
ko:K09817	paem:U769_30195
ko:K09816	paem:U769_30200
ko:K02071	paem:U769_30210
ko:K02072	paem:U769_30215
ko:K02073	paem:U769_30220
ko:K01915	paem:U769_30235
ko:K10126	paem:U769_30250
ko:K10125	paem:U769_30255
ko:K00868	paem:U769_30275
ko:K03455	paem:U769_30285
ko:K01915	paem:U769_30305
ko:K01845	paem:U769_30310
ko:K00059	paem:U769_30315
ko:K03455	paem:U769_30340
ko:K03832	paem:U769_30350
ko:K06204	paem:U769_30375
ko:K01448	paem:U769_30385
ko:K09007	paem:U769_30390
ko:K01465	paem:U769_30400
ko:K07080	paem:U769_30420
ko:K00574	paem:U769_30425
ko:K00820	paem:U769_30440
ko:K04042	paem:U769_30455
ko:K02114	paem:U769_30460
ko:K02112	paem:U769_30465
ko:K02115	paem:U769_30470
ko:K02111	paem:U769_30475
ko:K01961	paem:U769_26600
ko:K02687	paem:U769_26610
ko:K05540	paem:U769_26620
ko:K03557	paem:U769_26625
ko:K00602	paem:U769_26630
ko:K01945	paem:U769_26635
ko:K05595	paem:U769_26645
ko:K11959	paem:U769_26650
ko:K11960	paem:U769_26655
ko:K11961	paem:U769_26660
ko:K11962	paem:U769_26665
ko:K11963	paem:U769_26670
ko:K03190	paem:U769_26680
ko:K01430	paem:U769_26685
ko:K03823	paem:U769_26690
ko:K01429	paem:U769_26695
ko:K01428	paem:U769_26700
ko:K04046	paem:U769_26730
ko:K04064	paem:U769_26745
ko:K07290	paem:U769_26760
ko:K03594	paem:U769_26765
ko:K07665	paem:U769_26790
ko:K07644	paem:U769_26795
ko:K00508	paem:U769_26805
ko:K03187	paem:U769_26820
ko:K03188	paem:U769_26825
ko:K03189	paem:U769_26830
ko:K03192	paem:U769_26835
ko:K03088	paem:U769_26845
ko:K16087	paem:U769_26850
ko:K00128	paem:U769_26860
ko:K05548	paem:U769_26865
ko:K01576	paem:U769_26870
ko:K11475	paem:U769_26895
ko:K01996	paem:U769_26910
ko:K01995	paem:U769_26915
ko:K01998	paem:U769_26920
ko:K01997	paem:U769_26925
ko:K01999	paem:U769_26930
ko:K03406	paem:U769_26940
ko:K08281	paem:U769_26955
ko:K00763	paem:U769_26960
ko:K01916	paem:U769_26965
ko:K06966	paem:U769_26980
ko:K12943	paem:U769_26985
ko:K03442	paem:U769_26990
ko:K01775	paem:U769_27015
ko:K02939	paem:U769_27025
ko:K03457	paem:U769_02440
ko:K01055	paem:U769_02460
ko:K01638	paem:U769_02470
ko:K05786	paem:U769_02485
ko:K02019	paem:U769_02495
ko:K05811	paem:U769_02500
ko:K07160	paem:U769_02520
ko:K01961	paem:U769_02530
ko:K01012	paem:U769_02550
ko:K00652	paem:U769_02555
ko:K02170	paem:U769_02560
ko:K02169	paem:U769_02565
ko:K01935	paem:U769_02570
ko:K02303	paem:U769_02600
ko:K08738	paem:U769_02640
ko:K15864	paem:U769_02645
ko:K04748	paem:U769_02650
ko:K02164	paem:U769_02655
ko:K02305	paem:U769_02665
ko:K04561	paem:U769_02670
ko:K02448	paem:U769_02675
ko:K07180	paem:U769_03010
ko:K02439	paem:U769_03015
ko:K01525	paem:U769_03020
ko:K06195	paem:U769_03025
ko:K02528	paem:U769_03030
ko:K00097	paem:U769_03035
ko:K03771	paem:U769_03040
ko:K04744	paem:U769_03045
ko:K07102	paem:U769_03050
ko:K05801	paem:U769_03060
ko:K02055	paem:U769_03080
ko:K02052	paem:U769_03085
ko:K02055	paem:U769_03090
ko:K02054	paem:U769_03095
ko:K02053	paem:U769_03100
ko:K01783	paem:U769_03105
ko:K01091	paem:U769_03110
ko:K01657	paem:U769_03115
ko:K09786	paem:U769_03005
ko:K02963	paem:U769_27035
ko:K02990	paem:U769_27040
ko:K03218	paem:U769_27045
ko:K12573	paem:U769_27050
ko:K01939	paem:U769_27065
ko:K02502	paem:U769_27070
ko:K09937	paem:U769_27075
ko:K04087	paem:U769_27080
ko:K04088	paem:U769_27085
ko:K03665	paem:U769_27090
ko:K03666	paem:U769_27095
ko:K00791	paem:U769_27100
ko:K03572	paem:U769_27105
ko:K01448	paem:U769_27110
ko:K06925	paem:U769_27115
ko:K17758	paem:U769_27120
ko:K17759	paem:U769_27120
ko:K13288	paem:U769_27130
ko:K06949	paem:U769_27135
ko:K02557	paem:U769_27140
ko:K02556	paem:U769_27145
ko:K03177	paem:U769_26040
ko:K02834	paem:U769_26045
ko:K02519	paem:U769_26050
ko:K02600	paem:U769_26055
ko:K09748	paem:U769_26060
ko:K03075	paem:U769_26075
ko:K01803	paem:U769_26080
ko:K03431	paem:U769_26085
ko:K00796	paem:U769_26090
ko:K03798	paem:U769_26095
ko:K02427	paem:U769_26100
ko:K07574	paem:U769_26105
ko:K03624	paem:U769_26115
ko:K01955	paem:U769_26120
ko:K11250	paem:U769_26125
ko:K01956	paem:U769_26130
ko:K00215	paem:U769_26135
ko:K03686	paem:U769_26140
ko:K04043	paem:U769_26145
ko:K03687	paem:U769_26150
ko:K03631	paem:U769_26155
ko:K03711	paem:U769_26160
ko:K06186	paem:U769_26165
ko:K09801	paem:U769_26170
ko:K03664	paem:U769_26180
ko:K03303	paem:U769_26190
ko:K00101	paem:U769_26195
ko:K01611	paem:U769_26205
ko:K00797	paem:U769_26210
ko:K09962	paem:U769_26235
ko:K15268	paem:U769_26240
ko:K07178	paem:U769_26245
ko:K00626	paem:U769_26270
ko:K00059	paem:U769_26275
ko:K06219	paem:U769_26295
ko:K01126	paem:U769_26305
ko:K03417	paem:U769_22175
ko:K07090	paem:U769_22205
ko:K01118	paem:U769_22240
ko:K11928	paem:U769_22250
ko:K13821	paem:U769_22255
ko:K02014	paem:U769_22260
ko:K01338	paem:U769_22270
ko:K14475	paem:U769_22275
ko:K02030	paem:U769_22280
ko:K15256	paem:U769_22290
ko:K15257	paem:U769_22295
ko:K03474	paem:U769_22300
ko:K03584	paem:U769_22305
ko:K03685	paem:U769_22315
ko:K03100	paem:U769_22325
ko:K03596	paem:U769_22330
ko:K03803	paem:U769_22340
ko:K03598	paem:U769_22345
ko:K03597	paem:U769_22350
ko:K03088	paem:U769_22355
ko:K00278	paem:U769_22360
ko:K09159	paem:U769_22370
ko:K06980	paem:U769_22375
ko:K07649	paem:U769_22385
ko:K07774	paem:U769_22390
ko:K07795	paem:U769_22400
ko:K07793	paem:U769_22410
ko:K07120	paem:U769_22415
ko:K03648	paem:U769_22420
ko:K00140	paem:U769_22435
ko:K07118	paem:U769_22465
ko:K06183	paem:U769_22510
ko:K12055	paem:U769_22615
ko:K07733	paem:U769_22620
ko:K11891	paem:U769_22660
ko:K11910	paem:U769_22665
ko:K11909	paem:U769_22670
ko:K11907	paem:U769_22680
ko:K11901	paem:U769_22685
ko:K11900	paem:U769_22690
ko:K11905	paem:U769_22695
ko:K11896	paem:U769_22700
ko:K11895	paem:U769_22705
ko:K11906	paem:U769_22715
ko:K11893	paem:U769_22720
ko:K11892	paem:U769_22725
ko:K11903	paem:U769_22740
ko:K09982	paem:U769_22825
ko:K03824	paem:U769_22830
ko:K01759	paem:U769_22835
ko:K11530	paem:U769_22840
ko:K01426	paem:U769_22865
ko:K03559	paem:U769_22920
ko:K03561	paem:U769_22925
ko:K02455	paem:U769_22955
ko:K02454	paem:U769_22960
ko:K02453	paem:U769_22965
ko:K02462	paem:U769_22970
ko:K02461	paem:U769_22975
ko:K02460	paem:U769_22980
ko:K02456	paem:U769_22985
ko:K02458	paem:U769_22990
ko:K02452	paem:U769_22995
ko:K02457	paem:U769_23000
ko:K02459	paem:U769_23005
ko:K03088	paem:U769_23015
ko:K14161	paem:U769_23040
ko:K14162	paem:U769_23045
ko:K03547	paem:U769_23075
ko:K03581	paem:U769_23085
ko:K03582	paem:U769_23090
ko:K03583	paem:U769_23095
ko:K07240	paem:U769_23115
ko:K03406	paem:U769_23120
ko:K16322	paem:U769_23130
ko:K02278	paem:U769_23145
ko:K12511	paem:U769_23170
ko:K12510	paem:U769_23175
ko:K02283	paem:U769_23180
ko:K02282	paem:U769_23185
