ko:K14989	soz:Spy49_1576c
ko:K01223	soz:Spy49_0487
ko:K07089	soz:Spy49_0489c
ko:K06959	soz:Spy49_0490
ko:K03095	soz:Spy49_0491
ko:K06023	soz:Spy49_0494
ko:K08303	soz:Spy49_0500
ko:K04567	soz:Spy49_0503c
ko:K03976	soz:Spy49_0506c
ko:K00432	soz:Spy49_0511c
ko:K01595	soz:Spy49_0513
ko:K03588	soz:Spy49_0514
ko:K02358	soz:Spy49_0515
ko:K01803	soz:Spy49_0516
ko:K06885	soz:Spy49_0520c
ko:K02747	soz:Spy49_0525c
ko:K02746	soz:Spy49_0526c
ko:K02745	soz:Spy49_0527c
ko:K02744	soz:Spy49_0529c
ko:K00874	soz:Spy49_0532
ko:K02836	soz:Spy49_0536
ko:K09812	soz:Spy49_0537
ko:K09811	soz:Spy49_0538
ko:K03111	soz:Spy49_1500c
ko:K03722	soz:Spy49_0541
ko:K01893	soz:Spy49_0544
ko:K09762	soz:Spy49_0547
ko:K08659	soz:Spy49_0548
ko:K09815	soz:Spy49_0549
ko:K03710	soz:Spy49_0550
ko:K02082	soz:Spy49_0551
ko:K02909	soz:Spy49_0552c
ko:K04516	soz:Spy49_0556
ko:K02884	soz:Spy49_0558
ko:K02470	soz:Spy49_0560
ko:K06286	soz:Spy49_0561
ko:K01689	soz:Spy49_0563
ko:K07004	soz:Spy49_0578
ko:K01972	soz:Spy49_0580
ko:K02110	soz:Spy49_0582
ko:K02108	soz:Spy49_0583
ko:K02109	soz:Spy49_0584
ko:K02113	soz:Spy49_0585
ko:K02111	soz:Spy49_0586
ko:K02115	soz:Spy49_0587
ko:K02112	soz:Spy49_0588
ko:K02114	soz:Spy49_0589
ko:K00790	soz:Spy49_0591
ko:K01889	soz:Spy49_0596
ko:K02003	soz:Spy49_0601
ko:K07054	soz:Spy49_0602c
ko:K09747	soz:Spy49_1532
ko:K02342	soz:Spy49_1534c
ko:K07007	soz:Spy49_1538
ko:K01619	soz:Spy49_1540c
ko:K00757	soz:Spy49_1542c
ko:K02954	soz:Spy49_1544
ko:K01409	soz:Spy49_1545c
ko:K03789	soz:Spy49_1546c
ko:K01915	soz:Spy49_1550c
ko:K03713	soz:Spy49_1551c
ko:K00927	soz:Spy49_1553c
ko:K07030	soz:Spy49_1556c
ko:K02902	soz:Spy49_1558c
ko:K01624	soz:Spy49_1559c
ko:K01937	soz:Spy49_1561c
ko:K03048	soz:Spy49_1562c
ko:K03545	soz:Spy49_1563c
ko:K06173	soz:Spy49_1568c
ko:K00865	soz:Spy49_1571c
ko:K01153	soz:Spy49_1572
ko:K03427	soz:Spy49_1574
ko:K03788	soz:Spy49_0866
ko:K03630	soz:Spy49_0870
ko:K07010	soz:Spy49_0871c
ko:K01926	soz:Spy49_0872c
ko:K00948	soz:Spy49_0875c
ko:K07816	soz:Spy49_0877
ko:K00858	soz:Spy49_0878
ko:K06180	soz:Spy49_0879
ko:K05845	soz:Spy49_0884
ko:K05846	soz:Spy49_0884
ko:K00364	soz:Spy49_0885
ko:K03734	soz:Spy49_0891c
ko:K01821	soz:Spy49_0892c
ko:K00857	soz:Spy49_0893
ko:K02835	soz:Spy49_0894
ko:K02493	soz:Spy49_0895
ko:K07566	soz:Spy49_0896
ko:K00600	soz:Spy49_0898
ko:K02469	soz:Spy49_0905
ko:K11068	soz:Spy49_0910c
ko:K03470	soz:Spy49_0913
ko:K04096	soz:Spy49_0914
ko:K03168	soz:Spy49_0915
ko:K07035	soz:Spy49_0918
ko:K03778	soz:Spy49_0919
ko:K04094	soz:Spy49_0922
ko:K03497	soz:Spy49_1822
ko:K05832	soz:Spy49_0799
ko:K05833	soz:Spy49_0800
ko:K06158	soz:Spy49_0805
ko:K00161	soz:Spy49_0807
ko:K00162	soz:Spy49_0808
ko:K00627	soz:Spy49_0809
ko:K00382	soz:Spy49_0810
ko:K01727	soz:Spy49_0811c
ko:K03800	soz:Spy49_0812
ko:K07009	soz:Spy49_0813c
ko:K01928	soz:Spy49_0814c
ko:K03431	soz:Spy49_0817
ko:K09952	soz:Spy49_0823
ko:K03708	soz:Spy49_1718c
ko:K03704	soz:Spy49_1719c
ko:K03387	soz:Spy49_1722
ko:K01468	soz:Spy49_1723c
ko:K01712	soz:Spy49_1724
ko:K01938	soz:Spy49_1727
ko:K01745	soz:Spy49_1730
ko:K02967	soz:Spy49_1733
ko:K02357	soz:Spy49_1734
ko:K07386	soz:Spy49_1735c
ko:K01226	soz:Spy49_1736c
ko:K03486	soz:Spy49_1738
ko:K07104	soz:Spy49_1740
ko:K09861	soz:Spy49_1742
ko:K04068	soz:Spy49_1743c
ko:K07447	soz:Spy49_1750c
ko:K03553	soz:Spy49_1753c
ko:K07305	soz:Spy49_0831
ko:K02795	soz:Spy49_0835
ko:K02796	soz:Spy49_0836
ko:K02012	soz:Spy49_0840
ko:K00135	soz:Spy49_0841
ko:K03703	soz:Spy49_0842
ko:K03650	soz:Spy49_0845c
ko:K02864	soz:Spy49_0846
ko:K02935	soz:Spy49_0848
ko:K07258	soz:Spy49_0849
ko:K01495	soz:Spy49_0852
ko:K00796	soz:Spy49_0853
ko:K01633	soz:Spy49_0854
ko:K00950	soz:Spy49_0855
ko:K00075	soz:Spy49_0856
ko:K11071	soz:Spy49_0858
ko:K11070	soz:Spy49_0859
ko:K11069	soz:Spy49_0860
ko:K01246	soz:Spy49_1755c
ko:K03550	soz:Spy49_1756c
ko:K08152	soz:Spy49_1757c
ko:K03572	soz:Spy49_1758c
ko:K03555	soz:Spy49_1759c
ko:K03402	soz:Spy49_1761c
ko:K01887	soz:Spy49_1762
ko:K01876	soz:Spy49_1768c
ko:K01892	soz:Spy49_1769c
ko:K02911	soz:Spy49_1770
ko:K02913	soz:Spy49_1771
ko:K08974	soz:Spy49_1779
ko:K02986	soz:Spy49_1786c
ko:K02314	soz:Spy49_1788c
ko:K02939	soz:Spy49_1789c
ko:K03495	soz:Spy49_1791c
ko:K00566	soz:Spy49_1793c
ko:K01752	soz:Spy49_1794
ko:K01752	soz:Spy49_1795
ko:K00995	soz:Spy49_1800c
ko:K00012	soz:Spy49_1806
ko:K00963	soz:Spy49_1808
ko:K03629	soz:Spy49_1810
ko:K05340	soz:Spy49_1811c
ko:K00088	soz:Spy49_1812c
ko:K01867	soz:Spy49_1813c
ko:K00783	soz:Spy49_1820c
ko:K00940	soz:Spy49_0828
ko:K03596	soz:Spy49_0829
ko:K02529	soz:Spy49_1027c
ko:K02529	soz:Spy49_0432
ko:K02529	soz:Spy49_1187c
ko:K02503	soz:Spy49_1346
ko:K01869	soz:Spy49_0152
ko:K03475	soz:Spy49_0153
ko:K02822	soz:Spy49_0154
ko:K02821	soz:Spy49_0155
ko:K03476	soz:Spy49_0160
ko:K02335	soz:Spy49_0163
ko:K06929	soz:Spy49_0164
ko:K09825	soz:Spy49_0165
ko:K00767	soz:Spy49_0176
ko:K00773	soz:Spy49_0181
ko:K03523	soz:Spy49_0183
ko:K01810	soz:Spy49_0188
ko:K00963	soz:Spy49_0191c
ko:K00057	soz:Spy49_0192c
ko:K09765	soz:Spy49_0198
ko:K01520	soz:Spy49_0199
ko:K04485	soz:Spy49_0200
ko:K01673	soz:Spy49_0201
ko:K07706	soz:Spy49_0204
ko:K01874	soz:Spy49_0338
ko:K01890	soz:Spy49_0597
ko:K16786	soz:Spy49_1395c
ko:K16787	soz:Spy49_1395c
ko:K09698	soz:Spy49_0203
ko:K01916	soz:Spy49_1281c
ko:K06958	soz:Spy49_0545
ko:K03767	soz:Spy49_0384c
ko:K01421	soz:Spy49_1784c
ko:K00027	soz:Spy49_0864
ko:K01104	soz:Spy49_0035
ko:K02476	soz:Spy49_0862c
ko:K02475	soz:Spy49_0861c
ko:K07052	soz:Spy49_1105c
ko:K02759	soz:Spy49_1045c
ko:K03979	soz:Spy49_1053c
ko:K00891	soz:Spy49_1074c
ko:K00800	soz:Spy49_1075c
ko:K07058	soz:Spy49_1076c
ko:K01265	soz:Spy49_1077c
ko:K00790	soz:Spy49_1082c
ko:K00789	soz:Spy49_1083c
ko:K02343	soz:Spy49_1087c
ko:K00876	soz:Spy49_1090c
ko:K08483	soz:Spy49_1094c
ko:K06191	soz:Spy49_1096
ko:K00525	soz:Spy49_1097
ko:K00526	soz:Spy49_1099
ko:K01872	soz:Spy49_1108c
ko:K07533	soz:Spy49_1109c
ko:K03709	soz:Spy49_0380c
ko:K00868	soz:Spy49_0954c
ko:K02028	soz:Spy49_1161c
ko:K02242	soz:Spy49_1248c
ko:K02313	soz:Spy49_0001
ko:K02338	soz:Spy49_0002
ko:K06942	soz:Spy49_0004
ko:K01056	soz:Spy49_0005
ko:K03723	soz:Spy49_0006
ko:K04075	soz:Spy49_0011
ko:K00760	soz:Spy49_0012
ko:K03798	soz:Spy49_0013
ko:K02445	soz:Spy49_0374
ko:K03466	soz:Spy49_0385
ko:K02867	soz:Spy49_0387
ko:K02863	soz:Spy49_0388
ko:K09903	soz:Spy49_0390
ko:K02838	soz:Spy49_0391
ko:K00243	soz:Spy49_0392
ko:K10254	soz:Spy49_0398
ko:K06217	soz:Spy49_0399
ko:K07042	soz:Spy49_0401
ko:K03595	soz:Spy49_0403
ko:K00948	soz:Spy49_0016
ko:K03584	soz:Spy49_0017
ko:K03621	soz:Spy49_0018
ko:K02078	soz:Spy49_0019
ko:K01923	soz:Spy49_0020
ko:K01952	soz:Spy49_0021
ko:K00764	soz:Spy49_0022
ko:K01933	soz:Spy49_0023
ko:K11175	soz:Spy49_0024
ko:K02236	soz:Spy49_1184
ko:K07304	soz:Spy49_0394
ko:K07105	soz:Spy49_1142c
ko:K03810	soz:Spy49_1745c
ko:K02121	soz:Spy49_0132
ko:K01945	soz:Spy49_0027
ko:K01588	soz:Spy49_0028
ko:K01589	soz:Spy49_0029
ko:K01756	soz:Spy49_0031
ko:K03551	soz:Spy49_0033
ko:K02946	soz:Spy49_0044
ko:K02906	soz:Spy49_0045
ko:K02926	soz:Spy49_0046
ko:K02892	soz:Spy49_0048
ko:K02886	soz:Spy49_0049
ko:K02965	soz:Spy49_0050
ko:K02890	soz:Spy49_0052
ko:K02982	soz:Spy49_0053
ko:K02878	soz:Spy49_0054
ko:K02904	soz:Spy49_0055
ko:K02961	soz:Spy49_0056
ko:K02874	soz:Spy49_0057
ko:K02895	soz:Spy49_0058
ko:K02931	soz:Spy49_0059
ko:K02954	soz:Spy49_0060
ko:K02994	soz:Spy49_0061
ko:K02933	soz:Spy49_0062
ko:K02881	soz:Spy49_0064
ko:K02988	soz:Spy49_0065
ko:K02907	soz:Spy49_0066
ko:K02876	soz:Spy49_0067
ko:K03076	soz:Spy49_0068
ko:K00939	soz:Spy49_0069
ko:K02518	soz:Spy49_0070
ko:K02919	soz:Spy49_0071
ko:K02952	soz:Spy49_0072
ko:K02948	soz:Spy49_0073
ko:K03040	soz:Spy49_0074
ko:K02879	soz:Spy49_0075
ko:K00919	soz:Spy49_0078
ko:K00919	soz:Spy49_0079
ko:K09817	soz:Spy49_0081
ko:K09816	soz:Spy49_0082
ko:K01866	soz:Spy49_0084
ko:K03043	soz:Spy49_0087
ko:K03046	soz:Spy49_0088
ko:K02243	soz:Spy49_0090
ko:K02244	soz:Spy49_0091
ko:K02245	soz:Spy49_0092
ko:K00925	soz:Spy49_0098
ko:K00286	soz:Spy49_0100
ko:K06878	soz:Spy49_0105
ko:K03111	soz:Spy49_0107
ko:K04083	soz:Spy49_0110c
ko:K03100	soz:Spy49_0113
ko:K08600	soz:Spy49_0116
ko:K02106	soz:Spy49_0121
ko:K02123	soz:Spy49_0130
ko:K02124	soz:Spy49_0131
ko:K02119	soz:Spy49_0133
ko:K02122	soz:Spy49_0134
ko:K02117	soz:Spy49_0135
ko:K02118	soz:Spy49_0136
ko:K02120	soz:Spy49_0137
ko:K01939	soz:Spy49_0141
ko:K02601	soz:Spy49_0143
ko:K11031	soz:Spy49_0146
ko:K01809	soz:Spy49_1412c
ko:K01643	soz:Spy49_0937
ko:K01154	soz:Spy49_1573
ko:K00016	soz:Spy49_0904c
ko:K11072	soz:Spy49_0857
ko:K01625	soz:Spy49_0533
ko:K01834	soz:Spy49_1143c
ko:K02824	soz:Spy49_0651
ko:K00602	soz:Spy49_0025
ko:K12574	soz:Spy49_1549
ko:K11717	soz:Spy49_0244
