ko:K19077	saua:SAAG_01082
ko:K07095	saua:SAAG_02260
ko:K14200	saua:SAAG_02265
ko:K11032	saua:SAAG_02271
ko:K00611	saua:SAAG_02692
ko:K00926	saua:SAAG_01766
ko:K03925	saua:SAAG_01776
ko:K03438	saua:SAAG_01777
ko:K07038	saua:SAAG_02387
ko:K03565	saua:SAAG_02392
ko:K04478	saua:SAAG_02393
ko:K05520	saua:SAAG_02394
ko:K07058	saua:SAAG_02402
ko:K07681	saua:SAAG_02404
ko:K01265	saua:SAAG_02407
ko:K02217	saua:SAAG_02412
ko:K02346	saua:SAAG_02414
ko:K03215	saua:SAAG_02416
ko:K02434	saua:SAAG_02418
ko:K02435	saua:SAAG_02420
ko:K01972	saua:SAAG_02423
ko:K03657	saua:SAAG_02424
ko:K01756	saua:SAAG_02427
ko:K08258	saua:SAAG_02428
ko:K00763	saua:SAAG_02433
ko:K00491	saua:SAAG_02434
ko:K14445	saua:SAAG_02436
ko:K03650	saua:SAAG_00538
ko:K03536	saua:SAAG_00539
ko:K02914	saua:SAAG_00540
ko:K01534	saua:SAAG_03514
ko:K03893	saua:SAAG_03519
ko:K02015	saua:SAAG_00598
ko:K02016	saua:SAAG_00599
ko:K01586	saua:SAAG_00607
ko:K04564	saua:SAAG_00616
ko:K01839	saua:SAAG_00622
ko:K02042	saua:SAAG_00623
ko:K02042	saua:SAAG_00624
ko:K02041	saua:SAAG_00625
ko:K02044	saua:SAAG_00626
ko:K04072	saua:SAAG_00631
ko:K13012	saua:SAAG_00644
ko:K02472	saua:SAAG_00646
ko:K09790	saua:SAAG_00649
ko:K16264	saua:SAAG_00651
ko:K12552	saua:SAAG_01779
ko:K01000	saua:SAAG_01780
ko:K01925	saua:SAAG_01781
ko:K03589	saua:SAAG_01782
ko:K03590	saua:SAAG_01783
ko:K03531	saua:SAAG_01784
ko:K05810	saua:SAAG_01785
ko:K06997	saua:SAAG_01786
ko:K09772	saua:SAAG_01787
ko:K02221	saua:SAAG_01788
ko:K04074	saua:SAAG_01790
ko:K01870	saua:SAAG_01791
ko:K03101	saua:SAAG_01793
ko:K06180	saua:SAAG_01794
ko:K02825	saua:SAAG_01795
ko:K00609	saua:SAAG_01797
ko:K01465	saua:SAAG_01798
ko:K01956	saua:SAAG_01799
ko:K01955	saua:SAAG_01800
ko:K01591	saua:SAAG_01801
ko:K00762	saua:SAAG_01802
ko:K00942	saua:SAAG_01806
ko:K03060	saua:SAAG_01807
ko:K13038	saua:SAAG_01808
ko:K04066	saua:SAAG_01809
ko:K01462	saua:SAAG_01812
ko:K00604	saua:SAAG_01813
ko:K03500	saua:SAAG_01814
ko:K06941	saua:SAAG_01815
ko:K06949	saua:SAAG_01818
ko:K01783	saua:SAAG_01819
ko:K02902	saua:SAAG_01821
ko:K03655	saua:SAAG_01824
ko:K03621	saua:SAAG_01826
ko:K00645	saua:SAAG_01827
ko:K02078	saua:SAAG_01830
ko:K03685	saua:SAAG_01831
ko:K03529	saua:SAAG_01832
ko:K08996	saua:SAAG_00663
ko:K00930	saua:SAAG_00664
ko:K00620	saua:SAAG_00665
ko:K00145	saua:SAAG_00666
ko:K03311	saua:SAAG_00668
ko:K07106	saua:SAAG_00673
ko:K01153	saua:SAAG_00677
ko:K02034	saua:SAAG_00681
ko:K01118	saua:SAAG_00684
ko:K15771	saua:SAAG_00688
ko:K15772	saua:SAAG_00689
ko:K02012	saua:SAAG_00697
ko:K00656	saua:SAAG_00698
ko:K04069	saua:SAAG_00699
ko:K01126	saua:SAAG_00707
ko:K07516	saua:SAAG_00711
ko:K00252	saua:SAAG_00712
ko:K03110	saua:SAAG_01833
ko:K03106	saua:SAAG_01835
ko:K02959	saua:SAAG_01836
ko:K02860	saua:SAAG_01837
ko:K00554	saua:SAAG_01838
ko:K02884	saua:SAAG_01839
ko:K14540	saua:SAAG_01841
ko:K03470	saua:SAAG_01842
ko:K01903	saua:SAAG_01843
ko:K01902	saua:SAAG_01844
ko:K04096	saua:SAAG_01847
ko:K03168	saua:SAAG_01848
ko:K04094	saua:SAAG_01849
ko:K03733	saua:SAAG_01850
ko:K01419	saua:SAAG_01851
ko:K03667	saua:SAAG_01852
ko:K03706	saua:SAAG_01853
ko:K02967	saua:SAAG_01854
ko:K02357	saua:SAAG_01855
ko:K09903	saua:SAAG_01856
ko:K02838	saua:SAAG_01857
ko:K00806	saua:SAAG_01858
ko:K00981	saua:SAAG_01859
ko:K11749	saua:SAAG_01860
ko:K01881	saua:SAAG_01861
ko:K03763	saua:SAAG_01862
ko:K09748	saua:SAAG_01863
ko:K02600	saua:SAAG_01864
ko:K07742	saua:SAAG_01865
ko:K02519	saua:SAAG_01867
ko:K02834	saua:SAAG_01868
ko:K11753	saua:SAAG_01870
ko:K02956	saua:SAAG_01871
ko:K00962	saua:SAAG_01872
ko:K03466	saua:SAAG_01874
ko:K00995	saua:SAAG_01881
ko:K09769	saua:SAAG_01886
ko:K00174	saua:SAAG_01887
ko:K00175	saua:SAAG_01888
ko:K01356	saua:SAAG_02515
ko:K10716	saua:SAAG_02516
ko:K01114	saua:SAAG_02520
ko:K04077	saua:SAAG_02529
ko:K04078	saua:SAAG_02530
ko:K07078	saua:SAAG_02533
ko:K07813	saua:SAAG_02535
ko:K07800	saua:SAAG_02536
ko:K07707	saua:SAAG_02538
ko:K00847	saua:SAAG_02539
ko:K01193	saua:SAAG_02540
ko:K03484	saua:SAAG_02541
ko:K03320	saua:SAAG_02542
ko:K07112	saua:SAAG_02544
ko:K01926	saua:SAAG_02545
ko:K06158	saua:SAAG_02546
ko:K03789	saua:SAAG_02549
ko:K05916	saua:SAAG_00720
ko:K02773	saua:SAAG_00726
ko:K02774	saua:SAAG_00727
ko:K05352	saua:SAAG_00733
ko:K07322	saua:SAAG_00740
ko:K07704	saua:SAAG_00741
ko:K05338	saua:SAAG_00743
ko:K05339	saua:SAAG_00744
ko:K04561	saua:SAAG_00745
ko:K03489	saua:SAAG_00746
ko:K01223	saua:SAAG_00748
ko:K06726	saua:SAAG_00752
ko:K02529	saua:SAAG_00754
ko:K01442	saua:SAAG_00757
ko:K03466	saua:SAAG_00769
ko:K06168	saua:SAAG_01890
ko:K03555	saua:SAAG_01893
ko:K03572	saua:SAAG_01894
ko:K02440	saua:SAAG_01896
ko:K00864	saua:SAAG_01897
ko:K00111	saua:SAAG_01898
ko:K00791	saua:SAAG_01900
ko:K03666	saua:SAAG_01901
ko:K00432	saua:SAAG_01902
ko:K03665	saua:SAAG_01903
ko:K01915	saua:SAAG_01906
ko:K01620	saua:SAAG_01925
ko:K06131	saua:SAAG_01927
ko:K07778	saua:SAAG_01930
ko:K00928	saua:SAAG_02701
ko:K00003	saua:SAAG_01939
ko:K14232	saua:SAAG_03033
ko:K01733	saua:SAAG_01940
ko:K00872	saua:SAAG_01941
ko:K03781	saua:SAAG_01945
ko:K02913	saua:SAAG_01946
ko:K06925	saua:SAAG_02551
ko:K01687	saua:SAAG_02552
ko:K01652	saua:SAAG_02553
ko:K01653	saua:SAAG_02554
ko:K00053	saua:SAAG_02555
ko:K01649	saua:SAAG_02556
ko:K00052	saua:SAAG_02557
ko:K01703	saua:SAAG_02558
ko:K01704	saua:SAAG_02559
ko:K01754	saua:SAAG_02560
ko:K06959	saua:SAAG_02669
ko:K01775	saua:SAAG_02282
ko:K00997	saua:SAAG_02283
ko:K01548	saua:SAAG_02287
ko:K01547	saua:SAAG_02288
ko:K01546	saua:SAAG_02289
ko:K07646	saua:SAAG_02668
ko:K07667	saua:SAAG_02293
ko:K01929	saua:SAAG_02295
ko:K01921	saua:SAAG_02296
ko:K05837	saua:SAAG_02297
ko:K06131	saua:SAAG_02301
ko:K06950	saua:SAAG_02302
ko:K03217	saua:SAAG_02303
ko:K00788	saua:SAAG_02304
ko:K00878	saua:SAAG_02305
ko:K00941	saua:SAAG_02306
ko:K03707	saua:SAAG_02307
ko:K03311	saua:SAAG_00793
ko:K02003	saua:SAAG_00796
ko:K03800	saua:SAAG_00815
ko:K02445	saua:SAAG_00824
ko:K00299	saua:SAAG_02657
ko:K03817	saua:SAAG_00830
ko:K02954	saua:SAAG_01947
ko:K00364	saua:SAAG_01948
ko:K01356	saua:SAAG_01950
ko:K00615	saua:SAAG_01953
ko:K03547	saua:SAAG_01956
ko:K03282	saua:SAAG_01958
ko:K01681	saua:SAAG_01960
ko:K07107	saua:SAAG_01961
ko:K08591	saua:SAAG_01963
ko:K02622	saua:SAAG_01964
ko:K02621	saua:SAAG_01965
ko:K03310	saua:SAAG_01966
ko:K03480	saua:SAAG_02702
ko:K14205	saua:SAAG_01970
ko:K01821	saua:SAAG_01973
ko:K01657	saua:SAAG_01977
ko:K00766	saua:SAAG_01979
ko:K01609	saua:SAAG_01980
ko:K01817	saua:SAAG_01981
ko:K01696	saua:SAAG_01982
ko:K01695	saua:SAAG_01983
ko:K11694	saua:SAAG_01984
ko:K11695	saua:SAAG_01985
ko:K02034	saua:SAAG_01990
ko:K02039	saua:SAAG_01994
ko:K02036	saua:SAAG_01995
ko:K02038	saua:SAAG_01996
ko:K02037	saua:SAAG_01997
ko:K02040	saua:SAAG_01998
ko:K00243	saua:SAAG_01999
ko:K00928	saua:SAAG_02001
ko:K00133	saua:SAAG_02002
ko:K02372	saua:SAAG_02312
ko:K00790	saua:SAAG_02313
ko:K02114	saua:SAAG_02315
ko:K02112	saua:SAAG_02316
ko:K02115	saua:SAAG_02317
ko:K02111	saua:SAAG_02318
ko:K02113	saua:SAAG_02319
ko:K02109	saua:SAAG_02320
ko:K02110	saua:SAAG_02321
ko:K02108	saua:SAAG_02322
ko:K00761	saua:SAAG_02325
ko:K00600	saua:SAAG_02326
ko:K07566	saua:SAAG_02329
ko:K02493	saua:SAAG_02330
ko:K02835	saua:SAAG_02331
ko:K02909	saua:SAAG_02334
ko:K03628	saua:SAAG_02335
ko:K00790	saua:SAAG_02338
ko:K01624	saua:SAAG_02339
ko:K01937	saua:SAAG_02341
ko:K07173	saua:SAAG_02348
ko:K00756	saua:SAAG_02350
ko:K04047	saua:SAAG_02353
ko:K01809	saua:SAAG_02357
ko:K16264	saua:SAAG_02360
ko:K02013	saua:SAAG_02366
ko:K00820	saua:SAAG_02367
ko:K07224	saua:SAAG_00831
ko:K16301	saua:SAAG_02658
ko:K07243	saua:SAAG_00833
ko:K03118	saua:SAAG_00834
ko:K03116	saua:SAAG_00835
ko:K00549	saua:SAAG_00844
ko:K06942	saua:SAAG_00851
ko:K02990	saua:SAAG_00853
ko:K02963	saua:SAAG_00855
ko:K03387	saua:SAAG_00867
ko:K06956	saua:SAAG_00870
ko:K03816	saua:SAAG_00876
ko:K16169	saua:SAAG_00877
ko:K01951	saua:SAAG_00879
ko:K08987	saua:SAAG_00884
ko:K11042	saua:SAAG_00886
ko:K01714	saua:SAAG_02003
ko:K00215	saua:SAAG_02004
ko:K01775	saua:SAAG_02007
ko:K01586	saua:SAAG_02008
ko:K03704	saua:SAAG_02010
ko:K01512	saua:SAAG_02012
ko:K03311	saua:SAAG_02015
ko:K00658	saua:SAAG_02020
ko:K00164	saua:SAAG_02021
ko:K02563	saua:SAAG_02026
ko:K03797	saua:SAAG_02028
ko:K09125	saua:SAAG_02040
ko:K08170	saua:SAAG_02046
ko:K01754	saua:SAAG_02048
ko:K00259	saua:SAAG_02049
ko:K07444	saua:SAAG_02054
ko:K00009	saua:SAAG_02372
ko:K03431	saua:SAAG_02375
ko:K01476	saua:SAAG_02378
ko:K11068	saua:SAAG_00005
ko:K07038	saua:SAAG_00007
ko:K02015	saua:SAAG_00010
ko:K02015	saua:SAAG_00011
ko:K02016	saua:SAAG_00012
ko:K02787	saua:SAAG_00025
ko:K02788	saua:SAAG_00025
ko:K12410	saua:SAAG_00032
ko:K03427	saua:SAAG_00895
ko:K01154	saua:SAAG_00896
ko:K05577	saua:SAAG_00907
ko:K09822	saua:SAAG_00908
ko:K03928	saua:SAAG_00912
ko:K03308	saua:SAAG_00913
ko:K17217	saua:SAAG_00915
ko:K02071	saua:SAAG_00916
ko:K02072	saua:SAAG_00917
ko:K02073	saua:SAAG_00918
ko:K00266	saua:SAAG_00927
ko:K02818	saua:SAAG_00928
ko:K02819	saua:SAAG_00928
ko:K02343	saua:SAAG_00932
ko:K09747	saua:SAAG_00933
ko:K06187	saua:SAAG_00934
ko:K00375	saua:SAAG_00935
ko:K06215	saua:SAAG_00936
ko:K08681	saua:SAAG_00937
ko:K11535	saua:SAAG_00938
ko:K03696	saua:SAAG_00942
ko:K04485	saua:SAAG_00943
ko:K05366	saua:SAAG_02060
ko:K10773	saua:SAAG_02062
ko:K01893	saua:SAAG_02064
ko:K03524	saua:SAAG_02066
ko:K06973	saua:SAAG_02070
ko:K00800	saua:SAAG_02074
ko:K01735	saua:SAAG_02075
ko:K01736	saua:SAAG_02076
ko:K00940	saua:SAAG_02077
ko:K03183	saua:SAAG_02079
ko:K03530	saua:SAAG_02081
ko:K00057	saua:SAAG_02082
ko:K03977	saua:SAAG_02083
ko:K02945	saua:SAAG_02084
ko:K00945	saua:SAAG_02085
ko:K03654	saua:SAAG_02089
ko:K01575	saua:SAAG_00040
ko:K01652	saua:SAAG_00041
ko:K03655	saua:SAAG_02729
ko:K02996	saua:SAAG_00046
ko:K02871	saua:SAAG_00047
ko:K06173	saua:SAAG_00048
ko:K16785	saua:SAAG_00049
ko:K02879	saua:SAAG_00052
ko:K03040	saua:SAAG_00053
ko:K02948	saua:SAAG_00054
ko:K02952	saua:SAAG_00055
ko:K02919	saua:SAAG_00056
ko:K02518	saua:SAAG_00057
ko:K03076	saua:SAAG_00059
ko:K02876	saua:SAAG_00060
ko:K02907	saua:SAAG_00061
ko:K02988	saua:SAAG_00062
ko:K02881	saua:SAAG_00063
ko:K02933	saua:SAAG_00064
ko:K02994	saua:SAAG_00065
ko:K02954	saua:SAAG_00066
ko:K02931	saua:SAAG_00067
ko:K02895	saua:SAAG_00068
ko:K02874	saua:SAAG_00069
ko:K02961	saua:SAAG_00070
ko:K02904	saua:SAAG_00071
ko:K02878	saua:SAAG_00072
ko:K02982	saua:SAAG_00073
ko:K02890	saua:SAAG_00074
ko:K02965	saua:SAAG_00075
ko:K02886	saua:SAAG_00076
ko:K02892	saua:SAAG_00077
ko:K02926	saua:SAAG_00078
ko:K02906	saua:SAAG_00079
ko:K02946	saua:SAAG_00080
ko:K06901	saua:SAAG_00082
ko:K05340	saua:SAAG_00085
ko:K07088	saua:SAAG_00086
ko:K11693	saua:SAAG_00090
ko:K00640	saua:SAAG_00946
ko:K01883	saua:SAAG_00947
ko:K11145	saua:SAAG_00948
ko:K03218	saua:SAAG_00949
ko:K06962	saua:SAAG_00950
ko:K03091	saua:SAAG_00951
ko:K02913	saua:SAAG_00952
ko:K03073	saua:SAAG_00953
ko:K02601	saua:SAAG_00954
ko:K02867	saua:SAAG_00955
ko:K02863	saua:SAAG_00956
ko:K02864	saua:SAAG_00957
ko:K02935	saua:SAAG_00958
ko:K03043	saua:SAAG_00960
ko:K03046	saua:SAAG_00961
ko:K07590	saua:SAAG_00962
ko:K02950	saua:SAAG_00963
ko:K02992	saua:SAAG_00964
ko:K02355	saua:SAAG_00965
ko:K02358	saua:SAAG_00966
ko:K05523	saua:SAAG_00969
ko:K00826	saua:SAAG_00972
ko:K01091	saua:SAAG_00973
ko:K15519	saua:SAAG_00974
ko:K15518	saua:SAAG_00975
ko:K11991	saua:SAAG_00976
ko:K14194	saua:SAAG_02723
ko:K14194	saua:SAAG_02722
ko:K14194	saua:SAAG_02721
ko:K09007	saua:SAAG_00987
ko:K08094	saua:SAAG_00992
ko:K03762	saua:SAAG_00994
ko:K00868	saua:SAAG_01001
ko:K03648	saua:SAAG_01002
ko:K07651	saua:SAAG_01403
ko:K07775	saua:SAAG_01404
ko:K06178	saua:SAAG_01405
ko:K06024	saua:SAAG_01406
ko:K05896	saua:SAAG_01407
ko:K07124	saua:SAAG_01414
ko:K00286	saua:SAAG_01415
ko:K03639	saua:SAAG_00095
ko:K03752	saua:SAAG_00096
ko:K03636	saua:SAAG_00097
ko:K03753	saua:SAAG_00099
ko:K03750	saua:SAAG_00100
ko:K03637	saua:SAAG_00101
ko:K03638	saua:SAAG_00102
ko:K02018	saua:SAAG_00105
ko:K02020	saua:SAAG_00106
ko:K02379	saua:SAAG_00107
ko:K03523	saua:SAAG_00109
ko:K02016	saua:SAAG_00111
ko:K08717	saua:SAAG_00113
ko:K01430	saua:SAAG_00114
ko:K01429	saua:SAAG_00115
ko:K01428	saua:SAAG_00116
ko:K03187	saua:SAAG_00117
ko:K03188	saua:SAAG_00118
ko:K03189	saua:SAAG_00119
ko:K03190	saua:SAAG_00120
ko:K03315	saua:SAAG_00126
ko:K09940	saua:SAAG_00128
ko:K00123	saua:SAAG_00136
ko:K16869	saua:SAAG_01011
ko:K06885	saua:SAAG_01026
ko:K01887	saua:SAAG_01030
ko:K02016	saua:SAAG_01032
ko:K02015	saua:SAAG_01033
ko:K09936	saua:SAAG_01040
ko:K05566	saua:SAAG_01045
ko:K05567	saua:SAAG_02719
ko:K05569	saua:SAAG_01048
ko:K05571	saua:SAAG_01050
ko:K05946	saua:SAAG_01059
ko:K00036	saua:SAAG_01417
ko:K09699	saua:SAAG_01430
ko:K00167	saua:SAAG_01431
ko:K00166	saua:SAAG_01432
ko:K00382	saua:SAAG_01433
ko:K03631	saua:SAAG_01434
ko:K03402	saua:SAAG_01435
ko:K13789	saua:SAAG_01436
ko:K03602	saua:SAAG_01437
ko:K03601	saua:SAAG_01438
ko:K03625	saua:SAAG_01439
ko:K01961	saua:SAAG_01441
ko:K02160	saua:SAAG_01442
ko:K02356	saua:SAAG_01443
ko:K03800	saua:SAAG_01447
ko:K00283	saua:SAAG_01449
ko:K00282	saua:SAAG_01450
ko:K00605	saua:SAAG_01451
ko:K00891	saua:SAAG_01452
ko:K02913	saua:SAAG_01465
ko:K12553	saua:SAAG_01466
ko:K04564	saua:SAAG_01467
ko:K09816	saua:SAAG_01469
ko:K09817	saua:SAAG_01470
ko:K03453	saua:SAAG_00148
ko:K02749	saua:SAAG_00150
ko:K02750	saua:SAAG_00150
ko:K03481	saua:SAAG_00151
ko:K01468	saua:SAAG_00157
ko:K01712	saua:SAAG_00158
ko:K11210	saua:SAAG_00160
ko:K01807	saua:SAAG_00163
ko:K09771	saua:SAAG_00166
ko:K03652	saua:SAAG_00170
ko:K03312	saua:SAAG_00171
ko:K03284	saua:SAAG_00173
ko:K07107	saua:SAAG_00174
ko:K07552	saua:SAAG_00181
ko:K09814	saua:SAAG_00185
ko:K09813	saua:SAAG_00186
ko:K00116	saua:SAAG_00194
ko:K03303	saua:SAAG_00195
ko:K16323	saua:SAAG_01067
ko:K02013	saua:SAAG_01069
ko:K02015	saua:SAAG_01070
ko:K02015	saua:SAAG_01071
ko:K05878	saua:SAAG_01072
ko:K05879	saua:SAAG_01073
ko:K07220	saua:SAAG_01085
ko:K03306	saua:SAAG_01086
ko:K06890	saua:SAAG_01088
ko:K09793	saua:SAAG_01096
ko:K06966	saua:SAAG_01102
ko:K09768	saua:SAAG_01103
ko:K06153	saua:SAAG_02716
ko:K01669	saua:SAAG_01114
ko:K02768	saua:SAAG_01123
ko:K02769	saua:SAAG_01123
ko:K02770	saua:SAAG_01123
ko:K01443	saua:SAAG_01124
ko:K01151	saua:SAAG_01471
ko:K06967	saua:SAAG_01474
ko:K03086	saua:SAAG_01475
ko:K09773	saua:SAAG_01477
ko:K01880	saua:SAAG_01479
ko:K03584	saua:SAAG_01480
ko:K07042	saua:SAAG_01484
ko:K02970	saua:SAAG_01489
ko:K09761	saua:SAAG_01491
ko:K02687	saua:SAAG_01492
ko:K03686	saua:SAAG_01493
ko:K04043	saua:SAAG_01494
ko:K03687	saua:SAAG_01495
ko:K03705	saua:SAAG_01496
ko:K03596	saua:SAAG_01498
ko:K02968	saua:SAAG_01499
ko:K02340	saua:SAAG_01500
ko:K02237	saua:SAAG_01503
ko:K09710	saua:SAAG_01505
ko:K00969	saua:SAAG_01507
ko:K07574	saua:SAAG_01508
ko:K00014	saua:SAAG_01509
ko:K07015	saua:SAAG_01511
ko:K07160	saua:SAAG_01518
ko:K01961	saua:SAAG_01519
ko:K02160	saua:SAAG_01520
ko:K03624	saua:SAAG_01523
ko:K00876	saua:SAAG_01524
ko:K08303	saua:SAAG_02682
ko:K11102	saua:SAAG_00211
ko:K10850	saua:SAAG_00215
ko:K07696	saua:SAAG_00218
ko:K07683	saua:SAAG_00219
ko:K10851	saua:SAAG_00220
ko:K00373	saua:SAAG_00222
ko:K00371	saua:SAAG_00223
ko:K00370	saua:SAAG_00224
ko:K00363	saua:SAAG_00226
ko:K00362	saua:SAAG_00227
ko:K10010	saua:SAAG_00239
ko:K10009	saua:SAAG_00240
ko:K02424	saua:SAAG_00241
ko:K14197	saua:SAAG_00245
ko:K01012	saua:SAAG_00252
ko:K00833	saua:SAAG_00253
ko:K01935	saua:SAAG_00254
ko:K10681	saua:SAAG_01128
ko:K10682	saua:SAAG_01129
ko:K16937	saua:SAAG_01130
ko:K10026	saua:SAAG_01133
ko:K01737	saua:SAAG_01134
ko:K06920	saua:SAAG_01135
ko:K01665	saua:SAAG_01137
ko:K15738	saua:SAAG_01143
ko:K03654	saua:SAAG_01144
ko:K05847	saua:SAAG_01145
ko:K00817	saua:SAAG_01147
ko:K03305	saua:SAAG_01151
ko:K09457	saua:SAAG_01152
ko:K02015	saua:SAAG_01157
ko:K02015	saua:SAAG_01158
ko:K02013	saua:SAAG_01159
ko:K02016	saua:SAAG_01160
ko:K00075	saua:SAAG_01162
ko:K00865	saua:SAAG_01166
ko:K03070	saua:SAAG_01177
ko:K02836	saua:SAAG_01178
ko:K07023	saua:SAAG_01180
ko:K03702	saua:SAAG_01182
ko:K07447	saua:SAAG_01530
ko:K01872	saua:SAAG_01532
ko:K03581	saua:SAAG_01533
ko:K00566	saua:SAAG_01535
ko:K04487	saua:SAAG_01536
ko:K17472	saua:SAAG_01539
ko:K07478	saua:SAAG_01541
ko:K01876	saua:SAAG_01543
ko:K01892	saua:SAAG_01544
ko:K01448	saua:SAAG_01545
ko:K07560	saua:SAAG_01546
ko:K00759	saua:SAAG_01548
ko:K07462	saua:SAAG_01549
ko:K12257	saua:SAAG_01550
ko:K03210	saua:SAAG_01551
ko:K00773	saua:SAAG_01552
ko:K07568	saua:SAAG_01553
ko:K03551	saua:SAAG_01554
ko:K03550	saua:SAAG_01555
ko:K06209	saua:SAAG_01556
ko:K03979	saua:SAAG_01557
ko:K02899	saua:SAAG_01558
ko:K02888	saua:SAAG_01560
ko:K03571	saua:SAAG_01561
ko:K03570	saua:SAAG_01562
ko:K03630	saua:SAAG_01566
ko:K11754	saua:SAAG_01568
ko:K01873	saua:SAAG_01569
ko:K01246	saua:SAAG_01570
ko:K01845	saua:SAAG_01572
ko:K01698	saua:SAAG_01573
ko:K01749	saua:SAAG_01575
ko:K02497	saua:SAAG_01576
ko:K02492	saua:SAAG_01577
